Gene	sgRNA	Selected|beta	Selected|z	Selected|p-value	Selected|fdr	Selected|wald-p-value	Selected|wald-fdr
Csrnp1_p2	12	0.024421	0.75789	0.47697	0.94403	0.44852	0.93819
Kansl1_p4	12	0.054325	1.3047	0.13026	0.72883	0.19199	0.83494
Gli3_p2	12	-0.035114	-0.95262	0.32719	0.90448	0.34078	0.89053
Prdm5_p1	12	-0.051317	-1.6309	0.15175	0.77111	0.1029	0.79235
Bcor_p2	12	0.048013	1.7691	0.17939	0.79805	0.076878	0.79235
Zfp738_p2	11	0.12744	2.2921	0.00087719	0.2	0.021901	0.55599
Foxa2_p2	12	-0.021071	-0.60671	0.54452	0.95869	0.54404	0.95021
Zfp1_p1	12	0.0083743	0.40295	0.80439	0.99011	0.68699	0.96502
Foxn2_p1	12	0.0079568	0.27158	0.81184	0.99011	0.78594	0.98007
Zbtb12_p1	12	-0.05501	-1.3272	0.12478	0.72883	0.18443	0.83494
Stag2_p2	12	-0.009446	-0.35978	0.79386	0.99011	0.71901	0.96502
E2f6_p1	12	-0.008194	-0.20533	0.82061	0.99233	0.83731	0.98637
Zfp335_p1	12	-0.0011238	-0.038142	0.97697	0.99405	0.96957	0.99451
Foxm1_p1	12	-0.060471	-1.5144	0.091886	0.72883	0.12993	0.82536
Crxos_p4	12	0.0060803	0.12541	0.85811	0.99405	0.9002	0.99128
Ddit3_p1	12	-0.00059904	-0.018539	0.98925	0.99405	0.98521	0.99451
Crebzf_p3	12	0.013012	0.37503	0.69737	0.97546	0.70764	0.96502
Zfp148_p1	12	-0.0062456	-0.26177	0.86031	0.99405	0.7935	0.98253
Hmgb3_p2	12	0.028909	0.83298	0.40066	0.9067	0.40486	0.91167
Zfp397_p1	12	-0.0041305	-0.12668	0.90877	0.99405	0.89919	0.99128
Zfp180_p1	12	-0.017317	-0.51022	0.625	0.9596	0.6099	0.95021
Klf5_p1	12	-0.039497	-1.2967	0.27193	0.90448	0.19474	0.83494
Sox11_p1	12	-0.025152	-0.69154	0.47588	0.94403	0.48923	0.94756
Zfp143_p1	12	0.084534	2.5865	0.019079	0.59474	0.009696	0.55599
Tada2a_p1	12	0.077097	1.9452	0.030482	0.61224	0.051753	0.76958
Ahr_p1	12	-0.0065127	-0.24857	0.85395	0.99405	0.80369	0.98253
Zfp119b_p1	6	-0.014773	-0.39491	0.77851	0.99011	0.69291	0.96502
Erf_p1	12	-0.076949	-1.616	0.033772	0.616	0.1061	0.79235
Hnrnpk_p4	12	0.035884	0.73794	0.30746	0.90448	0.46055	0.94229
Tead1_p1	12	-0.022969	-0.76229	0.51425	0.95792	0.44589	0.93684
Hmgxb4_p1	12	-0.038339	-1.0984	0.28882	0.90448	0.27202	0.83663
Crebzf_p1	12	0.016786	0.59014	0.62171	0.9596	0.5551	0.95021
Arnt_p1	12	0.057266	1.3365	0.1114	0.72883	0.18138	0.83494
Zfp507_p1	12	-0.025421	-0.6352	0.47083	0.94167	0.5253	0.95021
Mitf_p1	12	-0.024153	-0.80914	0.49254	0.95756	0.41843	0.91455
Zfp512_p2	12	0.0095509	0.25363	0.7761	0.99011	0.79978	0.98253
Bcor_p3	12	0.046712	1.1393	0.19276	0.8186	0.25456	0.83663
Mid2_p2	12	0.0063698	0.16166	0.85088	0.99405	0.87157	0.98888
Sox12_p1	12	-0.066609	-2.0828	0.064474	0.72883	0.037267	0.66642
Zfp941_p1	12	0.052206	1.5108	0.14583	0.768	0.13084	0.82536
Zfp239_p1	12	0.08409	2.5986	0.019518	0.59474	0.0093594	0.55599
Usf1_p1	12	0.023345	1.1866	0.49496	0.95756	0.23538	0.83663
Creb1_p1	12	0.02118	0.66287	0.53925	0.95869	0.50741	0.95021
Pitx2_p1	12	0.015594	0.46618	0.64254	0.96743	0.64109	0.95288
E2f1_p1	12	-0.047296	-1.4963	0.18684	0.80472	0.13457	0.82536
Six1_p2	12	0.03454	1.2525	0.32478	0.90448	0.21039	0.83587
Zfp599_p1	12	0.070086	1.6172	0.050658	0.725	0.10584	0.79235
Glis2_p1	12	-0.03046	-0.80666	0.39298	0.90448	0.41986	0.91455
Mier1_p3	12	-0.062158	-1.2974	0.082237	0.72883	0.19448	0.83494
Adnp2_p1	12	-0.028213	-1.0444	0.42851	0.9316	0.29628	0.85356
Zfp958_p1	12	-0.043519	-1.4846	0.22632	0.88	0.13765	0.82536
Mbtps2_p1	12	-0.0049717	-0.19809	0.89123	0.99405	0.84298	0.98637
Gm14326_p1	4	-0.041491	-1.6187	0.49803	0.95756	0.10551	0.79235
Preb_p1	12	0.043016	1.2079	0.22895	0.88	0.22708	0.83663
Cdx1_p1	12	-0.013418	-0.3527	0.7057	0.98232	0.72431	0.97
Rela_p1	12	0.005953	0.16618	0.85965	0.99405	0.86801	0.98888
Tfap4_p2	12	0.0056078	0.21779	0.86754	0.99405	0.82759	0.98612
Hmgb2_p1	12	0.060486	1.9359	0.09386	0.72883	0.052886	0.76958
Mier2_p1	12	0.03706	0.83535	0.29386	0.90448	0.40352	0.91095
Rhox6_p1	7	0.035003	0.9576	0.4511	0.93557	0.33827	0.89024
Jdp2_p2	12	0.022929	0.61853	0.50461	0.95776	0.53623	0.95021
Nfil3_p1	12	-0.023865	-0.69508	0.49912	0.95756	0.48701	0.94756
Smarce1_p1	12	0.034094	1.2301	0.33092	0.90448	0.21867	0.83663
Zfp617_p1	12	0.010748	0.33579	0.75175	0.99011	0.73703	0.97416
Sall2_p1	12	-0.011613	-0.32278	0.74605	0.99011	0.74686	0.97454
Cdip1_p1	12	-0.033266	-1.1398	0.3511	0.90448	0.25437	0.83663
Mycn_p2	12	0.011982	0.30808	0.72346	0.98907	0.75802	0.9762
Kansl3_p2	12	0.023261	0.68895	0.49671	0.95756	0.49086	0.94756
Mycl_p1	12	-0.023106	-0.59572	0.51294	0.95792	0.55136	0.95021
Zfp35_p1	12	-0.071894	-1.6052	0.044956	0.7193	0.10846	0.79235
Zfp146_p1	12	-0.00020615	-0.0080121	0.99956	0.99956	0.99361	0.99579
Aebp2_p1	12	0.048198	1.384	0.17829	0.79805	0.16635	0.83494
Hbp1_p1	12	-0.01631	-0.59867	0.64693	0.9688	0.54939	0.95021
Mier3_p1	12	0.037362	0.76917	0.29035	0.90448	0.44179	0.93268
Cebpg_p2	12	-0.051224	-0.90774	0.15219	0.77111	0.36402	0.89277
Nexmif_p1	12	-0.031299	-1.154	0.38048	0.90448	0.24848	0.83663
Zfp850_p1	12	0.00051259	0.010093	0.98684	0.99405	0.99195	0.99579
Zfp217_p1	12	-0.02266	-0.74489	0.51908	0.95792	0.45634	0.9422
Hmgxb4_p2	12	0.0048136	0.1422	0.88531	0.99405	0.88692	0.99126
Zfp763_p1	12	0.07604	1.8119	0.032237	0.61224	0.069994	0.79235
Setdb1_p1	10	-0.07374	-1.8295	0.061842	0.72883	0.067329	0.79235
Sub1_p1	12	-0.0012396	-0.04879	0.97434	0.99405	0.96109	0.99287
Gtf2ird1_p2	12	0.03692	0.95487	0.29561	0.90448	0.33964	0.89024
Hinfp_p1	12	-0.021101	-0.70662	0.5432	0.95869	0.4798	0.94756
Platr25_p2	8	-0.0098916	-0.33857	0.84079	0.99405	0.73493	0.97317
Mbd1_p2	12	0.015679	0.62286	0.64189	0.96743	0.53338	0.95021
Tead2_p4	12	-0.016397	-0.38755	0.64496	0.96743	0.69835	0.96502
Otx2_p2	12	0.0079678	0.22471	0.81184	0.99011	0.82221	0.98612
Thap12_p2	12	0.063955	1.6585	0.075877	0.72883	0.097226	0.79235
Zfp654_p1	12	-0.034699	-1.3998	0.33246	0.90448	0.16156	0.83494
Srebf1_p2	12	0.056362	1.0961	0.11623	0.72883	0.27305	0.83663
Maff_p1	12	-0.017249	-0.50255	0.62632	0.96	0.61528	0.95021
Sox2_p1	12	0.030373	0.96186	0.37873	0.90448	0.33612	0.88853
Gtf2i_p1	12	0.034821	0.97326	0.32127	0.90448	0.33043	0.88635
Tsix_p1	12	0.0083499	0.21983	0.80461	0.99011	0.82601	0.98612
Bnc2_p1	12	0.040621	1.2067	0.25417	0.90448	0.22756	0.83663
Rbpj_p3	12	-0.040271	-1.3541	0.26228	0.90448	0.17571	0.83494
Capn15_p1	12	0.013936	0.48623	0.67697	0.97327	0.6268	0.95021
Tcf12_p2	12	-0.012251	-0.44134	0.73224	0.98907	0.65897	0.96021
Klf4_p2	12	0.0047441	0.15766	0.88816	0.99405	0.87472	0.98888
Prdm4_p1	12	0.019423	0.59843	0.57193	0.95941	0.54955	0.95021
Tfcp2l1_p1	12	-0.057906	-1.3465	0.10373	0.72883	0.17816	0.83494
Smad3_p1	12	0.0023713	0.083422	0.94605	0.99405	0.93352	0.99287
Zfp738_p1	6	0.079778	1.3699	0.11228	0.72883	0.17071	0.83494
Tfam_p1	12	-0.0062808	-0.20131	0.85943	0.99405	0.84046	0.98637
Tfdp1_p2	12	0.039446	1.305	0.26579	0.90448	0.1919	0.83494
Prdm2_p1	12	-0.06431	-1.7321	0.073684	0.72883	0.08326	0.79235
Zfp710_p2	12	0.02509	0.71862	0.46776	0.93965	0.47238	0.94683
Zfp219_p1	12	-0.0049866	-0.14549	0.89101	0.99405	0.88432	0.99126
Zfp946_p1	12	0.095009	1.1247	0.0092105	0.51111	0.26073	0.83663
Hmgb2_p2	12	0.098718	2.3583	0.0059211	0.51111	0.018358	0.55599
Rcor2_p1	12	0.037541	0.8084	0.28794	0.90448	0.41886	0.91455
Fiz1_p2	12	0.013242	0.43649	0.69167	0.97327	0.66248	0.96082
Elf2_p1	12	-0.0026181	-0.10928	0.9432	0.99405	0.91298	0.99287
Mybl2_p1	12	-0.0075577	-0.24927	0.83531	0.99405	0.80315	0.98253
Ftx_p1	12	0.044679	1.6889	0.21162	0.85778	0.091243	0.79235
Cic_p1	12	0.025878	0.93839	0.4511	0.93557	0.34804	0.89277
Lrrfip2_p1	12	0.030082	0.87616	0.38333	0.90448	0.38094	0.90238
Ubtf_p1	12	-0.013715	-0.35948	0.69956	0.97703	0.71924	0.96502
Thap1_p1	12	-0.018636	-0.69215	0.59671	0.9596	0.48884	0.94756
Zfp275_p1	12	0.089136	2.2268	0.013816	0.58261	0.025964	0.57754
Sub1_p2	12	-0.0094687	-0.23531	0.79364	0.99011	0.81397	0.98612
Zfp532_p1	12	0.010402	0.20437	0.75921	0.99011	0.83807	0.98637
Zfp473_p1	12	-0.069692	-1.8319	0.050877	0.725	0.066969	0.79235
Prdm14_p1	12	-0.05651	-1.6011	0.11404	0.72883	0.10935	0.79235
Zfp24_p1	12	0.059559	1.4288	0.099123	0.72883	0.15305	0.82773
Ubp1_p1	12	0.0044849	0.27687	0.89583	0.99405	0.78188	0.98007
Aff4_p1	12	0.020412	0.54225	0.55241	0.95941	0.58764	0.95021
Klf13_p1	12	0.0048024	0.18513	0.88553	0.99405	0.85313	0.98845
Hic2_p1	12	0.037686	1.1282	0.28596	0.90448	0.25924	0.83663
Ascl2_p1	12	0.0085249	0.23926	0.80132	0.99011	0.8109	0.98606
Sp2_p1	12	-0.048921	-1.7843	0.17127	0.79289	0.074375	0.79235
Zfx_p1	12	-0.0010597	-0.025118	0.97741	0.99405	0.97996	0.99451
Olig1_p1	12	-0.055239	-1.4592	0.12303	0.72883	0.14451	0.82773
2610021A01Rik_p1	12	-0.015674	-0.49136	0.65965	0.97327	0.62317	0.95021
Atf6b_p1	12	-0.0029856	-0.10676	0.93509	0.99405	0.91498	0.99287
Tslrn1_p1	12	0.035501	0.884	0.3114	0.90448	0.37669	0.89933
Rif1_p1	12	-0.00099321	-0.031947	0.97895	0.99405	0.97451	0.99451
Zfp664_p1	12	0.01044	0.37426	0.75855	0.99011	0.70821	0.96502
Csrnp1_p3	12	0.045412	1.6216	0.20592	0.84215	0.1049	0.79235
Gm49345_p1	8	-0.0042086	-0.13727	0.94474	0.99405	0.89082	0.99128
Zfp263_p1	12	0.0088491	0.3231	0.79211	0.99011	0.74662	0.97454
Tead2_p2	12	-0.014487	-0.38276	0.68443	0.97327	0.7019	0.96502
Zfp57_p3	12	-0.054183	-1.4646	0.12895	0.72883	0.14304	0.82773
Zfp267_p2	12	-0.025858	-0.53035	0.46535	0.93863	0.59587	0.95021
Klf15_p1	12	-0.027926	-0.73353	0.43311	0.9316	0.46324	0.94229
Smad4_p1	12	-0.0062099	-0.12471	0.86162	0.99405	0.90076	0.99128
Plscr1_p2	12	-0.036205	-0.85126	0.3125	0.90448	0.39462	0.91095
Cpeb1_p3	12	-0.014655	-0.46994	0.67982	0.97327	0.6384	0.95288
Lef1_p1	12	-0.027542	-1.057	0.43882	0.93209	0.2905	0.84374
Zfp777_p1	12	-0.053364	-2.1843	0.13443	0.73214	0.028942	0.60085
Zfp605_p1	12	0.021785	0.5962	0.52697	0.95869	0.55104	0.95021
Smad7_p1	12	-0.01463	-0.44799	0.68026	0.97327	0.65416	0.96021
Atf5_p2	12	-0.0090631	-0.21629	0.8011	0.99011	0.82876	0.98612
Foxp1_p1	12	0.0077812	0.23226	0.81645	0.99201	0.81633	0.98612
Zfp729b_p1	11	0.048945	1.5123	0.18596	0.80472	0.13047	0.82536
Zfp609_p1	12	0.040848	1.1312	0.25175	0.90448	0.25795	0.83663
Klf4_p1	12	-0.0017615	-0.040644	0.96118	0.99405	0.96758	0.99451
Gli3_p1	12	-0.023884	-0.7261	0.49912	0.95756	0.46778	0.943
Zfp869_p2	12	0.042071	0.86418	0.23947	0.89388	0.38749	0.90382
Zkscan3_p1	12	0.05417	1.7138	0.13202	0.73214	0.086562	0.79235
Trim28_p2	12	0.0038773	0.189	0.91009	0.99405	0.85009	0.98637
Nfe2l1_p1	12	-0.045688	-1.2489	0.20329	0.83891	0.21172	0.83587
Yeats4_p1	12	-0.044607	-1.354	0.21513	0.86404	0.17573	0.83494
Gzf1_p1	12	-0.054937	-1.3234	0.125	0.72883	0.18572	0.83494
Zfp317_p1	12	0.033467	0.95477	0.33816	0.90448	0.3397	0.89024
Tcf15_p1	12	-0.028777	-1.121	0.41842	0.92174	0.2623	0.83663
Nfatc3_p2	12	0.0046094	0.1678	0.89167	0.99405	0.86674	0.98888
Cpeb1_p2	12	0.042735	1.1082	0.23158	0.88	0.26776	0.83663
Cenpa_p1	12	-0.038211	-0.97538	0.29013	0.90448	0.32937	0.88635
Zfp748_p1	12	-0.018431	-0.45862	0.60175	0.9596	0.64651	0.95605
Zfp423_p1	12	-0.007285	-0.25181	0.83991	0.99405	0.80119	0.98253
Pias4_p1	12	-0.011131	-0.30322	0.75921	0.99011	0.76172	0.9762
Cenps_p1	12	-0.054926	-1.4049	0.125	0.72883	0.16006	0.83494
Zfp239_p2	12	0.03496	1.1717	0.31974	0.90448	0.2413	0.83663
Nr6a1_p2	12	-0.0025308	-0.083165	0.94452	0.99405	0.93372	0.99287
Zbed4_p1	12	0.01678	0.63548	0.62171	0.9596	0.52511	0.95021
Zfp532_p5	12	0.02679	0.57011	0.43553	0.93209	0.5686	0.95021
Nup62cl_p1	12	-0.0082219	-0.19633	0.81996	0.99233	0.84435	0.98637
Crxos_p3	12	0.022834	0.56629	0.50614	0.95776	0.5712	0.95021
Nkrf_p2	12	0.018338	0.56382	0.59254	0.9596	0.57287	0.95021
Nfya_p1	12	0.058	1.1905	0.10724	0.72883	0.23384	0.83663
Atf3_p2	12	0.032329	1.1334	0.35219	0.90448	0.25705	0.83663
Zbtb44_p1	12	-0.01644	-0.56108	0.64408	0.96743	0.57474	0.95021
Rest_p1	12	0.064726	1.7405	0.072588	0.72883	0.08178	0.79235
Dcp1a_p1	12	0.0098867	0.3303	0.76974	0.99011	0.74117	0.97454
Zbtb6_p1	12	-0.036412	-1.3069	0.31075	0.90448	0.19125	0.83494
Elf2_p2	12	-0.030705	-1.0408	0.38969	0.90448	0.29795	0.8545
Zfp809_p1	12	-0.024889	-0.64922	0.48004	0.94762	0.5162	0.95021
Max_p1	12	-0.015769	-0.38553	0.65811	0.97327	0.69985	0.96502
Zfp976_p1	12	-0.05056	-1.4754	0.15789	0.78229	0.14009	0.82536
Mga_p1	12	0.00072072	0.018939	0.98202	0.99405	0.98489	0.99451
Zfp664_p2	12	-0.092491	-1.6495	0.013596	0.58261	0.099052	0.79235
Zfp532_p4	12	0.014123	0.30458	0.67215	0.97327	0.76069	0.9762
Elmsan1_p1	12	-0.068992	-1.6602	0.053289	0.72537	0.096881	0.79235
Hnrnpu_p1	12	-0.0050359	-0.12333	0.89057	0.99405	0.90184	0.99128
Eed_p1	12	-0.064117	-2.4518	0.075	0.72883	0.014216	0.55599
Zkscan5_p4	12	0.061213	1.3185	0.090132	0.72883	0.18733	0.83494
Rarg_p1	12	0.026397	0.62021	0.44364	0.93364	0.53512	0.95021
Hnrnpk_p2	12	-0.060063	-2.2383	0.09386	0.72883	0.025201	0.57459
Trim28_p1	12	0.039803	0.87017	0.26162	0.90448	0.38421	0.90308
Platr25_p3	7	-0.0027181	-0.068375	0.94737	0.99405	0.94549	0.99287
Ncoa1_p1	12	-0.016219	-0.49262	0.64956	0.96928	0.62228	0.95021
Mbtps2_p2	12	0.01428	0.39363	0.6693	0.97327	0.69385	0.96502
Ncor1_p2	12	0.0032664	0.10678	0.92434	0.99405	0.91497	0.99287
Myb_p1	12	0.046991	1.1388	0.19013	0.81408	0.2548	0.83663
Zfp706_p2	12	-0.028853	-0.84338	0.41645	0.91961	0.39901	0.91095
Nr2f6_p2	12	-0.061763	-1.5607	0.083772	0.72883	0.11859	0.80117
Zfp518b_p1	12	0.0045581	0.16147	0.89364	0.99405	0.87172	0.98888
Smarcal1_p1	12	0.040355	1.5072	0.25702	0.90448	0.13176	0.82536
Nr1d2_p1	12	-0.018693	-0.67549	0.59539	0.9596	0.49936	0.94949
Zfp652_p1	12	0.019649	0.57895	0.56732	0.95941	0.56262	0.95021
Zfp229_p1	12	0.029632	0.63991	0.39013	0.90448	0.52223	0.95021
Zfp516_p2	12	-0.0020561	-0.061531	0.95592	0.99405	0.95094	0.99287
Gmeb2_p1	12	-0.035353	-1.0082	0.32544	0.90448	0.31335	0.87728
Zfp292_p1	12	0.022185	0.55683	0.51711	0.95792	0.57764	0.95021
Zfp574_p2	12	-0.062515	-1.8379	0.080921	0.72883	0.066071	0.79235
Zfp445_p1	12	0.00068854	0.020615	0.98289	0.99405	0.98355	0.99451
E4f1_p2	12	-0.014188	-0.80265	0.69013	0.97327	0.42218	0.91455
Ahctf1_p1	12	-0.015756	-0.50194	0.65833	0.97327	0.61571	0.95021
Zfp280c_p1	12	0.031287	1.1114	0.3682	0.90448	0.26641	0.83663
Mier1_p1	12	0.029873	1.2767	0.38728	0.90448	0.20171	0.83587
Zic2_p1	12	-0.019692	-0.59863	0.57346	0.95941	0.54942	0.95021
Terf1_p1	12	-0.077756	-2.4157	0.032675	0.61224	0.015704	0.55599
Nsd2_p1	12	-0.020781	-0.75269	0.55088	0.95941	0.45164	0.93825
Lbr_p2	12	-0.00083627	-0.023734	0.98377	0.99405	0.98106	0.99451
Tfap4_p1	12	-0.017057	-0.48417	0.63158	0.96206	0.62826	0.95021
Zbtb32_p1	12	-0.029018	-0.76235	0.41404	0.91873	0.44585	0.93684
Zfp740_p1	12	0.047271	1.482	0.18706	0.80472	0.13835	0.82536
Hmg20b_p1	12	-0.036576	-1.0778	0.30965	0.90448	0.28113	0.84273
Foxp1_p5	12	-0.0039113	-0.090109	0.91228	0.99405	0.9282	0.99287
Sall4_p1	12	0.058058	1.5607	0.10724	0.72883	0.11859	0.80117
Zfp655_p1	12	0.054045	2.2707	0.13289	0.73214	0.023164	0.55599
Id1_p1	12	-0.085834	-2.3441	0.019956	0.59474	0.019075	0.55599
Zzz3_p3	12	-0.0050581	-0.17377	0.88991	0.99405	0.86204	0.98888
Sp1_p1	12	0.0011625	0.032495	0.97259	0.99405	0.97408	0.99451
Zscan22_p1	12	0.012628	0.36475	0.70658	0.98232	0.7153	0.96502
Hmga1b_p1	8	0.026212	0.60051	0.54013	0.95869	0.54817	0.95021
Zbtb24_p1	12	0.040527	1.1625	0.25504	0.90448	0.24503	0.83663
Xbp1_p1	12	-0.014914	-0.39075	0.67456	0.97327	0.69598	0.96502
Esrrb_p1	12	-0.0079448	-0.21304	0.82632	0.99405	0.8313	0.98612
Zfp936_p2	4	0.12316	2.0446	0.051754	0.72537	0.040895	0.69015
Nr3c1_p3	12	-0.029288	-0.49033	0.41031	0.91873	0.6239	0.95021
Hsf1_p1	12	0.043379	1.1506	0.22588	0.88	0.24989	0.83663
Nrf1_p1	12	-0.10979	-2.3544	0.0028509	0.325	0.018553	0.55599
Zfp58_p1	12	-0.017852	-0.50414	0.6125	0.9596	0.61416	0.95021
Foxn3_p5	12	0.033172	0.78813	0.34232	0.90448	0.43062	0.92189
Ttf1_p1	12	-0.033515	-0.6922	0.34803	0.90448	0.48881	0.94756
Zfp871_p1	12	-0.016146	-0.4718	0.65044	0.96928	0.63707	0.95288
Tsc22d1_p2	12	-0.05007	-1.708	0.16228	0.78229	0.087645	0.79235
Pou5f1_p2	12	-0.054769	-1.7944	0.12566	0.72883	0.072745	0.79235
Pias2_p1	12	-0.0032006	-0.1325	0.92961	0.99405	0.89459	0.99128
Junb_p1	12	0.022189	0.72401	0.51711	0.95792	0.46906	0.943
Plagl1_p2	12	0.022385	0.46734	0.5136	0.95792	0.64026	0.95288
Rest_p2	12	0.076778	2.6983	0.030921	0.61224	0.0069693	0.55599
Zfp639_p2	12	-0.021924	-0.93342	0.53048	0.95869	0.3506	0.89277
Zfp932_p1	5	0.08832	1.2033	0.11667	0.72883	0.22884	0.83663
Hes1_p2	12	0.035814	0.89442	0.30811	0.90448	0.3711	0.89341
Zfp639_p1	12	0.0094391	0.27283	0.77763	0.99011	0.78498	0.98007
Bcor_p1	12	0.04967	1.8047	0.16425	0.78229	0.071128	0.79235
Gli2_p1	12	-0.012916	-0.27238	0.71754	0.98793	0.78533	0.98007
Zfp956_p1	12	0.020094	0.52464	0.55899	0.95941	0.59983	0.95021
Elmsan1_p2	12	0.017585	0.53649	0.60636	0.9596	0.59162	0.95021
Zfp644_p3	12	-0.031098	-0.9161	0.38399	0.90448	0.35961	0.89277
Kansl1_p2	12	-0.0259	-0.58765	0.46447	0.93863	0.55677	0.95021
Zfp706_p1	12	-0.042779	-1.342	0.23268	0.8805	0.17961	0.83494
Pbx2_p2	12	0.030386	1.2903	0.37851	0.90448	0.19695	0.83542
Blzf1_p1	12	-0.010595	-0.25539	0.77018	0.99011	0.79842	0.98253
Mael_p1	12	-0.0066418	-0.15617	0.85022	0.99405	0.8759	0.98888
Fiz1_p1	12	-0.033496	-1.0714	0.34846	0.90448	0.284	0.84273
Nme2_p1	12	0.0089874	0.37196	0.78947	0.99011	0.70992	0.96502
Zfp105_p1	12	-0.024267	-0.68303	0.49101	0.95756	0.49459	0.94756
Etv5_p1	12	-0.055959	-1.2726	0.11842	0.72883	0.20315	0.83587
Gata2_p1	12	-0.0028286	-0.12289	0.93838	0.99405	0.90219	0.99128
Zfp984_p1	6	0.022814	0.60595	0.65746	0.97327	0.54454	0.95021
Myrf_p1	12	0.083304	2.4285	0.021053	0.59474	0.015162	0.55599
Gabpa_p1	12	-0.039541	-1.2595	0.27193	0.90448	0.20786	0.83587
Zfp532_p2	12	-0.018881	-0.51522	0.59079	0.9596	0.6064	0.95021
Srebf2_p2	12	0.018754	0.70281	0.58355	0.9596	0.48217	0.94756
Otx2_p3	12	-0.14774	-2.9003	0	0	0.003728	0.55599
Mlx_p1	12	-0.002977	-0.089948	0.93531	0.99405	0.92833	0.99287
Cnbp_p1	12	-0.026581	-1.2491	0.45351	0.93557	0.21161	0.83587
Arid1a_p1	12	0.010451	0.25194	0.75833	0.99011	0.80109	0.98253
Khsrp_p1	12	-0.017717	-0.80542	0.61623	0.9596	0.42058	0.91455
Litaf_p1	12	0.032854	0.89572	0.34561	0.90448	0.3704	0.89341
Hmgb1_p1	12	0.075892	1.4332	0.032237	0.61224	0.15179	0.82773
Tmf1_p1	12	-0.0014055	-0.04664	0.96908	0.99405	0.9628	0.99309
Rxrb_p1	12	-0.024011	-0.82272	0.49627	0.95756	0.41067	0.91455
Irf6_p1	12	-0.02021	-0.57899	0.56382	0.95941	0.5626	0.95021
Zfp954_p1	12	0.0017293	0.053735	0.9614	0.99405	0.95715	0.99287
