Gene	sgRNA	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
Rlf_p1	8	0.38982	2.6773	0.015385	0.1	0.0074222	0.040822
Hnrnpk_p1	8	0.16875	1.2868	0.26573	0.66667	0.19816	0.38904
RE49	10	0.71185	3.2109	0	0	0.0013231	0.010511
Zfp281_p1	8	0.093841	0.57854	0.54965	0.88315	0.5629	0.75061
Gm20422_p1	8	-0.037723	-0.58799	0.85455	0.95303	0.55654	0.75061
Zfp296_p1	8	-0.036517	-0.37417	0.85734	0.95303	0.70828	0.87313
Foxn3_p2	8	0.11644	1.1661	0.45594	0.81481	0.24358	0.42469
Klf2_p1	8	-0.23309	-1.8158	0.21259	0.62449	0.069402	0.1946
Esrrb_p3	8	-0.18216	-1.8943	0.31748	0.73871	0.058182	0.1698
Klf5_p1	8	0.19489	1.9956	0.2014	0.61277	0.045977	0.1529
Rif1_p1	8	-0.078392	-0.66206	0.66294	0.92816	0.50793	0.70187
Gabpb1_p1	8	0.31261	2.6166	0.044755	0.2	0.0088823	0.047043
Zfp280c_p1	8	0.26392	1.8411	0.088112	0.315	0.065605	0.18763
RE85	10	-0.41856	-3.7678	0.0083916	0.063158	0.00016472	0.0018119
Rbpj_p2	8	-0.22819	-2.461	0.22657	0.63462	0.013856	0.066047
Ctcf_p1	8	0.01099	0.13764	0.91888	0.96618	0.89053	0.93672
Tox4_p2	8	-0.41625	-2.2972	0.020979	0.125	0.021608	0.088284
RE47	10	0.25964	2.8313	0.053147	0.2303	0.0046354	0.027619
Zic3_p1	8	-0.74331	-4.5938	0.0013986	0.018182	4.3524e-06	0.00010373
Myc_p1	8	0.11209	1.5341	0.47692	0.83171	0.12502	0.29307
Ybx3_p1	8	0.31056	1.5923	0.044755	0.2	0.11132	0.27446
Zfx_p1	8	0.31931	2.0601	0.043357	0.2	0.039392	0.13918
Gli2_p1	8	0.10456	1.3457	0.51189	0.85116	0.17841	0.36472
E2f4_p1	8	-0.037434	-0.34518	0.85594	0.95303	0.72996	0.87807
Id2_p2	8	0.039212	0.44232	0.77902	0.95303	0.65825	0.83301
Zfp236_p1	8	0.42278	2.5427	0.011189	0.07619	0.011001	0.056185
Csrnp1_p1	8	-0.14793	-1.3453	0.4014	0.8027	0.17853	0.36472
Epas1_p1	8	-0.032891	-0.28674	0.86853	0.95303	0.77431	0.88581
Capn15_p1	8	0.11918	1.1048	0.44755	0.81481	0.26923	0.45833
Tfam_p2	8	0.025727	0.29939	0.85315	0.95303	0.76464	0.88181
RE46	10	0.36925	2.9471	0.0041958	0.0375	0.0032075	0.021147
Foxd3_p1	8	0.048906	0.42134	0.73287	0.95303	0.67351	0.83749
Adnp_p1	8	-0.21932	-2.4168	0.23916	0.64528	0.015656	0.068337
Setdb1_p1	8	0.27588	2.0376	0.07972	0.30811	0.041594	0.14162
Tcf7_p2	8	-0.013521	-0.13721	0.96224	0.99424	0.89086	0.93672
FIREWACh	10	0.10838	0.92577	0.44615	0.81481	0.35456	0.55037
Erf_p1	8	0.20667	1.3951	0.17762	0.56444	0.16299	0.35818
Yy1_p1	8	-0.13053	-1.2225	0.45175	0.81481	0.22152	0.41096
Grhl3_p1	8	0.044577	0.56151	0.75664	0.95303	0.57445	0.75061
Arid1a_p1	8	-0.044884	-0.34419	0.82378	0.95303	0.7307	0.87807
Gabpa_p1	8	0.011987	0.14101	0.91469	0.96618	0.88786	0.93672
Mitf_p1	8	-0.0011082	-0.015625	0.98322	0.99441	0.98753	0.98753
Arnt_p1	8	-0.5713	-4.2983	0.0027972	0.030769	1.7215e-05	0.00035167
Sub1_p1	8	-0.0016804	-0.015978	0.98741	0.99441	0.98725	0.98753
RE96	10	-0.59289	-5.5535	0	0	2.7997e-08	1.0009e-06
Atf5_p1	8	-0.4758	-2.9786	0.0097902	0.07	0.0028957	0.020704
Cnbp_p1	8	-0.05077	-0.5596	0.8	0.95303	0.57575	0.75061
Mxi1_p1	8	0.037515	0.65813	0.79021	0.95303	0.51045	0.70187
Cdx4_p1	8	0.019262	0.20429	0.87972	0.95303	0.83813	0.91257
Otx2_p2	8	-0.54238	-3.8856	0.0041958	0.0375	0.00010209	0.0013271
Mis18bp1_p1	8	0.18441	1.3608	0.23077	0.63462	0.17358	0.36472
Nanog_p1	8	-0.085133	-1.2155	0.62238	0.92816	0.22416	0.41096
Sox2_p1	8	-0.040585	-0.43139	0.84056	0.95303	0.66618	0.83565
Zfp654_p1	8	0.037511	0.32816	0.79021	0.95303	0.74279	0.88181
Trp53_p1	8	-0.10095	-1.0916	0.55944	0.88889	0.275	0.45866
Klf4_p2	8	0.089417	0.82195	0.56643	0.89011	0.41111	0.60606
Gpbp1l1_p1	8	0.12686	1.1696	0.41259	0.8027	0.24215	0.42469
Zfp213_p1	8	0.022146	0.18159	0.86853	0.95303	0.85591	0.92026
RE95	10	-0.24977	-3.0731	0.13566	0.4619	0.0021183	0.015943
Arid4a_p1	8	-0.083262	-0.83776	0.63916	0.92816	0.40217	0.60189
Pou2f1_p1	8	-0.16275	-1.6141	0.35664	0.75	0.1065	0.27195
Nr4a1_p1	8	0.066897	0.6839	0.66853	0.92816	0.49404	0.69262
Zfp42_p1	8	0.19825	1.9376	0.1972	0.61277	0.052674	0.1592
Hic2_p1	8	-0.041786	-0.76444	0.83497	0.95303	0.4446	0.64221
Ahctf1_p1	8	-0.0059443	-0.081918	0.99441	0.99441	0.93471	0.96161
RE51	10	0.58839	3.5096	0	0	0.0004488	0.0042785
Zmiz2_p1	8	0.023471	0.19886	0.86154	0.95303	0.84237	0.91257
RE61	10	-0.1525	-1.6195	0.33427	0.74627	0.10533	0.27195
Hmg20b_p1	8	-0.16869	-1.3874	0.34545	0.74627	0.16531	0.35818
Pknox1_p1	8	0.1085	0.9712	0.49091	0.83529	0.33145	0.52663
Stag2_p3	8	-0.026377	-0.31578	0.9035	0.96618	0.75217	0.88181
Bnc2_p1	8	-0.019117	-0.22751	0.93427	0.97518	0.82003	0.90203
Myrf_p1	8	-0.13832	-1.5106	0.43077	0.81481	0.13088	0.30187
Zfp217_p1	8	-0.080644	-1.1888	0.65315	0.92816	0.23453	0.42452
Myef2_p1	8	-0.055201	-0.58857	0.78042	0.95303	0.55615	0.75061
Zfp985_p1	8	0.074057	1.2836	0.63916	0.92816	0.19929	0.38904
Sp1_p1	8	0.020571	0.24337	0.87552	0.95303	0.80772	0.90203
Zfp445_p1	8	0.011286	0.094902	0.91888	0.96618	0.92439	0.95789
Ssrp1_p1	8	-0.080906	-0.81188	0.65175	0.92816	0.41686	0.60827
Nme2_p1	8	0.28614	2.3688	0.065734	0.26857	0.017844	0.075048
Etv5_p1	8	0.03968	0.35447	0.77762	0.95303	0.72298	0.87807
Zfp748_p1	8	0.029453	0.31166	0.83636	0.95303	0.7553	0.88181
Zfp771_p2	8	0.095732	1.3703	0.54266	0.88182	0.17059	0.36409
RE93	10	-0.65073	-5.9635	0	0	2.4696e-09	1.1772e-07
Zbtb44_p1	8	0.1252	1.0326	0.41538	0.8027	0.3018	0.48492
Gmeb2_p1	8	0.14921	1.3005	0.32727	0.74286	0.19341	0.38904
E2f3_p2	8	-0.0040799	-0.031533	0.99441	0.99441	0.97484	0.98753
Nfe2l2_p1	8	-0.54043	-3.8617	0.0041958	0.0375	0.00011259	0.0013417
Elf1_p1	8	0.081348	0.83438	0.6028	0.92688	0.40407	0.60189
Tfeb_p2	8	0.10717	1.0897	0.4965	0.83529	0.27584	0.45866
Zscan10_p1	8	-0.15416	-1.7449	0.37622	0.77971	0.081006	0.22277
RE12	10	0.19286	2.2557	0.15524	0.51628	0.024088	0.093099
Nup62cl_p1	8	-0.11464	-1.5975	0.52308	0.85977	0.11017	0.27446
RE57	10	-2.2096	-11.21	0	0	3.628e-29	2.594e-27
Cebpg_p1	8	0.21245	1.5742	0.17063	0.55455	0.11544	0.27979
Lbr_p1	8	-0.032238	-0.23116	0.87273	0.95303	0.81719	0.90203
Gabpb2_p1	8	-0.093757	-0.72672	0.58182	0.90435	0.4674	0.66838
Zfp292_p1	8	0.14231	1.1813	0.34965	0.74627	0.2375	0.42453
Smarcc1_p2	8	-0.57485	-2.9427	0.0027972	0.030769	0.0032534	0.021147
RE127	10	-0.48096	-3.5505	0.006993	0.058824	0.00038455	0.0039279
Ncor1_p2	8	0.24234	1.7284	0.11189	0.39024	0.083922	0.22643
Hes1_p2	8	0.26143	2.2125	0.088112	0.315	0.026935	0.10136
RE97	10	-0.3121	-4.0572	0.058741	0.24706	4.9674e-05	0.00088792
Brd4_p1	8	-0.18295	-2.2748	0.31748	0.73871	0.022917	0.091033
Tcf12_p2	8	0.14266	0.91931	0.34825	0.74627	0.35793	0.55037
Gtf2ird1_p2	8	0.19092	1.9314	0.21399	0.62449	0.053437	0.1592
