Gene	sgRNA	Bottom|beta	Bottom|z	Bottom|p-value	Bottom|fdr	Bottom|wald-p-value	Bottom|wald-fdr	Top|beta	Top|z	Top|p-value	Top|fdr	Top|wald-p-value	Top|wald-fdr
ENSMUST00000143142_Ints6l	6	-0.070795	-1.6682	0.11677	0.7296	0.095278	0.98793	-0.068843	-1.8436	0.14622	0.39044	0.065248	0.26296
ENSMUST00000137173_Armcx1	6	-0.0023612	-0.046543	0.99129	0.99641	0.96288	0.99863	-0.00047365	-0.01061	0.88809	0.94432	0.99153	0.99716
ENSMUST00000139163_Gm14634	6	0.04321	0.98034	0.28169	0.87302	0.32692	0.98793	-0.076598	-1.9739	0.10525	0.34191	0.048395	0.22103
ENSMUST00000121924_AA414768	6	0.01123	0.24991	0.75237	0.97692	0.80266	0.98793	0.060024	1.518	0.10038	0.33447	0.12901	0.35857
ENSMUST00000081834_Armcx3	6	-0.074403	-1.2722	0.097823	0.70741	0.20329	0.98793	-0.028327	-0.55049	0.56748	0.75169	0.58199	0.75503
ENSMUST00000115258_Zcchc12	6	-0.039261	-0.5806	0.3854	0.92454	0.56151	0.98793	0.15538	2.6131	0.0012804	0.027027	0.0089724	0.077171
ENSMUST00000119809_Gm14660	6	0.013389	0.20163	0.71447	0.97692	0.84021	0.98793	-0.062813	-1.0746	0.18054	0.4247	0.28254	0.51437
ENSMUST00000033430_Rab33a	6	-0.045416	-1.0832	0.31191	0.88582	0.27871	0.98793	-0.068986	-1.8694	0.1452	0.39044	0.061564	0.2544
ENSMUST00000125644_Plp1	6	0.022503	0.48774	0.56312	0.97457	0.62573	0.98793	-0.012074	-0.29735	0.87785	0.94047	0.7662	0.86474
ENSMUST00000059808_H2bfm	6	-0.046305	-0.81651	0.3009	0.875	0.41421	0.98793	0.038831	0.77921	0.24149	0.49632	0.43585	0.65037
ENSMUST00000127521_5730405O15Rik	6	-0.057125	-0.60241	0.2064	0.85556	0.5469	0.98793	-0.038332	-0.46003	0.41024	0.63651	0.6455	0.79894
ENSMUST00000126147_Lonrf3	6	-0.051661	-1.0249	0.25122	0.85556	0.30542	0.98793	0.045979	1.0365	0.17721	0.42061	0.29998	0.52648
ENSMUST00000113067_Zcchc18	6	0.0090509	0.24147	0.7895	0.97873	0.80919	0.98793	-0.113	-3.4249	0.022791	0.17282	0.00061509	0.013725
ENSMUST00000047852_Fam199x	6	-0.075267	-1.5179	0.09475	0.69533	0.12905	0.98793	-0.12444	-2.8515	0.015877	0.16522	0.0043515	0.053102
ENSMUST00000124097_Usp9x	6	-0.094213	-2.1509	0.032778	0.51765	0.031485	0.76266	0.012439	0.32281	0.62919	0.78567	0.74684	0.8585
ENSMUST00000113052_Nrk	6	-0.0098802	-0.14378	0.84661	0.98925	0.88568	0.99254	-0.30985	-5.1187	0	0	3.0766e-07	3.0035e-05
ENSMUST00000145552_Gm14662	6	0.069516	2.0942	0.095262	0.69533	0.036239	0.76266	0.049056	1.679	0.15467	0.39868	0.093147	0.31013
ENSMUST00000073339_Pgrmc1	6	-0.087731	-1.5587	0.053265	0.64848	0.11907	0.98793	0.010162	0.20517	0.67042	0.80184	0.83744	0.90266
ENSMUST00000120557_Rpl3-ps1	6	-0.011737	-0.28436	0.80845	0.98627	0.77613	0.98793	0.028709	0.79051	0.35903	0.60472	0.42923	0.64716
ENSMUST00000113046_4933428M09Rik	6	-0.048273	-1.0624	0.28067	0.87302	0.28803	0.98793	0.0082437	0.20623	0.7073	0.83379	0.83661	0.90266
ENSMUST00000149639_Ddx3x	6	0.012776	0.33689	0.72471	0.97692	0.7362	0.98793	-0.10895	-3.2638	0.028169	0.2	0.0010992	0.020939
ENSMUST00000047655_Slc25a43	6	-0.052925	-1.1528	0.24277	0.85556	0.24899	0.98793	-0.011206	-0.27736	0.89373	0.94432	0.7815	0.87318
ENSMUST00000016463_Slc25a5	6	0.034894	0.6161	0.38592	0.92454	0.53783	0.98793	0.065442	1.3131	0.081434	0.30577	0.18914	0.42776
ENSMUST00000016452_Ube2a	6	-0.03801	-0.61837	0.40077	0.93353	0.53633	0.98793	0.030441	0.56278	0.33649	0.57807	0.57359	0.75503
ENSMUST00000113043_Mum1l1	6	-0.11005	-1.8315	0.014597	0.40606	0.067031	0.98793	-0.078193	-1.4789	0.097823	0.33447	0.13916	0.37222
ENSMUST00000054534_Trap1a	6	-0.025543	-0.61815	0.57388	0.97457	0.53648	0.98793	-0.046426	-1.2769	0.31729	0.56281	0.20164	0.43989
ENSMUST00000130251_Gm7598	6	-0.03796	-0.97294	0.40128	0.93353	0.33058	0.98793	-0.010216	-0.29757	0.91549	0.9508	0.76603	0.86474
ENSMUST00000046763_D330045A20Rik	6	-0.097054	-2.4059	0.027401	0.49767	0.016134	0.76266	0.038536	1.0857	0.24609	0.49664	0.2776	0.5083
ENSMUST00000075983_Ldoc1	6	0.0068516	0.20863	0.83278	0.98925	0.83474	0.98793	0.054569	1.8881	0.12394	0.36119	0.059006	0.24778
ENSMUST00000120148_Gm15019	6	-0.03296	-0.89818	0.46556	0.94687	0.36909	0.98793	-0.0010159	-0.031463	0.89885	0.94435	0.9749	0.99235
ENSMUST00000113026_Rnf128	6	-0.064277	-1.091	0.15877	0.78734	0.27529	0.98793	0.094298	1.8194	0.02484	0.18476	0.068857	0.2716
ENSMUST00000120925_Gm7327	6	-0.055744	-0.768	0.22049	0.85556	0.44249	0.98793	-0.038392	-0.60123	0.40922	0.63651	0.54768	0.74132
ENSMUST00000096313_Tbc1d8b	6	0.00041651	0.0096611	0.95211	0.99556	0.99229	0.99863	-0.055288	-1.457	0.23739	0.49309	0.1451	0.38153
ENSMUST00000151989_Bhlhb9	6	-0.093861	-1.5934	0.033547	0.51765	0.11108	0.98793	-0.033163	-0.6399	0.48476	0.69852	0.52224	0.72317
ENSMUST00000148658_Gprasp2	6	-0.078542	-1.8947	0.08169	0.65051	0.058132	0.98697	0.037953	1.0405	0.25096	0.5	0.29811	0.52648
ENSMUST00000054889_Cldn2	6	-0.027828	-0.86006	0.537	0.9702	0.38976	0.98793	-0.04751	-1.6683	0.3073	0.55346	0.095246	0.31373
ENSMUST00000120342_Gm14656	6	-0.035355	-0.72711	0.43534	0.94011	0.46716	0.98793	0.03041	0.71072	0.337	0.57807	0.47726	0.68518
ENSMUST00000122164_Gm16411	6	0.018396	0.43198	0.6251	0.9746	0.66576	0.98793	-0.032034	-0.85465	0.49782	0.70344	0.39274	0.6186
ENSMUST00000051414_4933402E13Rik	6	-0.0071948	-0.13286	0.90602	0.99386	0.89431	0.99254	0.070415	1.4801	0.065301	0.27282	0.13884	0.37222
ENSMUST00000096321_Armcx5	6	-0.018415	-0.47627	0.69117	0.9746	0.63388	0.98793	-0.018923	-0.55619	0.74417	0.85849	0.57808	0.75503
ENSMUST00000033522_3830417A13Rik	6	-0.029367	-0.67283	0.5114	0.96942	0.50105	0.98793	0.028371	0.7386	0.36236	0.606	0.46015	0.67208
ENSMUST00000058119_Arxes2	6	-0.04307	-0.80648	0.34187	0.89664	0.41996	0.98793	0.015503	0.32986	0.56671	0.75169	0.74151	0.85668
ENSMUST00000116527_Bex4	6	0.013272	0.23358	0.71601	0.97692	0.81531	0.98793	-0.017245	-0.34488	0.77593	0.8763	0.73018	0.84862
ENSMUST00000207892_Slc9a6	6	-0.073655	-1.6289	0.10013	0.71091	0.10332	0.98793	-0.062205	-1.5631	0.18617	0.43274	0.11804	0.33736
ENSMUST00000113116_Tceal7	6	-0.053482	-1.0542	0.23995	0.85556	0.2918	0.98793	-0.082178	-1.8408	0.083739	0.31292	0.065656	0.26296
ENSMUST00000113115_Tceal9	6	0.047402	0.37777	0.24072	0.85556	0.70561	0.98793	0.01079	0.097733	0.65736	0.79351	0.92214	0.95264
ENSMUST00000177710_Slc25a14	6	-0.0058437	-0.15202	0.93111	0.99556	0.87917	0.99254	-0.033555	-0.99183	0.4781	0.69852	0.32128	0.55147
ENSMUST00000144506_Atp6ap1	6	-0.068344	-0.97266	0.13086	0.7554	0.33072	0.98793	0.081557	1.3198	0.041485	0.21589	0.1869	0.42753
ENSMUST00000117804_Gm9429	6	-0.065291	-0.74086	0.15186	0.78543	0.45878	0.98793	0.0014302	0.018474	0.84712	0.92661	0.98526	0.99417
ENSMUST00000178632_Bex3	6	-0.066713	-1.638	0.14033	0.76276	0.10143	0.98793	-0.041952	-1.1708	0.36799	0.60926	0.24169	0.47787
ENSMUST00000044702_Frmpd3	6	-0.15428	-2.0027	0.0023047	0.25	0.045214	0.83489	0.089378	1.3266	0.030474	0.20339	0.18463	0.42635
ENSMUST00000155235_Prps1	6	0.003334	0.084427	0.89296	0.99386	0.93272	0.99863	-0.0059776	-0.17201	0.99795	0.99795	0.86343	0.92123
ENSMUST00000145941_Gm14820	6	-0.093067	-1.677	0.035595	0.53462	0.093538	0.98793	0.067907	1.3915	0.074008	0.28756	0.16408	0.4037
ENSMUST00000101695_Tfe3	6	-0.031299	-0.70501	0.48912	0.955	0.4808	0.98793	0.072084	1.8464	0.060435	0.26816	0.064839	0.26296
ENSMUST00000133128_Mcts1	6	0.0066951	0.12613	0.83508	0.98925	0.89963	0.99369	0.047434	1.0156	0.16825	0.40805	0.30982	0.53652
ENSMUST00000112990_Mid2	6	-0.06359	-0.71096	0.16236	0.7913	0.47711	0.98793	0.23845	3.0322	0.00025608	0.0083333	0.0024278	0.036464
ENSMUST00000139150_Rbmx2	6	-0.054091	-1.2701	0.23636	0.85556	0.20404	0.98793	0.077753	2.0791	0.047375	0.23086	0.037609	0.19327
ENSMUST00000145580_Gdi1	6	-0.10601	-1.7425	0.016645	0.40606	0.081419	0.98793	0.079763	1.4899	0.044814	0.22581	0.13624	0.37034
ENSMUST00000117257_Gm6088	6	-0.072136	-1.6037	0.10858	0.7129	0.10877	0.98793	-0.0093854	-0.23719	0.93035	0.9591	0.81251	0.88751
ENSMUST00000060057_Sowahd	6	-0.057201	-1.7709	0.2064	0.85556	0.076573	0.98793	0.059381	2.0891	0.10294	0.33782	0.036695	0.19327
ENSMUST00000117155_Gm14567	6	0.033504	0.58962	0.40435	0.93353	0.55545	0.98793	-0.041245	-0.8244	0.37695	0.61201	0.40971	0.63627
ENSMUST00000114160_Fam50a	6	-0.01348	-0.24834	0.77695	0.97692	0.80387	0.98793	-0.038492	-0.80573	0.40794	0.63593	0.4204	0.64002
ENSMUST00000112971_Atg4a	6	-0.056602	-1.4035	0.21255	0.85556	0.16045	0.98793	-0.026087	-0.73513	0.60205	0.76737	0.46226	0.6723
ENSMUST00000088546_Fmr1	6	0.023606	0.65182	0.54802	0.9702	0.51452	0.98793	-0.056441	-1.7706	0.22766	0.48712	0.076623	0.28444
ENSMUST00000123120_Gm6787	6	0.014924	0.45272	0.68323	0.9746	0.65075	0.98793	0.066999	2.309	0.076825	0.29268	0.020942	0.13406
ENSMUST00000114772_Fhl1	6	-0.1062	-1.5536	0.016645	0.40606	0.12029	0.98793	0.10427	1.7353	0.013572	0.15362	0.082683	0.29145
ENSMUST00000120692_Gm8545	6	0.0029612	0.076806	0.90243	0.99386	0.93878	0.99863	0.00083998	0.02476	0.86146	0.9337	0.98025	0.99296
ENSMUST00000136114_Plxna3	6	-0.066263	-1.1563	0.14289	0.76327	0.24756	0.98793	-0.06501	-1.2891	0.16748	0.40805	0.19735	0.4354
ENSMUST00000087157_Klhl34	6	-0.00162	-0.041644	0.99437	0.99641	0.96678	0.99863	-0.0039411	-0.11511	0.95954	0.97529	0.90836	0.94717
ENSMUST00000126843_Gria3	6	-0.057257	-1.3203	0.20615	0.85556	0.18674	0.98793	-0.040746	-1.0679	0.38156	0.61317	0.28557	0.51697
ENSMUST00000016553_Nkap	6	-0.013567	-0.3325	0.77593	0.97692	0.73951	0.98793	-0.034992	-0.97447	0.45813	0.68528	0.32982	0.55756
ENSMUST00000046433_Rnf113a1	6	0.029853	0.67174	0.45813	0.94308	0.50175	0.98793	0.031556	0.80676	0.3219	0.56473	0.41981	0.64002
ENSMUST00000130732_Col4a5	6	0.00026271	0.006481	0.95595	0.99556	0.99483	0.99863	-0.1055	-2.9565	0.032522	0.20451	0.0031113	0.04263
ENSMUST00000112491_Rps6ka3	6	0.018944	0.42439	0.61869	0.9746	0.67128	0.98793	-0.018205	-0.46344	0.75903	0.87107	0.64305	0.79718
ENSMUST00000143784_Ikbkg	6	-0.010426	-0.23188	0.83636	0.98925	0.81663	0.98793	0.05658	1.43	0.11447	0.35038	0.15272	0.38717
ENSMUST00000033744_Atp2b3	6	0.0042332	0.088366	0.87913	0.99386	0.92959	0.99863	-0.046317	-1.0985	0.3178	0.56281	0.27198	0.50217
ENSMUST00000087143_Eif1ax	6	-0.087702	-1.7352	0.053265	0.64848	0.082704	0.98793	0.024491	0.55067	0.42023	0.64558	0.58186	0.75503
ENSMUST00000118873_Gm6382	6	-0.0069385	-0.26043	0.9096	0.99386	0.79454	0.98793	-0.016937	-0.72235	0.78284	0.87719	0.47008	0.67737
ENSMUST00000112471_Map7d2	6	0.015413	0.30121	0.67682	0.9746	0.76325	0.98793	0.11581	2.5726	0.0087068	0.12593	0.010095	0.080456
ENSMUST00000112914_Nxt2	6	-0.089364	-1.3871	0.046863	0.64211	0.16542	0.98793	0.072774	1.284	0.058387	0.26057	0.19916	0.43569
ENSMUST00000132784_Arhgap36	6	-0.010542	-0.21154	0.83431	0.98925	0.83247	0.98793	0.04502	1.027	0.1854	0.43224	0.30444	0.53045
ENSMUST00000119345_Gm15186	6	-0.00092317	-0.018812	0.979	0.99641	0.98499	0.99863	0.010948	0.25351	0.6548	0.79319	0.79987	0.88442
ENSMUST00000154694_A830080D01Rik	6	-0.079252	-1.8973	0.078361	0.65051	0.057783	0.98697	0.043711	1.1903	0.19744	0.44696	0.23391	0.47115
ENSMUST00000019701_Dusp9	6	-0.028154	-0.29259	0.53035	0.9702	0.76983	0.98793	-0.64814	-7.6416	0	0	2.1459e-14	5.5866e-12
ENSMUST00000026013_Maoa	6	-0.082759	-1.0261	0.06735	0.65051	0.30486	0.98793	0.069587	0.98041	0.067606	0.27282	0.32689	0.5562
ENSMUST00000112447_Sh3kbp1	6	-0.0034687	-0.10242	0.97132	0.99556	0.91843	0.99757	-0.049395	-1.6571	0.29014	0.53919	0.0975	0.31431
ENSMUST00000136930_Gripap1	6	-0.020561	-0.60209	0.65659	0.9746	0.54711	0.98793	-0.077756	-2.5868	0.099616	0.33447	0.0096862	0.078801
ENSMUST00000164449_Slc6a8	6	0.0052455	0.12131	0.86044	0.99299	0.90344	0.99369	-0.057538	-1.5118	0.22023	0.47778	0.13058	0.36165
ENSMUST00000151914_Tmem164	6	0.0080171	0.25101	0.80615	0.98627	0.80181	0.98793	-0.035549	-1.2646	0.45301	0.6817	0.206	0.44408
ENSMUST00000033665_Map3k15	6	-0.080415	-1.1056	0.074264	0.65051	0.26889	0.98793	0.18517	2.8959	0.0010243	0.023529	0.0037807	0.049213
ENSMUST00000146874_Xiap	6	0.047132	0.75677	0.242	0.85556	0.44919	0.98793	-0.20518	-3.7427	0.0010243	0.023529	0.00018208	0.0050786
ENSMUST00000123245_Stag2	6	-0.02489	-0.66175	0.58156	0.9746	0.50813	0.98793	0.10095	3.0512	0.017157	0.16522	0.0022794	0.035605
ENSMUST00000002084_Abcd1	6	0.0012847	0.024533	0.9347	0.99556	0.98043	0.99863	0.0050637	0.10987	0.77106	0.8763	0.91251	0.94896
ENSMUST00000112868_Pak3	6	0.00032187	0.0066023	0.95467	0.99556	0.99473	0.99863	0.089385	2.0842	0.030474	0.20339	0.037146	0.19327
