ID	RE	R1_Unsorted	R1_Negative	R1_Low	R1_Medium	R1_High	R2_Unsorted	R2_Negative	R2_Low	R2_Medium	R2_High
gRNA_6482	RE127	820.340113311428	847.666029613172	793.593999310639	698.586452346991	754.180389700645	785.252745070077	796.46481794255	898.993353556759	903.672526023095	808.717869340081
gRNA_3850	RE84	817.849202036191	680.716565398619	857.08151925549	837.270076055827	838.964067497057	651.975903016899	681.064999560188	677.91092282009	643.9632210015	726.284180941682
gRNA_3606	RE79	460.818585918869	475.010975562832	391.913344274946	435.862817370626	471.239511473082	420.242294762274	437.901096540212	378.998452691431	398.735847486686	387.004473954588
gRNA_6721	RE130	888.425021501243	752.266335776285	902.255331523942	907.042582393812	876.426622802449	859.695665856537	765.554152304418	786.196195017642	922.981768032135	1003.95555238892
gRNA_6380	RE127	646.806627803241	718.478944209054	715.455513224669	629.675334976141	641.79272378447	593.141981750181	625.42580141155	614.744514038185	617.895744289296	563.15225021643
gRNA_1	RE1	494.861040013776	420.354900968782	428.540759627745	457.397541549016	408.144681485054	458.664447426253	443.052874146567	521.122872450718	513.625837440477	478.983115746485
gRNA_7037	RE138	391.073070212229	385.573762590751	409.006138106252	374.704200703996	413.073965077869	256.948145940361	248.315680626332	234.618089761362	230.745442008033	301.099893413098
gRNA_81	RE5	540.527746726457	563.454441724113	495.691021107876	569.378107276647	564.895899736561	667.584902536641	612.031179635026	576.393480134885	622.723054791556	610.009294148151
gRNA_3561	RE78	552.982303102643	519.729582048873	521.330211854835	570.239496243783	579.683750515005	524.702522317467	436.870741018941	556.089991597844	381.357529678549	505.014806819664
gRNA_3951	RE85	684.170296931798	836.734814694362	599.468697940806	543.536438262579	516.588920526977	421.442987033023	517.238471678086	441.036889887945	440.250717806123	321.057523235869
gRNA_2030	RE50	435.079169408085	470.042241508828	511.562901094089	468.595598121779	402.229541173677	455.062370614005	519.299182720628	524.506787206892	474.041891321944	571.829480574156
gRNA_1983	RE49	734.818826194953	477.992215995235	728.885565520695	922.547583802253	885.299333269515	698.802901576124	558.452692528929	785.068223432251	784.920687667496	911.976910597023
gRNA_101	RE7	214.218369670393	240.486728213819	223.427233652072	271.337524647721	266.181314011992	283.363375896847	361.654787966151	265.073322566924	311.844258446004	266.390971982194
BRDN0000738256	NT	528.073190350271	542.585758697294	523.772039545022	540.090882394036	645.736150658722	278.56060681385	268.922791051753	346.287276715087	325.360727852332	301.099893413098
gRNA_3349	RE72	361.182134909384	413.398673293176	365.053239682894	336.803086150029	390.399260550922	291.768221792093	265.83172448794	327.111759763438	352.393666664989	320.189800200096
BRDN0000737555	NT	427.606435582374	476.998469184434	421.215276557185	497.882823004391	510.6737802156	325.387605373075	335.895899934374	411.709628667775	363.013749769961	424.31656449281
gRNA_1592	RE42	283.13358161862	267.317892105443	302.786633583136	312.684195070231	345.049851497027	196.913532402894	164.856883403374	118.437016466072	195.023344291309	199.576298227702
gRNA_2744	RE61	454.17615585157	461.098520211619	516.446556474462	415.189482159371	458.423374131764	396.228449347286	504.874205422832	436.525003546381	434.457945203411	420.84567234972
gRNA_5761	RE116	513.127722698849	541.592011886493	504.237418023529	592.635609389309	475.182938347334	545.114290920206	507.965271986646	474.87603744968	461.490884016067	586.58077218229
gRNA_2290	RE55	575.400504579777	522.710822481276	682.49083940715	573.685052112326	631.934156598841	273.757837730852	257.588880317771	295.528555372485	274.191236528375	277.671371447238
gRNA_5605	RE113	382.770032628105	395.51123069876	339.414048935935	356.615032394148	416.031535233558	458.664447426253	515.177760635543	476.004009035072	503.005754335505	436.464686993627
gRNA_6905	RE135	811.206771968892	945.05321707166	919.348125355248	873.448412675523	862.624628742567	587.138520396434	542.997359709863	492.923582815939	587.966419175283	596.125725575789
gRNA_2651	RE60	259.885076383074	322.967713510294	290.577495132203	320.436695774452	290.827731976065	322.986220831576	336.926255455645	331.623646105002	325.360727852332	336.676537879776
gRNA_1334	RE36	617.745996258808	605.191807777751	611.677836391739	646.903114318854	618.13216253896	668.78559480739	732.582775623743	767.020678065992	630.446751595172	659.46950718719
gRNA_768	RE22	197.612294502145	243.467968646221	168.486110622874	171.416404459989	225.761188550912	73.2422285157106	71.094530967705	86.8538120751197	58.8931881275735	71.1532889333548
gRNA_5983	RE121	335.4427183986	468.054747887226	268.601045920524	299.763360563197	292.799445413191	229.332223713126	306.015589817513	169.195737808674	209.505275798089	171.809161082978
gRNA_6976	RE137	419.30339799825	408.429939239172	382.1460335142	357.476421361284	365.752842586848	348.200758517312	393.595809125555	295.528555372485	274.191236528375	315.851185021233
gRNA_1767	RE46	392.733677729054	196.761868538579	427.319845782652	433.278650469219	467.296084598831	429.847832928268	350.320877232169	407.19774232621	536.796927851325	592.654833432699
gRNA_229	RE10	306.382086854167	367.686319996334	395.576085810226	397.100313849522	437.720383041942	196.913532402894	235.951414371079	195.139084272671	187.299647487692	206.518082513883
gRNA_1291	RE35	518.939849007735	566.435682156515	589.701387180059	574.546441079461	581.655463952131	582.335751313436	646.032911836971	620.384371965141	459.559959815163	527.575605749752
gRNA_3658	RE79	249.091127523713	296.136549618669	285.69383975183	253.248356337873	305.615582754509	336.193835809819	447.174296231651	398.173969643081	335.015348856852	313.248015913915
gRNA_4948	RE105	545.509569276931	496.873405400452	474.93548574129	406.575592488014	476.168795065897	450.259601531007	594.515135773417	389.150196959952	500.109368034148	483.321730925349
gRNA_3325	RE72	469.121623502993	493.892164968049	494.470107262783	522.001714084188	494.900072718593	401.031218430284	474.993895305971	391.406140130734	393.908536984426	361.840505917182
gRNA_4072	RE87	255.733557591012	245.455462267823	285.69383975183	257.555301173551	192.242060119772	228.131531442377	264.801368966669	259.433464639968	284.811319633347	246.433342159423
gRNA_4657	RE99	645.146020286417	610.160541831755	720.339168605042	652.932837088803	648.693720814411	715.612593366615	824.28441701687	619.25640037975	709.614643832238	765.33171755145
gRNA_998	RE27	409.339752897301	354.767611455923	384.587861204386	358.337810328419	398.286114299425	328.989682185323	265.83172448794	295.528555372485	281.914933331991	315.851185021233
gRNA_455	RE17	534.71562041757	532.648290589285	511.562901094089	528.892825821273	480.112221940149	438.252678823514	515.177760635543	523.378815621501	427.699710500247	463.364101102578
gRNA_6806	RE133	561.285340686767	600.223073723746	576.271334884033	543.536438262579	528.419201149733	434.650602011266	546.088426273676	442.164861473337	462.456346116519	477.24766967494
gRNA_4882	RE105	433.41856189126	427.311128644389	401.680655035692	480.655043661678	392.370973988048	298.972375416589	276.135279700651	286.504782689356	282.880395432443	309.777123770825
gRNA_6007	RE121	542.188354243282	526.685809724479	568.945851813474	583.160330750817	550.108048958117	368.612527120051	298.803101168615	356.439020983608	309.9133342451	324.528415378959
gRNA_3031	RE66	448.364029542683	393.523737077158	369.936895063267	466.011431220372	438.706239760505	479.076216028992	397.717231210639	356.439020983608	542.589700454038	428.655179671674
gRNA_2264	RE55	419.30339799825	528.673303346081	471.27274420601	421.21920492932	466.310227880268	475.474139216744	492.509939167579	498.563440742895	518.453147942737	488.528069139984
gRNA_4909	RE105	555.47321437788	573.391909832122	534.760264150861	534.061159624087	550.108048958117	463.46721650925	483.23673947614	469.236179522724	502.040292235052	490.26351521153
gRNA_5691	RE114	699.115764583221	723.447678263058	603.131439476086	696.86367441272	791.642945006036	919.730279394005	915.986058409996	883.201751361282	785.886149767948	859.045805414893
gRNA_4223	RE89	590.3459722312	696.616514371434	612.898750236832	562.486995539562	547.150478802428	399.830526159535	386.383320476657	486.155753303592	385.219378080357	390.475366097678
gRNA_6043	RE122	459.157978402044	418.367407347181	432.203501163025	416.050871126506	403.21539789224	398.629833888785	479.115317391055	285.376811103964	373.633832874933	367.91456716759
gRNA_3866	RE84	486.558002429653	543.579505508095	483.481882656943	448.78365187766	461.380944287453	469.470677862997	534.754515539694	532.40258830463	421.906937897534	406.094380741585
gRNA_5922	RE120	567.097466995653	574.385656642923	656.85164866019	535.783937558358	623.061446131774	545.114290920206	601.727624422315	497.435469157504	588.931881275735	531.914220928615
gRNA_5865	RE120	254.903253832599	286.19908151066	247.845510553938	219.654186619584	314.488293221576	187.307994236899	232.860347807265	247.025777200665	236.538214610746	211.724420728519
gRNA_61	RE4	780.485532907634	775.122512424705	793.593999310639	770.081736619248	691.085559712617	549.917060003204	521.35989376317	647.455690014529	595.690115978899	531.046497892843
gRNA_3205	RE68	204.254724569444	204.711843024986	197.788042905113	259.278079107823	285.898448383251	274.958530001602	307.045945338784	300.04044171405	277.087622829731	329.734753593595
gRNA_1878	RE48	562.115644445179	516.74834161647	521.330211854835	564.209773473834	572.782753485065	845.287358607545	693.429265815441	1015.17442685204	973.185797255641	1029.98724346209
BRDN0000737848	NT	629.370248876581	653.885401506995	658.072562505284	599.526721126394	640.806867065907	347.000066246563	334.865544413103	330.495674519611	346.600894062276	354.030998595228
BRDN0000738186	NT	350.388186050023	386.567509401552	354.065015077054	379.87253450681	402.229541173677	527.103906858966	510.025983029188	485.027781718201	517.487685842285	562.284527180657
gRNA_588	RE20	257.394165107836	203.718096214185	218.543578271699	211.040296948228	226.747045269474	84.0484589524548	121.581951509988	133.100647076157	87.8570511411342	57.2697203609928
gRNA_4421	RE93	579.552023371839	699.597754803837	481.040054966756	545.25921619685	343.078138059901	656.778672099896	708.884598634508	711.750070381825	677.754394517321	583.977603074972
gRNA_4855	RE105	673.376348072437	790.028714586719	647.084337899444	671.883394365787	629.962443161715	488.681754194987	435.84038549767	535.786503060803	460.525421915615	413.903888063539
gRNA_6982	RE137	293.097226719569	323.961460321095	335.751307400655	331.634752347215	379.554836646729	297.771683145839	296.742390126073	339.51944720274	351.428204564537	307.173954663507
gRNA_2836	RE62	447.533725784271	510.785860751665	417.552535021905	464.288653286101	426.87595913775	527.103906858966	541.967004188592	489.539668059766	438.319793605219	581.374433967655
gRNA_6372	RE127	873.47955384982	1088.15275782699	744.757445506908	799.368961501859	592.499887856323	716.813285637364	743.916686357725	672.271064893134	622.723054791556	531.914220928615
gRNA_506	RE18	508.145900148374	526.685809724479	504.237418023529	471.179765023186	443.63552335332	513.896291880723	581.120513996893	632.792059404444	462.456346116519	545.797789500977
gRNA_1113	RE30	852.721959889511	700.591501614638	725.222823985415	910.488138262355	942.479022946165	701.204286117622	699.611398943068	720.773843064954	884.363284014054	836.485006484805
BRDN0000738311	NT	360.351831150971	392.529990266357	332.088565865375	354.892254459877	340.120567904212	426.24575611602	564.634825656556	469.236179522724	487.558360728272	453.819147709079
gRNA_4999	RE106	455.836763368395	394.517483887959	451.738122684517	418.635038027913	481.098078658712	465.868601050749	410.081497465892	487.283724888983	472.11096712104	504.147083783891
gRNA_2974	RE65	293.097226719569	288.186575132262	283.252012061643	347.139753755656	327.304430562894	295.370298604341	307.045945338784	279.736953177009	279.018547030635	281.142263590328
gRNA_113	RE7	195.121383226908	142.105793944529	180.695249073807	202.426407276871	213.930907928156	151.287226114418	127.764084637614	134.228618661548	205.643427396281	151.851531260208
gRNA_5525	RE112	615.255084983571	610.160541831755	476.156399586383	603.833665962072	648.693720814411	560.723290439948	561.543759092742	447.804719400292	531.004155248613	662.072676294508
gRNA_5878	RE120	447.533725784271	378.617534915144	380.925119669107	344.555586854249	389.413403832359	548.716367732455	513.117049593001	509.843156596807	444.112566207931	521.501544499344
gRNA_6695	RE130	249.091127523713	184.836906808968	253.950079779404	280.812803286213	280.969164790436	304.975836770336	321.470922636579	357.566992568999	278.053084930183	255.11057251715
gRNA_3704	RE81	806.224949418418	895.365876531615	738.652876281441	859.666189201353	855.723631712627	809.266590485064	775.857707517128	908.017126239888	937.463699538916	844.294513806758
gRNA_2233	RE54	276.491151551321	280.236600645855	349.181359696681	281.674192253349	164.63807200001	482.67829284124	406.990430902079	525.634758792283	502.040292235052	269.861864125284
gRNA_5278	RE111	684.170296931798	708.541476101045	681.269925562056	631.398112910412	646.722007377285	438.252678823514	346.199455147085	394.790054886908	344.669969861372	374.856351453771
gRNA_109	RE7	353.709401083672	339.861409293909	374.82055044364	360.060588262691	449.550663664698	348.200758517312	294.681679083531	364.334822081346	334.0498867564	384.40130484727
gRNA_6617	RE128	494.861040013776	478.985962806036	583.596817954593	472.902542957457	439.692096479068	368.612527120051	376.079765263946	347.415248300479	417.079627395274	414.771611099312
gRNA_7023	RE138	213.38806591198	248.436702700226	163.602455242501	158.495569952954	155.765361532943	371.01391166155	283.347768349549	328.239731348829	313.775182646908	354.030998595228
gRNA_6251	RE125	536.376227934395	653.885401506995	481.040054966756	484.100599530221	542.221195209614	528.304599129715	512.08669407173	496.307497572112	510.729451139121	450.348255565989
gRNA_796	RE22	450.85494081792	513.767101184067	507.900159558809	485.823377464492	445.607236790446	504.290753714728	435.84038549767	550.450133670888	545.486086755394	563.15225021643
gRNA_5543	RE112	491.539824980127	525.692062913678	477.377313431477	596.942554224987	655.594717844351	754.034746030594	696.520332379255	757.996905382863	721.200189037662	833.881837377487
gRNA_4539	RE97	146.133461480578	166.949464214552	124.533212199515	136.960845774564	165.623928718573	248.543300045116	239.042480934892	225.594317078233	286.742243834251	238.62383483747
gRNA_1749	RE45	717.382447268293	711.522716533447	725.222823985415	784.725349060554	802.487368910228	755.235438301344	744.947041878996	823.419257335551	754.025900453031	833.881837377487
gRNA_407	RE15	793.770393042232	766.178791127497	765.512980873493	801.953128403266	963.182014035987	758.837515113592	665.609666741122	667.75917855157	648.79053150376	697.649320761186
gRNA_5753	RE116	494.861040013776	562.460694913312	483.481882656943	556.457272769613	569.825183329376	457.463755155504	494.570650210122	549.322162085497	507.833064837765	454.686870744852
gRNA_2007	RE50	474.103446053467	484.948443670841	498.132848798063	465.150042253237	469.267798035956	510.294215068475	479.115317391055	506.459241840633	424.803324198891	429.522902707446
gRNA_5305	RE111	494.861040013776	550.535733183701	441.970811923771	464.288653286101	537.291911616799	392.626372535038	416.263630593519	377.87048110604	369.771984473125	373.988628417999
gRNA_3140	RE68	709.07940968417	687.672793074226	593.364128715339	646.041725351718	668.410855185669	548.716367732455	586.272291603248	626.024229892097	672.927084015061	507.617975926982
gRNA_3207	RE69	447.533725784271	526.685809724479	477.377313431477	490.13032230017	497.857642874282	368.612527120051	312.197722945139	357.566992568999	374.599294975385	397.417150383859
gRNA_5504	RE112	856.873478681573	982.815595882095	883.941623847543	936.329807276423	813.331792814421	796.058975506822	942.775301963045	772.660535992948	738.578506845799	730.622796120545
gRNA_1075	RE30	442.551903233797	356.755105077524	391.913344274946	411.743926290828	424.904245700624	537.91013729571	551.240203880031	514.355042938371	461.490884016067	443.406471279808
gRNA_4088	RE87	201.763813294207	247.442955889425	236.857285948098	198.980851408329	197.171343712586	176.501763800155	181.342571743711	198.522999028845	186.33418538724	177.883222333386
gRNA_940	RE25	545.509569276931	537.617024643289	518.888384164649	582.298941783682	603.344311760516	601.546827645426	564.634825656556	569.625650622538	559.968018262174	564.887696287975
gRNA_4877	RE105	345.406363499548	291.167815564665	310.112116653696	372.120033802589	326.318573844331	300.173067687338	311.167367423868	344.031333544305	332.118962555496	321.057523235869
gRNA_6527	RE127	474.933749811879	558.485707670108	432.203501163025	439.308373239168	419.97496210781	465.868601050749	555.361625965116	602.336826598882	412.252316893014	393.946258240769
gRNA_5403	RE111	333.782110881775	344.830143347914	389.47151658476	324.74364061013	347.021564934153	443.055447906511	493.54029468885	365.462793666737	395.83946118533	449.480532530216
gRNA_5598	RE113	523.921671558209	476.998469184434	533.539350305768	542.675049295443	493.91421600003	565.526059522946	513.117049593001	600.0808834281	524.245920545449	548.400958608295
gRNA_3141	RE68	586.194453439138	607.179301399353	584.817731799686	597.803943192123	667.424998467106	695.200824763876	740.825619793912	623.768286721314	723.131113238566	720.210119691274
gRNA_810	RE22	456.667067126807	442.217330806402	481.040054966756	506.496712675747	354.908418682656	529.505291400465	492.509939167579	514.355042938371	456.663573513807	478.115392710713
gRNA_1386	RE37	483.236787396003	512.773354373267	559.178541052727	486.684766431627	565.881756455124	511.494907339224	421.415408199874	487.283724888983	473.076429221492	426.919733600128
gRNA_2922	RE64	450.024637059508	451.16105210361	510.341987248995	351.446698591334	371.667982898226	228.131531442377	227.70857020091	245.897805615274	221.090821003513	284.613155733419
gRNA_154	RE7	624.388426326107	749.285095343882	666.618959420937	769.220347652112	611.231165509019	505.491445985478	473.9635397847	494.05155440133	459.559959815163	528.443328785525
gRNA_6531	RE127	513.127722698849	490.910924535647	466.389088825637	447.922262910524	463.352657724579	337.394528080568	345.169099625814	444.420804644119	360.117363468605	356.634167702546
gRNA_4768	RE103	153.606195306289	132.16832583652	164.823369087594	188.644183802701	163.652215281447	159.692072009664	194.737193520235	245.897805615274	218.194434702157	249.036511266741
gRNA_533	RE18	585.364149680725	495.879658589651	554.294885672354	580.576163849411	536.306054898236	379.418757556796	317.349500551494	447.804719400292	363.013749769961	379.194966632634
gRNA_4663	RE99	371.145780010332	323.961460321095	378.48329197892	359.199199295555	329.27614400002	253.346069128113	377.110120785218	314.704072324135	259.709305021594	259.449187696013
gRNA_1009	RE28	424.285220548724	406.44244561757	384.587861204386	436.724206337761	512.645493652726	757.636822842842	659.427533613496	806.499683554683	749.198589950771	840.823621663668
gRNA_3998	RE85	495.691343772189	542.585758697294	523.772039545022	545.25921619685	527.43334443117	464.66790878	458.508206965634	469.236179522724	414.183241093918	400.020319491177
gRNA_420	RE16	248.2608237653	251.417943132628	266.159218230337	259.278079107823	194.213773556898	213.723224193385	206.071104254217	225.594317078233	176.67956438272	242.09472698056
gRNA_4998	RE106	258.224468866249	266.324145294642	365.053239682894	262.723634976365	355.894275401219	312.179990394832	347.229810668356	374.486566349867	296.396864838771	319.322077164323
gRNA_1810	RE46	366.163957459858	326.942700753497	374.82055044364	408.298370422286	406.172968047929	517.498368692971	566.695536699098	647.455690014529	550.313397257654	695.91387468964
gRNA_295	RE13	638.503590219118	680.716565398619	684.932667097336	613.308944600564	584.61303410782	498.287292360982	599.666913379773	514.355042938371	498.178443833244	568.358588431065
gRNA_507	RE18	452.515548334745	463.086013833221	415.110707331719	476.348098826	409.130538203617	482.67829284124	438.931452061483	462.468350010378	433.492483102959	497.20529949771
gRNA_5176	RE110	530.564101625509	534.635784210886	664.17713173075	587.467275586496	590.528174419197	493.484523277984	437.901096540212	556.089991597844	572.51902556805	538.856005214796
gRNA_37	RE4	181.006219333898	152.043262052538	167.26519677778	187.782794835566	159.708788407195	219.726685547131	149.401550584307	146.636306100851	237.503676711198	243.830173052106
gRNA_1594	RE42	863.515908748872	854.622257288778	907.138986904315	878.616746478337	939.521452790476	826.076282275555	700.641754464339	904.633211483715	847.675724196877	880.738881309208
gRNA_3024	RE65	693.303638274335	663.822869615004	659.293476350377	783.863960093418	712.774407521001	799.66105231907	736.704197708827	869.666092336588	760.784135156195	831.278668270169
gRNA_3052	RE66	967.303878550419	1057.34660669216	1080.50875290756	1000.93397981159	985.856718562934	1095.03135092341	966.47347895228	1077.21286404856	1019.52797807733	1102.87597846699
gRNA_4027	RE85	389.412462695404	461.098520211619	346.739532006494	320.436695774452	287.870161820376	428.647140657519	601.727624422315	456.828492083422	396.804923285782	350.560106452138
gRNA_538	RE18	404.357930346827	413.398673293176	468.830916515824	476.348098826	393.35683070661	411.837448867028	453.356429359278	462.468350010378	508.798526938217	458.157762887943
gRNA_5135	RE108	234.975963630702	242.47422183542	227.089975187352	212.763074882499	193.227916838335	128.47407297018	112.308751818548	142.124419759286	144.819315067803	137.100239652073
gRNA_4865	RE105	534.71562041757	549.5419863729	550.632144137074	468.595598121779	521.518204119792	519.89975323447	576.999091911809	551.57810525628	486.59289862782	601.332063790425
gRNA_5423	RE112	857.703782439985	825.803599775552	770.396636253867	893.260358919642	950.365876694669	626.761365331163	648.093622879514	668.887150136961	692.236326024101	603.06750986197
gRNA_4731	RE102	290.606315444332	236.511740970615	307.670288963509	380.733923473946	251.393463233548	144.083072489922	157.644394754476	129.716732319984	143.853852967351	129.29073233012
gRNA_5134	RE108	670.055133038788	594.260592858941	610.456922546645	718.39839859111	613.202878946145	626.761365331163	633.668645581718	756.868933797472	660.376076709185	778.347563088039
gRNA_5735	RE116	422.624613031899	535.629531021687	484.702796502036	518.556158215646	535.320198179673	545.114290920206	528.572382412067	583.161309647232	542.589700454038	500.676191640801
gRNA_793	RE22	295.588137994806	276.261613402651	297.902978202763	262.723634976365	280.969164790436	206.519070568888	154.553328190663	135.356590246939	187.299647487692	167.470545904115
gRNA_3283	RE71	542.188354243282	539.604518264891	555.515799517447	465.150042253237	489.970789125778	300.173067687338	286.438834913362	300.04044171405	267.43300182521	315.851185021233
gRNA_3095	RE67	415.151879206188	407.436192428371	363.8323258378	355.753643427012	371.667982898226	503.090061443979	593.484780252146	712.878041967216	505.902140636861	614.347909327014
gRNA_6412	RE127	337.933629673837	440.2298371848	335.751307400655	323.020862675859	281.955021508999	265.352991835607	279.226346264464	225.594317078233	227.849055706677	258.58146466024
gRNA_2317	RE55	518.939849007735	693.635273939031	572.608593348753	524.585880985595	577.712037077879	250.944684586615	243.163903019976	284.248839518573	248.12375981617	281.142263590328
gRNA_4603	RE98	543.848961760107	519.729582048873	393.134258120039	514.249213379968	435.748669604817	408.23537205478	463.659984571989	363.206850495955	455.698111413355	356.634167702546
gRNA_1184	RE31	686.661208207035	714.50395696585	588.480473334966	789.032293896232	742.350109077889	959.353124328734	899.500370069659	762.508791724428	902.707063922643	752.315872014861
gRNA_599	RE20	587.855060955963	615.12927588576	691.037236322803	650.348670187396	753.194532982082	578.733674501188	629.547223496634	712.878041967216	600.517426481159	707.194274154684
gRNA_2990	RE65	301.400264303692	207.693083457389	294.240236667483	282.535581220484	358.851845556908	102.058843013695	63.8820423188074	125.204845978419	126.475535159215	88.5077496488071
gRNA_6569	RE127	167.7213591993	194.774374916977	208.776267510952	211.040296948228	236.605612455104	99.6574584721964	137.037284329054	102.645414270596	166.059481277748	131.026178401665
gRNA_2509	RE57	265.69720269196	327.936447564298	272.263787455804	254.971134272144	278.99745135331	273.757837730852	331.77447784929	238.002004517536	240.400063012554	225.607989300881
gRNA_730	RE22	141.151638930104	180.861919565764	212.439009046232	182.614461032752	204.072340742527	178.903148341653	151.462261626849	196.267055858062	208.539813697637	168.338268939888
gRNA_4211	RE89	331.291199606538	262.349158051438	311.333030498789	354.892254459877	273.082311041932	247.342607774367	279.226346264464	243.641862444491	272.260312327471	286.348601804964
gRNA_3380	RE73	384.43064014493	345.823890158714	358.948670457427	395.377535915251	411.102251640743	345.799373975814	378.140476306489	335.007560861176	379.426605477645	332.337922700913
gRNA_1859	RE48	231.654748597053	208.68683026819	272.263787455804	302.347527464604	218.860191520971	231.733608254625	270.983502094296	281.992896347791	195.988806391761	224.740266265108
gRNA_5523	RE112	435.909473166498	479.979709616837	349.181359696681	502.189767840069	542.221195209614	639.968980309405	540.93664866732	591.05711074497	661.341538809637	623.892862720513
gRNA_2216	RE53	252.412342557362	184.836906808968	256.391907469591	222.238353520991	191.256203401209	180.103840612403	193.706837998964	180.475453662586	211.436199998993	225.607989300881
gRNA_4153	RE88	253.242646315775	234.524247349013	234.415458257912	282.535581220484	241.534896047919	286.965452709095	315.288789508952	274.097095250053	310.878796345552	254.242849481377
