Gene	sgRNA	2iSL|beta	2iSL|z	2iSL|p-value	2iSL|fdr	2iSL|wald-p-value	2iSL|wald-fdr
Csde1_p1	8	0.052679	0.60794	0.2951	0.95385	0.54323	0.99215
Zfp574_p2	8	-0.0087756	-0.16565	0.80699	0.98042	0.86844	0.99215
Mllt10_p2	8	0.045445	0.83356	0.39161	0.96552	0.40453	0.99215
RE53	10	0.016805	0.41679	0.76643	0.98042	0.67683	0.99215
Nfatc4_p1	8	0.093912	1.8871	0.065734	0.78333	0.059151	0.99215
Pias2_p2	8	0.10973	1.8599	0.033566	0.725	0.062904	0.99215
Mbd3_p1	8	0.020507	0.27545	0.75524	0.98042	0.78297	0.99215
Rlf_p1	8	-0.051456	-0.9473	0.24476	0.91795	0.34349	0.99215
Hnrnpk_p1	8	-0.055709	-0.87018	0.21818	0.91795	0.3842	0.99215
RE49	10	0.056659	1.1194	0.21399	0.91795	0.26299	0.99215
Zfp281_p1	8	0.0087716	0.1189	0.93706	0.98042	0.90535	0.99215
Gm20422_p1	8	-0.0086537	-0.35635	0.80699	0.98042	0.72158	0.99215
Zfp296_p1	8	-0.012396	-0.2055	0.72448	0.98042	0.83718	0.99215
Foxn3_p2	8	0.048425	0.65058	0.34545	0.95385	0.51531	0.99215
Klf2_p1	8	0.02124	0.42864	0.74266	0.98042	0.66819	0.99215
Esrrb_p3	8	-0.021398	-0.29461	0.57343	0.98042	0.76829	0.99215
Klf5_p1	8	-0.027651	-0.40423	0.47413	0.98042	0.68604	0.99215
Rif1_p1	8	0.095495	1.4464	0.06014	0.78182	0.14805	0.99215
Gabpb1_p1	8	-0.029815	-0.68135	0.44336	0.98042	0.49565	0.99215
Zfp280c_p1	8	0.047491	0.70196	0.36224	0.96296	0.4827	0.99215
RE85	10	-0.081809	-1.108	0.040559	0.725	0.26787	0.99215
Rbpj_p2	8	-0.015275	-0.25639	0.66713	0.98042	0.79765	0.99215
Ctcf_p1	8	0.0085497	0.18888	0.93986	0.98042	0.85019	0.99215
Tox4_p2	8	0.025608	0.27591	0.68531	0.98042	0.78261	0.99215
RE47	10	-0.012582	-0.36634	0.7007	0.98042	0.71411	0.99215
Zic3_p1	8	0.035839	0.49411	0.52168	0.98042	0.62123	0.99215
Myc_p1	8	-0.056118	-1.4672	0.21399	0.91795	0.14233	0.99215
Ybx3_p1	8	-0.02785	-0.24801	0.46853	0.98042	0.80413	0.99215
Zfx_p1	8	0.019353	0.3114	0.77622	0.98042	0.75549	0.99215
Gli2_p1	8	0.0022252	0.038672	0.96783	0.98042	0.96915	0.99215
E2f4_p1	8	-0.070245	-1.2675	0.13147	0.91795	0.20498	0.99215
Id2_p2	8	0.070878	1.4679	0.14965	0.91795	0.14213	0.99215
Zfp236_p1	8	-0.0091549	-0.13509	0.79301	0.98042	0.89254	0.99215
Csrnp1_p1	8	-0.10158	-1.1813	0.029371	0.725	0.23747	0.99215
Epas1_p1	8	-0.09229	-1.8363	0.051748	0.76	0.066312	0.99215
Capn15_p1	8	9.8998e-05	0.0026138	0.94266	0.98042	0.99791	0.99791
Tfam_p2	8	0.023292	0.34092	0.71608	0.98042	0.73316	0.99215
RE46	10	-0.037814	-0.62634	0.34266	0.95385	0.53109	0.99215
Foxd3_p1	8	-0.036217	-0.49201	0.37063	0.96364	0.62271	0.99215
Adnp_p1	8	-0.0032413	-0.058371	0.89091	0.98042	0.95345	0.99215
Setdb1_p1	8	0.073252	1.2915	0.13986	0.91795	0.19652	0.99215
Tcf7_p2	8	0.045937	0.7627	0.38741	0.96552	0.44564	0.99215
FIREWACh	10	0.024553	0.32236	0.61399	0.98042	0.74718	0.99215
Erf_p1	8	0.040431	0.42235	0.44336	0.98042	0.67277	0.99215
Yy1_p1	8	-0.11002	-1.8754	0.018182	0.725	0.060743	0.99215
Grhl3_p1	8	-0.027392	-0.62343	0.47692	0.98042	0.533	0.99215
Arid1a_p1	8	0.0060675	0.076145	0.98042	0.98042	0.9393	0.99215
Gabpa_p1	8	0.066073	0.87835	0.16923	0.91795	0.37975	0.99215
Mitf_p1	8	-0.022027	-0.42364	0.56783	0.98042	0.67183	0.99215
Arnt_p1	8	-0.05283	-1.0903	0.23636	0.91795	0.27558	0.99215
Sub1_p1	8	0.04932	0.89263	0.33007	0.95385	0.37206	0.99215
RE96	10	-0.015849	-0.3561	0.64196	0.98042	0.72177	0.99215
Atf5_p1	8	0.027857	0.41754	0.64196	0.98042	0.67628	0.99215
Cnbp_p1	8	-0.040709	-0.64029	0.32308	0.95385	0.52198	0.99215
Mxi1_p1	8	0.027736	0.53996	0.64336	0.98042	0.58923	0.99215
Cdx4_p1	8	-0.0081533	-0.12059	0.81538	0.98042	0.90402	0.99215
Otx2_p2	8	-0.031045	-0.38514	0.43357	0.98042	0.70013	0.99215
Mis18bp1_p1	8	0.017115	0.199	0.81678	0.98042	0.84226	0.99215
Nanog_p1	8	-0.064027	-1.1748	0.17343	0.91795	0.24006	0.99215
Sox2_p1	8	0.0011616	0.020175	0.95944	0.98042	0.9839	0.99215
Zfp654_p1	8	0.098534	1.6213	0.053147	0.76	0.10495	0.99215
Trp53_p1	8	-0.0025056	-0.048813	0.9049	0.98042	0.96107	0.99215
Klf4_p2	8	0.016934	0.29753	0.81678	0.98042	0.76606	0.99215
Gpbp1l1_p1	8	0.066146	1.1126	0.16923	0.91795	0.26589	0.99215
Zfp213_p1	8	0.021979	0.37424	0.73566	0.98042	0.70822	0.99215
RE95	10	0.13557	1.952	0.0041958	0.6	0.050942	0.99215
Arid4a_p1	8	0.029584	0.54567	0.61538	0.98042	0.58529	0.99215
Pou2f1_p1	8	-0.0076369	-0.11111	0.82098	0.98042	0.91153	0.99215
Nr4a1_p1	8	-0.11038	-2.6351	0.018182	0.725	0.0084108	0.99215
Zfp42_p1	8	0.0095987	0.13594	0.92727	0.98042	0.89187	0.99215
Hic2_p1	8	0.046633	0.95663	0.37762	0.96429	0.33876	0.99215
Ahctf1_p1	8	-0.06624	-1.2044	0.15664	0.91795	0.22845	0.99215
RE51	10	0.014399	0.38191	0.80699	0.98042	0.70253	0.99215
Zmiz2_p1	8	-0.025301	-0.3494	0.52168	0.98042	0.72679	0.99215
RE61	10	0.014908	0.28592	0.7986	0.98042	0.77494	0.99215
Hmg20b_p1	8	0.0095923	0.19495	0.92867	0.98042	0.84544	0.99215
Pknox1_p1	8	-0.012863	-0.22489	0.71469	0.98042	0.82206	0.99215
Stag2_p3	8	0.082465	1.3822	0.1049	0.91795	0.16692	0.99215
Bnc2_p1	8	0.065317	1.2196	0.17483	0.91795	0.22263	0.99215
Myrf_p1	8	0.033647	0.54556	0.55664	0.98042	0.58537	0.99215
Zfp217_p1	8	-0.028444	-0.70896	0.46154	0.98042	0.47835	0.99215
Myef2_p1	8	-0.037218	-0.64607	0.36364	0.96296	0.51824	0.99215
Zfp985_p1	8	-0.052177	-1.2183	0.24056	0.91795	0.22311	0.99215
Sp1_p1	8	0.048239	0.6626	0.34685	0.95385	0.50758	0.99215
Zfp445_p1	8	-0.017878	-0.23972	0.63916	0.98042	0.81055	0.99215
Ssrp1_p1	8	0.056023	0.94615	0.26573	0.92683	0.34407	0.99215
Nme2_p1	8	0.0073748	0.1227	0.96224	0.98042	0.90234	0.99215
Etv5_p1	8	0.0013013	0.025237	0.96084	0.98042	0.97987	0.99215
Zfp748_p1	8	-0.0038129	-0.053843	0.88112	0.98042	0.95706	0.99215
Zfp771_p2	8	0.017339	0.27781	0.80559	0.98042	0.78116	0.99215
RE93	10	0.00072217	0.018539	0.92587	0.98042	0.98521	0.99215
Zbtb44_p1	8	0.042426	0.79993	0.42238	0.98042	0.42375	0.99215
Gmeb2_p1	8	-0.010673	-0.18787	0.76224	0.98042	0.85098	0.99215
E2f3_p2	8	0.057728	1.2197	0.25035	0.91795	0.22257	0.99215
Nfe2l2_p1	8	0.036177	0.71113	0.51329	0.98042	0.477	0.99215
Elf1_p1	8	0.016944	0.26249	0.81678	0.98042	0.79294	0.99215
Tfeb_p2	8	0.064569	0.97458	0.18322	0.91795	0.32977	0.99215
Zscan10_p1	8	-0.026648	-0.47152	0.49231	0.98042	0.63727	0.99215
RE12	10	-0.0033967	-0.066402	0.86154	0.98042	0.94706	0.99215
Nup62cl_p1	8	0.0017293	0.030852	0.96364	0.98042	0.97539	0.99215
RE57	10	0.038205	0.6064	0.4	0.96949	0.54425	0.99215
Cebpg_p1	8	-0.033288	-0.68987	0.40979	0.97667	0.49028	0.99215
Lbr_p1	8	0.067952	0.84472	0.16084	0.91795	0.39827	0.99215
Gabpb2_p1	8	0.0524	0.75592	0.2979	0.95385	0.4497	0.99215
Zfp292_p1	8	-0.024107	-0.39664	0.53846	0.98042	0.69164	0.99215
Smarcc1_p2	8	-0.066659	-1.1375	0.15664	0.91795	0.25532	0.99215
RE127	10	0.066146	0.89121	0.15245	0.91795	0.37282	0.99215
Ncor1_p2	8	0.049774	0.57545	0.32867	0.95385	0.56499	0.99215
Hes1_p2	8	-0.039761	-0.59872	0.33846	0.95385	0.54936	0.99215
RE97	10	0.011741	0.27165	0.85874	0.98042	0.78589	0.99215
Brd4_p1	8	0.022962	0.54123	0.72587	0.98042	0.58835	0.99215
Tcf12_p2	8	-0.048881	-0.61573	0.26294	0.92683	0.53808	0.99215
Gtf2ird1_p2	8	0.037975	1.1298	0.48252	0.98042	0.25854	0.99215
