motif_id	cluster	source_id	tf_name	family_name	motif_type	PMID
M00266_2.00	AC0009	VSX1_G160D	VSX1	Homeodomain	PBM	27013732
M00267_2.00	AC0009	VSX1_Q175H	VSX1	Homeodomain	PBM	27013732
M00268_2.00	AC0009	VSX1_R166Q	VSX1	Homeodomain	PBM	27013732
M00269_2.00	AC0009	VSX1_REF	VSX1	Homeodomain	PBM	27013732
M00270_2.00	AC0576	CRX_E80A	CRX	Homeodomain	PBM	27013732
M00271_2.00	AC0576	CRX_R41Q	CRX	Homeodomain	PBM	27013732
M00272_2.00	AC0576	CRX_R41W	CRX	Homeodomain	PBM	27013732
M00273_2.00	AC0564	CRX_R90W	CRX	Homeodomain	PBM	27013732
M00274_2.00	AC0564	CRX_REF	CRX	Homeodomain	PBM	27013732
M00275_2.00	AC0564	CRX_V66I	CRX	Homeodomain	PBM	27013732
M00276_2.00	AC0010	PBX4_R215Q	PBX4	Homeodomain	PBM	27013732
M00277_2.00	AC0441	PBX4_REF	PBX4	Homeodomain	PBM	27013732
M00278_2.00	AC0440	PHOX2B_Q143R	PHOX2B	Homeodomain	PBM	27013732
M00279_2.00	AC0010	PHOX2B_R100L	PHOX2B	Homeodomain	PBM	27013732
M00280_2.00	AC0574	PHOX2B_R141G	PHOX2B	Homeodomain	PBM	27013732
M00281_2.00	AC0441	PHOX2B_R141Q	PHOX2B	Homeodomain	PBM	27013732
M00282_2.00	AC0010	PHOX2B_REF	PHOX2B	Homeodomain	PBM	27013732
M00283_2.00	AC0009	VAX2_L139M	VAX2	Homeodomain	PBM	27013732
M00284_2.00	AC0009	VAX2_REF	VAX2	Homeodomain	PBM	27013732
M00285_2.00	AC0583	VSX2_R200P	VSX2	Homeodomain	PBM	27013732
M00286_2.00	AC0576	VSX2_R200Q	VSX2	Homeodomain	PBM	27013732
M00287_2.00	AC0010	VSX2_REF	VSX2	Homeodomain	PBM	27013732
M00288_2.00	AC0009	MSX2_P148H	MSX2	Homeodomain	PBM	27013732
M00289_2.00	AC0009	MSX2_R172H	MSX2	Homeodomain	PBM	27013732
M00290_2.00	AC0009	MSX2_REF	MSX2	Homeodomain	PBM	27013732
M00291_2.00	AC0009	ESX1_K193R	ESX1	Homeodomain	PBM	27013732
M00292_2.00	AC0009	ESX1_REF	ESX1	Homeodomain	PBM	27013732
M00293_2.00	AC0574	HOXD13_I297V	HOXD13	Homeodomain	PBM	27013732
M00294_2.00	AC0594	HOXD13_I322L	HOXD13	Homeodomain	PBM	27013732
M00295_2.00	AC0574	HOXD13_N298S	HOXD13	Homeodomain	PBM	27013732
M00296_2.00	AC0582	HOXD13_Q325K	HOXD13	Homeodomain	PBM	27013732
M00297_2.00	AC0574	HOXD13_Q325R	HOXD13	Homeodomain	PBM	27013732
M00298_2.00	AC0574	HOXD13_R306W	HOXD13	Homeodomain	PBM	27013732
M00299_2.00	AC0574	HOXD13_REF	HOXD13	Homeodomain	PBM	27013732
M00300_2.00	AC0590	HOXD13_S316C	HOXD13	Homeodomain	PBM	27013732
M00301_2.00	AC0520	NKX2-8_A94T	NKX2-8	Homeodomain	PBM	27013732
M00302_2.00	AC0520	NKX2-8_REF	NKX2-8	Homeodomain	PBM	27013732
M00303_2.00	AC0010	VENTX_E101K	VENTX	Homeodomain	PBM	27013732
M00304_2.00	AC0580	VENTX_R143C	VENTX	Homeodomain	PBM	27013732
M00305_2.00	AC0010	VENTX_REF	VENTX	Homeodomain	PBM	27013732
M00306_2.00	AC0009	HESX1_E149K	HESX1	Homeodomain	PBM	27013732
M00307_2.00	AC0009	HESX1_N125S	HESX1	Homeodomain	PBM	27013732
M00308_2.00	AC0585	HESX1_R160C	HESX1	Homeodomain	PBM	27013732
M00309_2.00	AC0010	HESX1_REF	HESX1	Homeodomain	PBM	27013732
M00310_2.00	AC0564	PITX2_L100Q	PITX2	Homeodomain	PBM	27013732
M00311_2.00	AC0564	PITX2_R108H	PITX2	Homeodomain	PBM	27013732
M00312_2.00	AC0574	PITX2_R130W	PITX2	Homeodomain	PBM	27013732
M00313_2.00	AC0564	PITX2_REF	PITX2	Homeodomain	PBM	27013732
M00314_2.00	AC0564	PITX2_T114P	PITX2	Homeodomain	PBM	27013732
M00315_2.00	AC0576	PROP1_R112Q	PROP1	Homeodomain	PBM	27013732
M00316_2.00	AC0010	PROP1_R99Q	PROP1	Homeodomain	PBM	27013732
M00317_2.00	AC0009	PROP1_REF	PROP1	Homeodomain	PBM	27013732
M00318_2.00	AC0010	ISX_R83Q	ISX	Homeodomain	PBM	27013732
M00319_2.00	AC0010	ISX_REF	ISX	Homeodomain	PBM	27013732
M00320_2.00	AC0520	NKX2-5_K183E	NKX2-5	Homeodomain	PBM	27013732
M00321_2.00	AC0520	NKX2-5_R161P	NKX2-5	Homeodomain	PBM	27013732
M00322_2.00	AC0441	NKX2-5_R190C	NKX2-5	Homeodomain	PBM	27013732
M00323_2.00	AC0519	NKX2-5_REF	NKX2-5	Homeodomain	PBM	27013732
M00324_2.00	AC0441	NKX2-5_T178M	NKX2-5	Homeodomain	PBM	27013732
M00325_2.00	AC0013	SIX6_H141N	SIX6	Homeodomain	PBM	27013732
M00326_2.00	AC0013	SIX6_REF	SIX6	Homeodomain	PBM	27013732
M00327_2.00	AC0013	SIX6_T165A	SIX6	Homeodomain	PBM	27013732
M00328_2.00	AC0010	HOXC4_N178S	HOXC4	Homeodomain	PBM	27013732
M00329_2.00	AC0009	HOXC4_R158L	HOXC4	Homeodomain	PBM	27013732
M00330_2.00	AC0010	HOXC4_REF	HOXC4	Homeodomain	PBM	27013732
M00331_2.00	AC0441	HOXB7_K191R	HOXB7	Homeodomain	PBM	27013732
M00332_2.00	AC0585	HOXB7_M190L	HOXB7	Homeodomain	PBM	27013732
M00333_2.00	AC0584	HOXB7_R189C	HOXB7	Homeodomain	PBM	27013732
M00334_2.00	AC0441	HOXB7_REF	HOXB7	Homeodomain	PBM	27013732
M00335_2.00	AC0441	PAX6_A79E	PAX6	Homeodomain,Paired box	PBM	27013732
M00336_2.00	AC0274	PAX6_F258S	PAX6	Homeodomain,Paired box	PBM	27013732
M00337_2.00	AC0010	PAX6_P118R	PAX6	Homeodomain,Paired box	PBM	27013732
M00338_2.00	AC0467	PAX6_P68S	PAX6	Homeodomain,Paired box	PBM	27013732
M00339_2.00	AC0478	PAX6_R128C	PAX6	Homeodomain,Paired box	PBM	27013732
M00340_2.00	AC0441	PAX6_R242T	PAX6	Homeodomain,Paired box	PBM	27013732
M00341_2.00	AC0231	PAX6_R26G	PAX6	Homeodomain,Paired box	PBM	27013732
M00342_2.00	AC0009	PAX6_REF	PAX6	Homeodomain,Paired box	PBM	27013732
M00343_2.00	AC0478	PAX6_S119R	PAX6	Homeodomain,Paired box	PBM	27013732
M00344_2.00	AC0479	PAX6_V126D	PAX6	Homeodomain,Paired box	PBM	27013732
M00345_2.00	AC0562	PAX7_P112L	PAX7	Homeodomain,Paired box	PBM	27013732
M00346_2.00	AC0562	PAX7_REF	PAX7	Homeodomain,Paired box	PBM	27013732
M00347_2.00	AC0576	PAX4_R183C	PAX4	Homeodomain,Paired box	PBM	27013732
M00348_2.00	AC0010	PAX4_R192H	PAX4	Homeodomain,Paired box	PBM	27013732
M00349_2.00	AC0009	PAX4_R192S	PAX4	Homeodomain,Paired box	PBM	27013732
M00350_2.00	AC0009	PAX4_REF	PAX4	Homeodomain,Paired box	PBM	27013732
M00351_2.00	AC0009	PAX4_REF_R3	PAX4	Homeodomain,Paired box	PBM	27013732
M00352_2.00	AC0010	PAX3_G48R	PAX3	Homeodomain,Paired box	PBM	27013732
M00353_2.00	AC0576	PAX3_N47H	PAX3	Homeodomain,Paired box	PBM	27013732
M00354_2.00	AC0576	PAX3_N47K	PAX3	Homeodomain,Paired box	PBM	27013732
M00355_2.00	AC0576	PAX3_P50L	PAX3	Homeodomain,Paired box	PBM	27013732
M00356_2.00	AC0394	PAX3_R270C	PAX3	Homeodomain,Paired box	PBM	27013732
M00357_2.00	AC0576	PAX3_R56L	PAX3	Homeodomain,Paired box	PBM	27013732
M00358_2.00	AC0576	PAX3_REF	PAX3	Homeodomain,Paired box	PBM	27013732
M00359_2.00	AC0010	PAX3_Y90H	PAX3	Homeodomain,Paired box	PBM	27013732
M00360_2.00	AC0440	POU4F3_L289F	POU4F3	Homeodomain,POU	PBM	27013732
M00361_2.00	AC0574	POU4F3_REF	POU4F3	Homeodomain,POU	PBM	27013732
M00362_2.00	AC0010	POU6F2_E639K	POU6F2	Homeodomain,POU	PBM	27013732
M00363_2.00	AC0009	POU6F2_REF	POU6F2	Homeodomain,POU	PBM	27013732
M00364_2.00	AC0440	POU3F4_A312V	POU3F4	Homeodomain,POU	PBM	27013732
M00365_2.00	AC0440	POU3F4_R323G	POU3F4	Homeodomain,POU	PBM	27013732
M00366_2.00	AC0440	POU3F4_REF	POU3F4	Homeodomain,POU	PBM	27013732
M00367_2.00	AC0583	NR1H4_C144R	NR1H4	Nuclear receptor	PBM	27013732
M00368_2.00	AC0414	NR1H4_REF	NR1H4	Nuclear receptor	PBM	27013732
M00369_2.00	AC0425	NR2E3_G56R	NR2E3	Nuclear receptor	PBM	27013732
M00370_2.00	AC0548	NR2E3_R76Q	NR2E3	Nuclear receptor	PBM	27013732
M00371_2.00	AC0583	NR2E3_R76W	NR2E3	Nuclear receptor	PBM	27013732
M00372_2.00	AC0423	NR2E3_R77Q	NR2E3	Nuclear receptor	PBM	27013732
M00373_2.00	AC0414	NR2E3_REF	NR2E3	Nuclear receptor	PBM	27013732
M00377_2.00	AC0536	Oct-1	POU2F1	Homeodomain,POU	PBM	16998473
M00735_2.00	AC0143	GST-CSL_Fig2	RBPJ	CSL	PBM	21124806
M00736_2.00	AC0143	GST-CSL_Fig4	RBPJ	CSL	PBM	21124806
M00737_2.00	AC0143	GST-CSL-NOTCH1	RBPJ	CSL	PBM	21124806
M00738_2.00	AC0143	GST-NOTCH1_CSL-6His_MAML1	RBPJ	CSL	PBM	21124806
M00739_2.00	AC0143	GST-NOTCH1_CSL-6His	RBPJ	CSL	PBM	21124806
M00740_2.00	AC0143	GST-NOTCH1_Fig2	RBPJ	CSL	PBM	21124806
M00741_2.00	AC0143	MAML1-CSL-GST-NOTCH1_Fig2	RBPJ	CSL	PBM	21124806
M00742_2.00	AC0143	MAML1-CSL-GST-NOTCH1_Fig5	RBPJ	CSL	PBM	21124806
M00836_2.00	AC0387	pEX0123	FOXP1	Forkhead	PBM	21924763
M00837_2.00	AC0387	pEX0124	FOXP1	Forkhead	PBM	21924763
M00838_2.00	AC0357	pEX0125	FOXP1	Forkhead	PBM	21924763
M00839_2.00	AC0357	pEX0126	FOXP1	Forkhead	PBM	21924763
M00938_2.00	AC0552	Max_L	MAX	bHLH	PBM	25287278
M00967_2.00	AC0097	PHF1	PHF1	Unknown	PBM	28869966
M00968_2.00	AC0097	MTF2	MTF2	Unknown	PBM	28869966
M00983_2.00	AC0432	BCL11A_23	BCL11A	C2H2 ZF	PBM	29606353
M00984_2.00	AC0036	BCL11A_456	BCL11A	C2H2 ZF	PBM	29606353
M00985_2.00	AC0036	BCL11A_XL	BCL11A	C2H2 ZF	PBM	29606353
M00986_2.00	AC0432	BCL11B_23	BCL11B	C2H2 ZF	PBM	29606353
M00987_2.00	AC0036	BCL11B_456	BCL11B	C2H2 ZF	PBM	29606353
M00988_2.00	AC0036	BCL11B_XL	BCL11B	C2H2 ZF	PBM	29606353
M01007_2.00	AC0391	FOXN2	FOXN2	Forkhead	PBM	23836653
M01008_2.00	AC0379	FOXR1	FOXR1	Forkhead	PBM	23836653
M01026_2.00	AC0259	Sox4	SOX4	Sox	PBM	19147588
M01113_2.00	AC0552	pTH11270	SOHLH2	bHLH	PBM	
M01165_2.00	AC0566	pTH11268	ZSCAN29	C2H2 ZF,MADF	PBM	
M01171_2.00	AC0049	pTH11214	PLAGL2	C2H2 ZF	PBM	
M01172_2.00	AC0114	pTH11265	VEZF1	C2H2 ZF	PBM	
M01173_2.00	AC0499	pTH11223	ZBTB44	C2H2 ZF	PBM	
M01203_2.00	AC0392	pTH11233	CENPBD1	CENPB	PBM	
M01204_2.00	AC0404	pTH11227	TIGD1	CENPB	PBM	
M01210_2.00	AC0441	pTH11216	CXXC5	CxxC	PBM	
M01227_2.00	AC0387	pTH11266	FOXN3	Forkhead	PBM	
M01246_2.00	AC0441	pTH11271	HDX	Homeodomain	PBM	
M01247_2.00	AC0009	pTH11226	DUXA	Homeodomain	PBM	
M01259_2.00	AC0518	pTH11241	MSANTD3	MADF	PBM	
M01272_2.00	AC0602	pTH11249	ZZZ3	Myb/SANT	PBM	
M01304_2.00	AC0578	pTH11267	LCORL	Pipsqueak	PBM	
M01306_2.00	AC0441	pTH9347	NFATC4	Rel	PBM	
M01497_2.00	AC0552	MAX_5mCG	MAX	bHLH	PBM	28473536
M01498_2.00	AC0552	MAX_Cytosine	MAX	bHLH	PBM	28473536
M01499_2.00	AC0569	CUX2_5mCG	CUX2	CUT,Homeodomain	PBM	28473536
M01500_2.00	AC0569	CUX2_Cytosine	CUX2	CUT,Homeodomain	PBM	28473536
M01501_2.00	AC0569	CUX1_5mCG	CUX1	CUT,Homeodomain	PBM	28473536
M01502_2.00	AC0569	CUX1_Cytosine	CUX1	CUT,Homeodomain	PBM	28473536
M01503_2.00	AC0010	DLX3_5mCG	DLX3	Homeodomain	PBM	28473536
M01504_2.00	AC0010	DLX3_Cytosine	DLX3	Homeodomain	PBM	28473536
M01505_2.00	AC0009	LHX9_5mCG	LHX9	Homeodomain	PBM	28473536
M01506_2.00	AC0009	LHX9_Cytosine	LHX9	Homeodomain	PBM	28473536
M01507_2.00	AC0520	NKX2.5_5mCG	NKX2-5	Homeodomain	PBM	28473536
M01508_2.00	AC0520	NKX2.5_Cytosine	NKX2-5	Homeodomain	PBM	28473536
M01509_2.00	AC0576	POU5F1_5mCG	POU5F1B	Homeodomain	PBM	28473536
M01510_2.00	AC0576	POU5F1_Cytosine	POU5F1B	Homeodomain	PBM	28473536
M01511_2.00	AC0208	NFATC2_5mCG	NFATC2	Rel	PBM	28473536
M01512_2.00	AC0208	NFATC2_Cytosine	NFATC2	Rel	PBM	28473536
M01849_2.00	AC0009	pTH6494	ZFHX3	C2H2 ZF,Homeodomain	PBM	25215497
M01911_2.00	AC0441	pTH9191	KDM2B	CxxC	PBM	25215497
M01912_2.00	AC0392	pTH7031	KMT2A	CxxC	PBM	25215497
M01913_2.00	AC0097	pTH7029	DNMT1	CxxC	PBM	25215497
M01914_2.00	AC0392	pTH9605	TET1	CxxC	PBM	25215497
M01927_2.00	AC0356	pTH9188	DMRT3	DM	PBM	25215497
M01928_2.00	AC0439	pTH9197	DMRT1	DM	PBM	25215497
M01929_2.00	AC0356	pTH9446	DMRT1	DM	PBM	25215497
M01930_2.00	AC0439	pTH9198	DMRTA2	DM	PBM	25215497
M01931_2.00	AC0584	pTH9189	DMRT2	DM	PBM	25215497
M01961_2.00	AC0087	pTH9195	E2F2	E2F	PBM	25215497
M01976_2.00	AC0387	pTH5656	FOXP1	Forkhead	PBM	25215497
M01977_2.00	AC0379	pTH6108	FOXK1	Forkhead	PBM	25215497
M01978_2.00	AC0387	pTH5501	FOXG1	Forkhead	PBM	25215497
M02020_2.00	AC0130	pTH7965	GCM1	GCM	PBM	25215497
M02083_2.00	AC0441	pTH5887	HOXA2	Homeodomain	PBM	25215497
M02084_2.00	AC0009	pTH6448	NOBOX	Homeodomain	PBM	25215497
M02085_2.00	AC0009	pTH5812	LHX2	Homeodomain	PBM	25215497
M02086_2.00	AC0009	pTH6556	LHX6	Homeodomain	PBM	25215497
M02087_2.00	AC0576	pTH6482	TLX2	Homeodomain	PBM	25215497
M02088_2.00	AC0010	pTH5677	EMX1	Homeodomain	PBM	25215497
M02089_2.00	AC0009	pTH5642	ZFHX2	Homeodomain	PBM	25215497
M02090_2.00	AC0010	pTH6404	LBX1	Homeodomain	PBM	25215497
M02091_2.00	AC0010	pTH5490	VENTX	Homeodomain	PBM	25215497
M02092_2.00	AC0574	pTH5808	HOXB13	Homeodomain	PBM	25215497
M02093_2.00	AC0441	pTH5688	ZHX1	Homeodomain	PBM	25215497
M02094_2.00	AC0010	pTH6519	POU6F1	Homeodomain	PBM	25215497
M02095_2.00	AC0010	pTH5805	SHOX	Homeodomain	PBM	25215497
M02096_2.00	AC0528	pTH5972	ANHX	Homeodomain	PBM	25215497
M02385_2.00	AC0360	pTH9310	MYRF	Ndt80/PhoG	PBM	25215497
M02394_2.00	AC0414	pTH6281	NR2E1	Nuclear receptor	PBM	25215497
M02395_2.00	AC0513	pTH5924	NR3C2	Nuclear receptor	PBM	25215497
M02396_2.00	AC0414	pTH6747	NR2F6	Nuclear receptor	PBM	25215497
M02397_2.00	AC0414	pTH5430	RARG	Nuclear receptor	PBM	25215497
M02440_2.00	AC0208	pTH9192	NFATC3	Rel	PBM	25215497
M02441_2.00	AC0208	pTH9196	NFATC2	Rel	PBM	25215497
M02449_2.00	AC0064	pTH9194	RFX2	RFX	PBM	25215497
M02460_2.00	AC0392	pTH9026	GMEB1	SAND	PBM	25215497
M02538_2.00	AC0476	pTH9190	THAP12	THAP finger	PBM	25215497
M02641_2.00	AC0117	GLI2	GLI2	C2H2 ZF	SELEX	16413481
M02642_2.00	AC0117	GLI3	GLI3	C2H2 ZF	SELEX	16413481
M02643_2.00	AC0117	GLI1	GLI1	C2H2 ZF	SELEX	16413481
M02645_2.00	AC0626	cETS1	ETS1	Ets	SELEX	16413481
M02658_2.00	AC0403	MA0025.1	NFIL3	bZIP	SELEX	24194598
M02663_2.00	AC0177	MA0056.1	MZF1	C2H2 ZF	SELEX	24194598
M02664_2.00	AC0175	MA0057.1	MZF1	C2H2 ZF	SELEX	24194598
M02665_2.00	AC0120	MA0073.1	RREB1	C2H2 ZF	SELEX	24194598
M02666_2.00	AC0329	MA0130.1	ZNF354C	C2H2 ZF	SELEX	24194598
M02678_2.00	AC0622	MA0081.1	SPIB	Ets	SELEX	24194598
M02680_2.00	AC0387	MA0030.1	FOXF2	Forkhead	SELEX	24194598
M02681_2.00	AC0387	MA0031.1	FOXD1	Forkhead	SELEX	24194598
M02685_2.00	AC0557	MA0070.1	PBX1	Homeodomain	SELEX	24194598
M02689_2.00	AC0507	MA0069.1	PAX6	Homeodomain,Paired box	SELEX	24194598
M02691_2.00	AC0188	MA0051.1	IRF2	IRF	SELEX	24194598
M02705_2.00	AC0414	MA0071.1	RORA	Nuclear receptor	SELEX	24194598
M02706_2.00	AC0408	MA0072.1	RORA	Nuclear receptor	SELEX	24194598
M02707_2.00	AC0419	MA0066.1	PPARG	Nuclear receptor	SELEX	24194598
M02710_2.00	AC0196	MA0101.1	REL	Rel	SELEX	24194598
M02711_2.00	AC0196	MA0107.1	RELA	Rel	SELEX	24194598
M02716_2.00	AC0261	MA0077.1	SOX9	Sox	SELEX	24194598
M02717_2.00	AC0261	MA0084.1	SRY	Sox	SELEX	24194598
M02727_2.00	AC0556	TFEB_dimer	TFEB	bHLH	SELEX	20378718
M02728_2.00	AC0610	TCF4_dimer	TCF4	bHLH	SELEX	20378718
M02729_2.00	AC0402	CEBPE_dimer	CEBPE	bZIP	SELEX	20378718
M02730_2.00	AC0541	XBP1_monomer	XBP1	bZIP	SELEX	20378718
M02731_2.00	AC0192	PRDM1_dimer	PRDM1	C2H2 ZF	SELEX	20378718
M02732_2.00	AC0117	GLI2_monomer	GLI2	C2H2 ZF	SELEX	20378718
M02733_2.00	AC0626	EHF_full_length_monomer	EHF	Ets	SELEX	20378718
M02734_2.00	AC0617	ERG_dimer	ERG	Ets	SELEX	20378718
M02735_2.00	AC0626	ERG_monomer	ERG	Ets	SELEX	20378718
M02736_2.00	AC0384	FOXJ3_dimer	FOXJ3	Forkhead	SELEX	20378718
M02737_2.00	AC0387	FOXJ3_monomer	FOXJ3	Forkhead	SELEX	20378718
M02738_2.00	AC0254	GATA1_dimer	GATA1	GATA	SELEX	20378718
M02739_2.00	AC0252	GATA1_monomer	GATA1	GATA	SELEX	20378718
M02740_2.00	AC0613	MEIS2_dimer	MEIS2	Homeodomain	SELEX	20378718
M02741_2.00	AC0613	MEIS2_monomer	MEIS2	Homeodomain	SELEX	20378718
M02742_2.00	AC0396	POU2F2_monomer	POU2F2	Homeodomain,POU	SELEX	20378718
M02743_2.00	AC0588	POU2F2_secondary_motif	POU2F2	Homeodomain,POU	SELEX	20378718
M02744_2.00	AC0199	HSF2_dimertrimer	HSF2	HSF	SELEX	20378718
M02745_2.00	AC0361	MEF2C_dimer	MEF2C	MADS box	SELEX	20378718
M02746_2.00	AC0434	RXRG_dimer	RXRG	Nuclear receptor	SELEX	20378718
M02747_2.00	AC0205	NFATc1_dimer	NFATC1	Rel	SELEX	20378718
M02748_2.00	AC0207	NFATc1_dimer_type2	NFATC1	Rel	SELEX	20378718
M02749_2.00	AC0208	NFATc1_monomer	NFATC1	Rel	SELEX	20378718
M02750_2.00	AC0064	RFX3_dimer	RFX3	RFX	SELEX	20378718
M02751_2.00	AC0015	RUNX3_monomer	RUNX3	Runt	SELEX	20378718
M02752_2.00	AC0635	EOMES_monomer	EOMES	T-box	SELEX	20378718
M02753_2.00	AC0043	TFAP2B_1	TFAP2B	AP-2	SELEX	23332764
M02754_2.00	AC0043	TFAP2B_2	TFAP2B	AP-2	SELEX	23332764
M02755_2.00	AC0039	TFAP2B_3	TFAP2B	AP-2	SELEX	23332764
M02756_2.00	AC0043	TFAP2C_1	TFAP2C	AP-2	SELEX	23332764
M02757_2.00	AC0043	TFAP2C_2	TFAP2C	AP-2	SELEX	23332764
M02758_2.00	AC0039	TFAP2C_3	TFAP2C	AP-2	SELEX	23332764
M02759_2.00	AC0043	TFAP2C_4	TFAP2C	AP-2	SELEX	23332764
M02760_2.00	AC0039	TFAP2C_5	TFAP2C	AP-2	SELEX	23332764
M02761_2.00	AC0043	TFAP2C_6	TFAP2C	AP-2	SELEX	23332764
M02762_2.00	AC0043	TFAP2A_1	TFAP2A	AP-2	SELEX	23332764
M02763_2.00	AC0043	TFAP2A_2	TFAP2A	AP-2	SELEX	23332764
M02764_2.00	AC0039	TFAP2A_3	TFAP2A	AP-2	SELEX	23332764
M02765_2.00	AC0043	TFAP2A_4	TFAP2A	AP-2	SELEX	23332764
M02766_2.00	AC0043	TFAP2A_5	TFAP2A	AP-2	SELEX	23332764
M02767_2.00	AC0039	TFAP2A_6	TFAP2A	AP-2	SELEX	23332764
M02771_2.00	AC0376	ZBED1_1	ZBED1	BED ZF	SELEX	23332764
M02772_2.00	AC0556	MLXIPL_1	MLXIPL	bHLH	SELEX	23332764
M02773_2.00	AC0556	TFE3_1	TFE3	bHLH	SELEX	23332764
M02774_2.00	AC0552	MNT_1	MNT	bHLH	SELEX	23332764
M02775_2.00	AC0610	TCF3_1	TCF3	bHLH	SELEX	23332764
M02776_2.00	AC0608	TFAP4_1	TFAP4	bHLH	SELEX	23332764
M02777_2.00	AC0608	TFAP4_2	TFAP4	bHLH	SELEX	23332764
M02778_2.00	AC0556	TFEC_1	TFEC	bHLH	SELEX	23332764
M02779_2.00	AC0556	MLX_1	MLX	bHLH	SELEX	23332764
M02780_2.00	AC0608	MYF6_1	MYF6	bHLH	SELEX	23332764
M02781_2.00	AC0556	TFEB_1	TFEB	bHLH	SELEX	23332764
