tu	gene	prom	TFi.beta	TFi.pval	TFi.fdr	TFiMini.beta	TFiMini.pval	TFiMini.fdr	sig
Bnc2_p1	Bnc2	p1	0.08994	0.18218	1	-0.019451	0.8169	0.90415	ns
Capn15_p1	Capn15	p1	-0.093384	0.16002	1	0.11989	0.26654	0.45375	ns
Tcf12_p2	Tcf12	p2	0.13814	0.1073	1	0.14186000000000001	0.36023	0.55391	ns
Klf4_p2	Klf4	p2	0.15615	0.038314	0.68101	0.088844	0.4142	0.60702	TFi
Prdm14_p1	Prdm14	p1	0.034253	0.77846	1	0.029311	0.79318	0.89311	ns
Hic2_p1	Hic2	p1	0.11732	0.17093	1	-0.041509	0.44759	0.64651	ns
Zfx_p1	Zfx	p1	0.15161	0.18368	1	0.31975	0.0392	0.14014	TFiMini
Rif1_p1	Rif1	p1	-0.43328	3.5651e-5	0.0032514	-0.078122	0.50931	0.7003	TFi
Smad7_p1	Smad7	p1	0.091739	0.16547	1	0.32385	0.029201	0.10707	TFiMini
Zfp748_p1	Zfp748	p1	0.1082	0.11745	1	0.02965	0.75367	0.88193	ns
Zbtb44_p1	Zbtb44	p1	0.12482	0.16614	1	0.12286	0.31092	0.49958	ns
Ncor1_p2	Ncor1	p2	0.14987	0.10892	1	0.24228	0.083858	0.22626	ns
Zfp518b_p1	Zfp518b	p1	-0.38319	2.6003e-6	3.105e-4	-0.48256	6.72e-5	0.0010677	both
Smarcal1_p1	Smarcal1	p1	-0.11482	0.15859	1	0.0019356	0.96998	0.98946	ns
Gmeb2_p1	Gmeb2	p1	-0.13114	0.081451	1	0.14999	0.19126	0.37986	ns
Zfp292_p1	Zfp292	p1	-0.12357	0.1356	1	0.14275	0.23608	0.42199	ns
Zfp574_p2	Zfp574	p2	-0.13279	0.17107	1	-0.062204	0.64016	0.82471	ns
Zfp445_p1	Zfp445	p1	0.068575	0.19578	1	0.01132	0.92412	0.9576	ns
Ahctf1_p1	Ahctf1	p1	-0.11849	0.18155	1	-0.0051641	0.94325	0.97039	ns
Zfp280c_p1	Zfp280c	p1	0.28271	0.0055377	0.24553	0.26306	0.066316	0.18966	TFi
Hmg20b_p1	Hmg20b	p1	-0.17667	0.008495	0.28604	-0.16805	0.16689	0.3616	TFi
Sall4_p1	Sall4	p1	-0.13411	0.04608	0.75045	-0.074891	0.57845	0.7564	TFi
Sp1_p1	Sp1	p1	-0.20824	5.3791e-4	0.040881	0.020861	0.80509	0.89943	TFi
Hes1_p2	Hes1	p2	0.3104	0.015392	0.40106	0.26153	0.026973	0.1015	both
Gli2_p1	Gli2	p1	0.216	0.056221	0.84055	0.10426	0.17957	0.36683	ns
Nme2_p1	Nme2	p1	0.12414	0.18327	1	0.28673	0.017671	0.074321	TFiMini
Etv5_p1	Etv5	p1	-0.13462	0.1183	1	0.036922	0.74145	0.88193	ns
Myrf_p1	Myrf	p1	-0.16631	0.013064	0.38432	-0.13857	0.13004	0.29993	TFi
Gabpa_p1	Gabpa	p1	0.097673	0.14007	1	0.012106	0.88676	0.94057	ns
Cnbp_p1	Cnbp	p1	-0.10409	0.15137	1	-0.049984	0.58185	0.7564	ns
Arid1a_p1	Arid1a	p1	-0.17722	0.0069812	0.26192	-0.048198	0.71159	0.86617	TFi
Nfrkb_p1	Nfrkb	p1	-0.59586	2.7237e-6	3.105e-4	-0.86141	7.8655e-5	0.0011248	both
Smarcc1_p2	Smarcc1	p2	-0.19063	0.18408	1	-0.56491	0.0037315	0.0232	TFiMini
Cebpg_p1	Cebpg	p1	0.21151	0.016994	0.43052	0.21186	0.11625	0.27817	TFi
Csde1_p1	Csde1	p1	0.19779	0.0365	0.67934	0.028621	0.79135	0.89311	TFi
Cdx4_p1	Cdx4	p1	-0.097048	0.17277	1	0.020335	0.82931	0.90527	ns
Tfam_p2	Tfam	p2	-0.12973	0.14318	1	0.025713	0.76475	0.88193	ns
Tead4_p1	Tead4	p1	0.11798	0.13444	1	0.28331	0.0519	0.15902	ns
Nanog_p1	Nanog	p1	-0.026442	0.78551	1	-0.08493	0.22525	0.41438	ns
Id2_p2	Id2	p2	0.14994	0.091216	1	0.039439	0.65639	0.83023	ns
Nkrf_p1	Nkrf	p1	0.15383	0.088158	1	0.037179	0.65405	0.83023	ns
E2f8_p2	E2f8	p2	-0.14648	0.076655	0.99871	-0.080515	0.37261	0.56684	ns
Mbd3_p1	Mbd3	p1	-0.16324	0.017778	0.43821	-0.078391	0.35637	0.55391	TFi
Gabpb2_p1	Gabpb2	p1	0.18972	0.068198	0.92831	-0.093482	0.4684	0.66318	ns
Myc_p1	Myc	p1	0.16114	0.0088828	0.28604	0.11212	0.12484	0.29267	TFi
Rlf_p1	Rlf	p1	0.1163	0.14927	1	0.39006	0.0073926	0.040659	TFiMini
Grhl3_p1	Grhl3	p1	0.1359	0.037597	0.68101	0.044523	0.57486	0.7564	TFi
Brd4_p1	Brd4	p1	-0.14841	0.0071798	0.26192	-0.18343	0.022563	0.092187	both
Smarce1_p2	Smarce1	p2	-0.13033	0.08876	1	-0.17902	0.20732	0.39529	ns
Epas1_p1	Epas1	p1	-0.17551	0.024427	0.55693	-0.032503	0.77691	0.88878	TFi
Rbpj_p2	Rbpj	p2	-0.35358	2.7258e-5	0.0027621	-0.22876	0.013621	0.064926	both
Adnp_p1	Adnp	p1	-0.38131	0.0010569	0.074146	-0.22016	0.015344	0.069076	both
Trp53_p1	Trp53	p1	0.14122	0.044405	0.74995	-0.10057	0.27678	0.46023	TFi
Zmiz2_p1	Zmiz2	p1	-0.088286	0.12278	1	0.024332	0.83671	0.90643	ns
Zfp281_p1	Zfp281	p1	0.21773	0.05941	0.86694	0.098132	0.54528	0.74262	ns
Foxi3_p1	Foxi3	p1	0.065822	0.19121	1	0.18573	0.16658	0.3616	ns
Nfatc4_p1	Nfatc4	p1	0.12051	0.19839	1	0.031258	0.76158	0.88193	ns
Ybx3_p1	Ybx3	p1	0.12381	0.12835	1	0.3068	0.11374	0.27817	ns
Myef2_p1	Myef2	p1	-0.095224	0.1255	1	-0.054907	0.55821	0.74602	ns
Zfp42_p1	Zfp42	p1	0.273	0.014393	0.39777	0.19828	0.052582	0.15902	TFi
Zfp985_p1	Zfp985	p1	-0.12872	0.1834	1	0.074077	0.19903	0.38988	ns
E2f3_p2	E2f3	p2	0.1314	0.072474	0.95792	-0.0039527	0.97562	0.98946	ns
Klf2_p1	Klf2	p1	0.11442	0.18143	1	-0.23249	0.069793	0.19569	ns
Gpbp1l1_p1	Gpbp1l1	p1	0.12819	0.16782	1	0.12672	0.24272	0.4264	ns
Klf16_p1	Klf16	p1	0.20119	0.036021	0.67934	0.32768	0.016081	0.069685	both
Gabpb1_p1	Gabpb1	p1	0.15541	0.025892	0.56861	0.31347	0.0087662	0.046429	both
Pou2f1_p1	Pou2f1	p1	-0.14639	0.080179	1	-0.16222	0.10759	0.27474	ns
Pias1_p1	Pias1	p1	-0.18701	0.011059	0.33618	-0.19735	0.040341	0.1407	both
Zfp36l1_p1	Zfp36l1	p1	0.17568	0.027113	0.57505	0.10883	0.24955	0.42995	TFi
Yy1_p1	Yy1	p1	-0.049816	0.55441	1	-0.12926	0.22602	0.41438	ns
Zfp771_p2	Zfp771	p2	-0.092703	0.1053	1	0.095615	0.1712	0.3637	ns
Ascl2_p2	Ascl2	p2	0.14236	0.051939	0.81669	0.17074	0.15586	0.35378	ns
Elf1_p1	Elf1	p1	0.11977	0.11919	1	0.08186	0.4011	0.59747	ns
Tfeb_p2	Tfeb	p2	-0.089447	0.16597	1	0.1074	0.27487	0.46023	ns
Mxi1_p1	Mxi1	p1	0.10908	0.083414	1	0.037805	0.50729	0.7003	ns
Mllt10_p2	Mllt10	p2	-0.089375	0.15704	1	0.12545	0.20401	0.39424	ns
Pou5f1_p1	Pou5f1	p1	-0.92106	1.4369e-8	6.5523e-6	-0.91264	4.011e-6	1.0389e-4	both
Gm20422_p1	Gm20422	p1	-0.088257	0.10828	1	-0.037581	0.55799	0.74602	ns
Zfp296_p1	Zfp296	p1	-0.08998	0.098731	1	-0.036005	0.71219	0.86617	ns
Zscan10_p1	Zscan10	p1	-0.14359	0.045894	0.75045	-0.15434	0.080522	0.22144	TFi
Pias2_p2	Pias2	p2	0.16183	0.030128	0.59731	0.17127	0.11671	0.27817	TFi
Zfp213_p1	Zfp213	p1	0.13345	0.10116	1	0.02181	0.85801	0.92252	ns
Foxd3_p1	Foxd3	p1	-0.33794	0.0016467	0.10012	0.050381	0.66464	0.83023	TFi
Nr4a1_p1	Nr4a1	p1	0.15009	0.15134	1	0.066234	0.49803	0.69822	ns
Ssrp1_p1	Ssrp1	p1	-0.20796	0.10665	1	-0.081064	0.416	0.60702	ns
Son_p1	Son	p1	0.16021	0.12262	1	0.082261	0.45602	0.65211	ns
Zfp207_p1	Zfp207	p1	-0.23238	0.013906	0.39633	-0.18545	0.049454	0.15902	both
Arid4a_p1	Arid4a	p1	-0.10525	0.029854	0.59731	-0.0835	0.40074	0.59747	TFi
Tox4_p2	Tox4	p2	-0.36156	1.2118e-4	0.010047	-0.4076	0.024239	0.093682	both
Pknox1_p1	Pknox1	p1	0.087708	0.090965	1	0.10958	0.32691	0.51943	ns
Atf5_p1	Atf5	p1	-0.18949	0.18854	1	-0.47041	0.0032273	0.021977	TFiMini
Esrrb_p3	Esrrb	p3	-0.16732	0.065772	0.90885	-0.18179	0.058492	0.1707	ns
Gm38394_p1	Gm38394	p1	0.24382	0.0059464	0.2465	0.53369	0.0037177	0.0232	both
Nfe2l2_p1	Nfe2l2	p1	-0.41428	4.2778e-7	6.5022e-5	-0.53792	1.1957e-4	0.0014248	both
Srebf2_p1	Srebf2	p1	-0.15361	0.13234	1	0.11992	0.29733	0.48316	ns
Ubp1_p2	Ubp1	p2	0.12169	0.14538	1	0.26888	0.052442	0.15902	ns
Zfp866_p2	Zfp866	p2	-0.090893	0.1087	1	-0.023373	0.90409	0.94369	ns
Ctcf_p1	Ctcf	p1	-0.017264	0.77249	1	0.011139	0.88906	0.94057	ns
E2f4_p1	E2f4	p1	-0.1626	0.055962	0.84055	-0.039681	0.71474	0.86617	ns
