Gene	sgRNA	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr
Hmgxb4_p1	12	-0.058059	-0.72177	0.28268	0.80961	0.47044	1
Crebzf_p1	12	-0.0088783	-0.15528	0.96535	0.99208	0.8766	1
Arnt_p1	12	0.049215	0.6684	0.21162	0.70916	0.50388	1
Zfp507_p1	12	0.021724	0.25695	0.52193	0.89533	0.79721	1
Mitf_p1	12	-0.059249	-1.1712	0.27281	0.80961	0.24153	1
Zfp512_p2	12	-0.05247	-0.52506	0.3318	0.85247	0.59954	1
Bcor_p3	12	0.021102	0.26381	0.53114	0.89575	0.79193	1
Mid2_p2	12	0.022246	0.34441	0.51447	0.89392	0.73053	1
Sox12_p1	12	0.1083	1.375	0.013816	0.24615	0.16912	1
Zfp941_p1	12	-0.036788	-0.43071	0.52149	0.89533	0.66668	1
Zfp239_p1	12	0.064267	1.0131	0.11974	0.61189	0.311	1
Usf1_p1	12	-0.037417	-0.92646	0.51404	0.89392	0.35421	1
Creb1_p1	12	0.082678	1.001	0.046491	0.41748	0.31681	1
Pitx2_p1	12	-0.056122	-0.8846	0.29254	0.80961	0.37637	1
E2f1_p1	12	-0.0048624	-0.078499	0.96272	0.99208	0.93743	1
Six1_p2	12	0.016888	0.28007	0.59693	0.93485	0.77942	1
Zfp599_p1	12	-0.010327	-0.1187	0.94101	0.99208	0.90551	1
Glis2_p1	12	-0.017772	-0.26442	0.81118	0.97429	0.79145	1
Mier1_p3	12	-0.0066638	-0.086392	0.99605	0.99715	0.93116	1
Adnp2_p1	12	-0.1043	-1.4314	0.058553	0.44132	0.15231	1
Zfp958_p1	12	0.039689	0.50046	0.3011	0.81484	0.61675	1
Mbtps2_p1	12	-0.036722	-0.58866	0.52237	0.89533	0.55609	1
Gm14326_p1	4	0.031833	0.27462	0.61886	0.93485	0.78361	1
Preb_p1	12	-0.021397	-0.2941	0.75417	0.9701	0.76868	1
Cdx1_p1	12	-0.032621	-0.44378	0.58399	0.92617	0.6572	1
Rela_p1	12	-0.01711	-0.27147	0.82237	0.97429	0.78603	1
Tfap4_p2	12	0.0055093	0.10132	0.78706	0.97296	0.91929	1
Hmgb2_p1	12	-0.00049923	-0.0055582	0.88925	0.98271	0.99557	1
Mier2_p1	12	-0.016126	-0.24173	0.84101	0.97832	0.80899	1
Rhox6_p1	7	-0.009979	-0.15791	0.93333	0.99208	0.87453	1
Jdp2_p2	12	0.05614	0.77249	0.16425	0.65415	0.43982	1
Nfil3_p1	12	0.010858	0.14829	0.6932	0.95774	0.88211	1
Smarce1_p1	12	-0.017816	-0.21694	0.80965	0.97429	0.82825	1
Zfp617_p1	12	-0.01109	-0.12582	0.92588	0.99208	0.89987	1
Sall2_p1	12	0.071252	0.72983	0.084211	0.55652	0.4655	1
Cdip1_p1	12	-0.013114	-0.17027	0.88969	0.98271	0.8648	1
Mycn_p2	12	0.067901	0.75449	0.099561	0.59346	0.45056	1
Kansl3_p2	12	-0.078887	-0.98551	0.13838	0.61792	0.32438	1
Mycl_p1	12	-0.02328	-0.35208	0.72763	0.96735	0.72478	1
Zfp35_p1	12	0.029709	0.41698	0.41184	0.86944	0.67669	1
Zfp146_p1	12	-0.0092038	-0.12022	0.95789	0.99208	0.90431	1
Aebp2_p1	12	0.034626	0.45739	0.35548	0.85247	0.64739	1
Hbp1_p1	12	0.0049182	0.063914	0.79583	0.97296	0.94904	1
Mier3_p1	12	0.090427	0.69507	0.03114	0.35238	0.48701	1
Cebpg_p2	12	0.061812	0.49065	0.13158	0.61792	0.62367	1
Nexmif_p1	12	0.014099	0.27105	0.63794	0.9399	0.78635	1
Zfp850_p1	12	-0.0088948	-0.1603	0.96425	0.99208	0.87265	1
Zfp217_p1	12	-0.0053267	-0.096599	0.97171	0.99208	0.92304	1
Hmgxb4_p2	12	-0.038226	-0.59116	0.50526	0.8938	0.55441	1
Zfp763_p1	12	-0.07661	-0.70741	0.14912	0.62963	0.47931	1
Setdb1_p1	10	0.097445	1.1385	0.0375	0.38681	0.25492	1
Sub1_p1	12	-0.069003	-1.0279	0.19671	0.69769	0.30401	1
Gtf2ird1_p2	12	0.038136	0.48043	0.31667	0.82989	0.63092	1
Hinfp_p1	12	-0.027026	-0.43924	0.66557	0.95016	0.66049	1
Platr25_p2	8	-0.059701	-0.57985	0.33596	0.85247	0.56202	1
Mbd1_p2	12	-0.032413	-0.40113	0.58575	0.92617	0.68833	1
Tead2_p4	12	0.013065	0.11633	0.65614	0.94684	0.90739	1
Otx2_p2	12	-0.054784	-0.83814	0.30592	0.82544	0.40195	1
Thap12_p2	12	-0.0051077	-0.056009	0.96689	0.99208	0.95533	1
Zfp654_p1	12	0.034052	0.87878	0.36206	0.85544	0.37952	1
Srebf1_p2	12	-0.058954	-0.60361	0.27456	0.80961	0.5461	1
Maff_p1	12	-0.046801	-0.57785	0.39254	0.8662	0.56337	1
Sox2_p1	12	-0.11778	-1.2596	0.036184	0.38372	0.2078	1
Gtf2i_p1	12	-0.017141	-0.15005	0.82105	0.97429	0.88072	1
Tsix_p1	12	0.00075602	0.010777	0.86535	0.98271	0.9914	1
Bnc2_p1	12	0.10543	1.3858	0.016009	0.26071	0.16579	1
Rbpj_p3	12	0.0080972	0.11181	0.74386	0.9701	0.91097	1
Capn15_p1	12	-0.082536	-1.2426	0.12171	0.61189	0.21403	1
Tcf12_p2	12	0.025611	0.36365	0.46908	0.89027	0.71612	1
Klf4_p2	12	0.046187	0.72348	0.2375	0.7564	0.46939	1
Prdm4_p1	12	0.035322	0.71604	0.34737	0.85247	0.47397	1
Tfcp2l1_p1	12	-0.30697	-3.0372	0	0	0.0023879	0.13611
Smad3_p1	12	0.041468	0.83164	0.28553	0.80961	0.40561	1
Zfp738_p1	6	-0.039733	-0.42659	0.58311	0.92617	0.66968	1
Tfam_p1	12	0.061847	0.99236	0.13158	0.61792	0.32102	1
Tfdp1_p2	12	0.078521	1.3569	0.056579	0.44132	0.17482	1
Prdm2_p1	12	0.052999	0.65018	0.18728	0.69769	0.51558	1
Zfp710_p2	12	-0.15557	-1.4484	0.0083333	0.19	0.14749	1
Zfp219_p1	12	0.067952	0.79537	0.099123	0.59346	0.4264	1
Zfp946_p1	12	0.021007	0.26421	0.53311	0.89705	0.79162	1
Hmgb2_p2	12	-0.033508	-0.42483	0.57061	0.92297	0.67096	1
Rcor2_p1	12	-0.015741	-0.17117	0.84846	0.98271	0.86409	1
Fiz1_p2	12	-0.051067	-0.69531	0.34408	0.85247	0.48686	1
Elf2_p1	12	0.010339	0.22838	0.7057	0.95774	0.81935	1
Mybl2_p1	12	-0.01472	-0.22456	0.86272	0.98271	0.82232	1
Ftx_p1	12	-0.050681	-0.54778	0.34781	0.85247	0.58385	1
Cic_p1	12	0.0027053	0.041898	0.83553	0.97727	0.96658	1
Lrrfip2_p1	12	-0.026087	-0.37404	0.68114	0.95046	0.70838	1
Ubtf_p1	12	0.0073352	0.08655	0.75373	0.9701	0.93103	1
Thap1_p1	12	0.024424	0.37277	0.48596	0.8938	0.70932	1
Zfp275_p1	12	0.012187	0.17707	0.66864	0.95016	0.85945	1
Sub1_p2	12	-0.034312	-0.39419	0.55811	0.91835	0.69344	1
Zfp532_p1	12	0.006327	0.093647	0.77215	0.97296	0.92539	1
Zfp473_p1	12	-0.070135	-0.76452	0.18947	0.69769	0.44456	1
Prdm14_p1	12	-0.072383	-0.55193	0.17281	0.67064	0.581	1
Zfp24_p1	12	0.010448	0.11233	0.70307	0.95774	0.91056	1
Ubp1_p1	12	0.039018	0.65874	0.30987	0.82989	0.51006	1
Aff4_p1	12	0.042208	0.68663	0.27697	0.80961	0.49231	1
Klf13_p1	12	-0.0010511	-0.015001	0.89759	0.98271	0.98803	1
Hic2_p1	12	0.056577	0.6569	0.16075	0.64737	0.51125	1
Ascl2_p1	12	0.096244	1.7272	0.025439	0.31351	0.08413	1
Sp2_p1	12	0.10974	1.2252	0.013377	0.244	0.2205	1
Zfx_p1	12	0.078961	0.8289	0.055482	0.44132	0.40716	1
Olig1_p1	12	0.036338	0.43738	0.33596	0.85247	0.66183	1
2610021A01Rik_p1	12	-0.047026	-0.69019	0.38969	0.8662	0.49007	1
Atf6b_p1	12	0.022003	0.40802	0.5182	0.89533	0.68326	1
Tslrn1_p1	12	-0.059302	-0.81349	0.27281	0.80961	0.41594	1
Rif1_p1	12	-0.41116	-3.9343	0	0	8.3427e-05	0.0095107
Zfp664_p1	12	0.024537	0.45754	0.48443	0.8938	0.64729	1
Csrnp1_p3	12	-0.047069	-0.76497	0.3886	0.8662	0.44429	1
Gm49345_p1	8	0.00053964	0.0091459	0.89518	0.98271	0.9927	1
Zfp263_p1	12	-0.026144	-0.51658	0.67917	0.95046	0.60545	1
Tead2_p2	12	0.037628	0.52714	0.32259	0.84286	0.59809	1
Zfp57_p3	12	0.035521	0.38642	0.34518	0.85247	0.69918	1
Zfp267_p2	12	0.042254	0.36798	0.2761	0.80961	0.71289	1
Klf15_p1	12	-0.068538	-0.71643	0.19803	0.69769	0.47372	1
Smad4_p1	12	0.017861	0.35582	0.58158	0.92617	0.72198	1
Plscr1_p2	12	0.0027791	0.031974	0.83443	0.97727	0.97449	1
Cpeb1_p3	12	-0.078389	-1.0688	0.14057	0.61792	0.28516	1
Lef1_p1	12	0.023975	0.45165	0.49145	0.8938	0.65152	1
Zfp777_p1	12	0.0024564	0.033358	0.83882	0.97727	0.97339	1
Zfp605_p1	12	-0.045313	-0.38597	0.40899	0.86744	0.69952	1
Smad7_p1	12	0.054042	1.007	0.17785	0.67866	0.31393	1
Atf5_p2	12	0.03196	0.3377	0.38487	0.8662	0.73559	1
Foxp1_p1	12	0.019095	0.32907	0.56469	0.921	0.7421	1
Zfp729b_p1	11	0.053011	0.69346	0.20702	0.70186	0.48802	1
Zfp609_p1	12	0.047892	0.58488	0.22105	0.72143	0.55863	1
Klf4_p1	12	-0.044739	-0.58281	0.41623	0.87056	0.56002	1
Gli3_p1	12	-0.040387	-0.54528	0.47478	0.89278	0.58556	1
Zfp869_p2	12	-0.049126	-0.63054	0.36535	0.85876	0.52834	1
Zkscan3_p1	12	-0.00049611	-0.0070096	0.88925	0.98271	0.99441	1
Trim28_p2	12	-0.12426	-1.9614	0.027851	0.33421	0.049836	1
Nfe2l1_p1	12	-0.096376	-1.2055	0.075658	0.53077	0.22802	1
Yeats4_p1	12	-0.03724	-0.40173	0.51557	0.89392	0.68788	1
Gzf1_p1	12	-0.078281	-1.0089	0.14079	0.61792	0.31304	1
Zfp317_p1	12	-0.025682	-0.33978	0.68728	0.95549	0.73402	1
Tcf15_p1	12	0.024961	0.49572	0.47873	0.8938	0.62009	1
Nfatc3_p2	12	0.013274	0.15466	0.65219	0.94684	0.87709	1
Cpeb1_p2	12	-0.066166	-0.78605	0.21557	0.71491	0.43184	1
Cenpa_p1	12	-0.0087687	-0.10215	0.9682	0.99208	0.91864	1
Zfp748_p1	12	0.054583	0.71944	0.17434	0.67373	0.47187	1
Zfp423_p1	12	0.059138	0.9482	0.14649	0.62326	0.34303	1
Pias4_p1	12	-0.0062863	-0.085142	0.98882	0.99208	0.93215	1
Cenps_p1	12	-0.054195	-0.68074	0.31118	0.82989	0.49604	1
Zfp239_p2	12	-0.065061	-0.77721	0.22127	0.72143	0.43703	1
Nr6a1_p2	12	0.031464	0.3588	0.38925	0.8662	0.71974	1
Zbed4_p1	12	-0.047289	-0.96035	0.38618	0.8662	0.33688	1
Zfp532_p5	12	0.023342	0.2302	0.49803	0.8938	0.81793	1
Nup62cl_p1	12	-0.054016	-0.59685	0.31382	0.82989	0.55061	1
Crxos_p3	12	-0.053113	-0.49211	0.32346	0.84286	0.62264	1
Nkrf_p2	12	0.071261	0.84941	0.084211	0.55652	0.39565	1
Nfya_p1	12	-0.018676	-0.21789	0.79693	0.97296	0.82752	1
Atf3_p2	12	-0.00092562	-0.012354	0.89627	0.98271	0.99014	1
Zbtb44_p1	12	0.08331	0.9374	0.044079	0.4102	0.34855	1
Rest_p1	12	0.032682	0.3871	0.37785	0.8662	0.69868	1
Dcp1a_p1	12	0.23696	2.6252	0	0	0.0086587	0.37603
Zbtb6_p1	12	0.056859	0.7901	0.16031	0.64737	0.42947	1
Elf2_p2	12	-0.034129	-0.61667	0.55987	0.91835	0.53745	1
Zfp809_p1	12	0.035632	0.66885	0.34452	0.85247	0.50359	1
Max_p1	12	0.066958	1.1465	0.10395	0.5975	0.25157	1
Zfp976_p1	12	-0.0053397	-0.061722	0.97215	0.99208	0.95078	1
Mga_p1	12	-0.10438	-1.1563	0.058553	0.44132	0.24756	1
Zfp664_p2	12	-0.018113	-0.18035	0.80504	0.97298	0.85688	1
Zfp532_p4	12	0.12056	1.2362	0.0083333	0.19	0.21638	1
Elmsan1_p1	12	-0.0041868	-0.058201	0.94912	0.99208	0.95359	1
Hnrnpu_p1	12	-0.03132	-0.3882	0.60373	0.93485	0.69787	1
Eed_p1	12	0.040493	0.84234	0.29232	0.80961	0.3996	1
Zkscan5_p4	12	0.011486	0.11911	0.68158	0.95046	0.90518	1
Rarg_p1	12	-0.052871	-0.61947	0.32632	0.84545	0.5356	1
Hnrnpk_p2	12	-0.024776	-0.30714	0.70482	0.95774	0.75874	1
Trim28_p1	12	-0.0062966	-0.089834	0.98882	0.99208	0.92842	1
Platr25_p3	7	-0.014888	-0.12237	0.86469	0.98271	0.90261	1
Ncoa1_p1	12	-0.026906	-0.42202	0.66689	0.95016	0.67301	1
Mbtps2_p2	12	-0.060972	-0.65574	0.25482	0.78456	0.51199	1
Ncor1_p2	12	0.034404	0.45311	0.35724	0.85247	0.65047	1
Myb_p1	12	-0.043762	-0.64304	0.43092	0.87056	0.5202	1
Zfp706_p2	12	-0.015054	-0.19488	0.85965	0.98271	0.84548	1
Nr2f6_p2	12	-0.00076143	-0.012199	0.8932	0.98271	0.99027	1
Zfp518b_p1	12	-0.221	-3.2723	0.0002193	0.0086957	0.0010669	0.0851
Smarcal1_p1	12	-0.027247	-0.35411	0.66228	0.94851	0.72326	1
Nr1d2_p1	12	0.016072	0.22802	0.60921	0.93485	0.81963	1
Zfp652_p1	12	-0.014582	-0.18132	0.86491	0.98271	0.85611	1
Zfp229_p1	12	0.017575	0.18861	0.58596	0.92617	0.85039	1
Zfp516_p2	12	0.018292	0.22915	0.57675	0.92513	0.81875	1
Gmeb2_p1	12	0.17748	2.2505	0.0002193	0.0086957	0.02442	0.89083
Zfp292_p1	12	-0.055662	-0.67471	0.29781	0.81317	0.49986	1
Zfp574_p2	12	-0.041631	-0.47427	0.45855	0.8827	0.6353	1
Zfp445_p1	12	0.036242	0.61165	0.33772	0.85247	0.54077	1
E4f1_p2	12	-0.043749	-0.54401	0.43136	0.87056	0.58643	1
Ahctf1_p1	12	-0.14699	-1.6176	0.011184	0.22667	0.10574	1
Zfp280c_p1	12	0.12579	1.7328	0.0054825	0.13889	0.083136	1
Mier1_p1	12	-0.012104	-0.19907	0.90768	0.98621	0.84221	1
Zic2_p1	12	-0.069232	-1.0887	0.19627	0.69769	0.27628	1
Terf1_p1	12	0.040061	0.55548	0.29561	0.80961	0.57857	1
Nsd2_p1	12	0.03356	0.70597	0.36864	0.86205	0.48021	1
Lbr_p2	12	-0.040831	-0.45275	0.46864	0.89027	0.65073	1
Tfap4_p1	12	-0.026115	-0.40127	0.67982	0.95046	0.68822	1
Zbtb32_p1	12	0.070618	0.76932	0.0875	0.55944	0.4417	1
Zfp740_p1	12	0.018638	0.28839	0.57105	0.92297	0.77305	1
Hmg20b_p1	12	-0.087589	-1.3786	0.10395	0.5975	0.16802	1
Foxp1_p5	12	-0.036663	-0.41322	0.52303	0.89533	0.67945	1
Sall4_p1	12	-0.21051	-2.7873	0.0004386	0.016667	0.005315	0.26929
Zfp655_p1	12	-0.073543	-1.0972	0.16557	0.65628	0.27257	1
Id1_p1	12	-0.0077312	-0.089883	0.98487	0.99208	0.92838	1
Zzz3_p3	12	0.024711	0.39659	0.48202	0.8938	0.69167	1
Sp1_p1	12	-0.391	-4.7002	0	0	2.5987e-06	0.00079001
Zscan22_p1	12	0.0079672	0.11804	0.74605	0.9701	0.90604	1
Hmga1b_p1	8	-0.0098872	-0.1543	0.95877	0.99208	0.87737	1
Zbtb24_p1	12	-0.041014	-0.44137	0.46689	0.89027	0.65894	1
Xbp1_p1	12	-0.025328	-0.30532	0.69408	0.95774	0.76012	1
Esrrb_p1	12	-0.022213	-0.31018	0.74145	0.9701	0.75643	1
Zfp936_p2	4	0.10485	0.62729	0.14693	0.62326	0.53047	1
Nr3c1_p3	12	0.010396	0.11021	0.70417	0.95774	0.91224	1
Hsf1_p1	12	-0.017406	-0.20976	0.81711	0.97429	0.83386	1
Nrf1_p1	12	-0.045649	-0.34046	0.40614	0.8662	0.73351	1
Zfp58_p1	12	0.024142	0.31434	0.48904	0.8938	0.75326	1
Foxn3_p5	12	-0.07803	-0.84002	0.14211	0.61792	0.40089	1
Ttf1_p1	12	-0.14175	-0.80092	0.014474	0.24906	0.42318	1
Zfp871_p1	12	-0.075547	-0.82995	0.15373	0.63909	0.40657	1
Tsc22d1_p2	12	0.010624	0.14507	0.69912	0.95774	0.88466	1
Pou5f1_p2	12	-0.069449	-0.77103	0.19386	0.69769	0.44069	1
Pias2_p1	12	0.066624	0.93362	0.10592	0.6	0.3505	1
Junb_p1	12	0.051457	0.75821	0.19737	0.69769	0.44832	1
Plagl1_p2	12	-0.045735	-0.71065	0.40504	0.8662	0.4773	1
Rest_p2	12	0.013514	0.14656	0.6489	0.94684	0.88348	1
Zfp639_p2	12	-0.087671	-1.7982	0.10395	0.5975	0.072151	1
Zfp932_p1	5	-0.012304	-0.10602	0.93311	0.99208	0.91556	1
Hes1_p2	12	0.12895	1.3489	0.0041667	0.11515	0.17735	1
Zfp639_p1	12	-0.092921	-1.173	0.084868	0.55683	0.24081	1
Bcor_p1	12	0.064777	0.97721	0.11579	0.60343	0.32846	1
Gli2_p1	12	-0.092389	-1.1516	0.086404	0.55887	0.24948	1
Zfp956_p1	12	-0.040144	-0.68881	0.47719	0.89363	0.49094	1
Elmsan1_p2	12	-0.010763	-0.17895	0.93246	0.99208	0.85798	1
Zfp644_p3	12	-0.073085	-1.1484	0.1682	0.66009	0.25078	1
Kansl1_p2	12	0.1251	1.6268	0.0057018	0.14054	0.10378	1
Zfp706_p1	12	0.0324	0.6494	0.37982	0.8662	0.51608	1
Pbx2_p2	12	0.028791	0.43503	0.42632	0.87056	0.66354	1
Blzf1_p1	12	-0.009129	-0.08708	0.95899	0.99208	0.93061	1
Mael_p1	12	-0.03032	-0.47215	0.61908	0.93485	0.63682	1
Fiz1_p1	12	0.027583	0.28522	0.44035	0.87056	0.77547	1
Nme2_p1	12	0.014857	0.21438	0.62697	0.93485	0.83025	1
Zfp105_p1	12	-0.010107	-0.09478	0.94496	0.99208	0.92449	1
Etv5_p1	12	-0.024989	-0.31932	0.70044	0.95774	0.74949	1
Gata2_p1	12	0.028848	0.4143	0.42566	0.87056	0.67865	1
Zfp984_p1	6	0.13058	1.2705	0.031798	0.35238	0.2039	1
Myrf_p1	12	-0.13679	-2.3173	0.018202	0.26774	0.02049	0.77862
Gabpa_p1	12	0.035428	0.55093	0.34605	0.85247	0.58168	1
Zfp532_p2	12	0.065682	1.0586	0.11162	0.60343	0.28978	1
Srebf2_p2	12	-0.037787	-0.69937	0.51031	0.89392	0.48432	1
Otx2_p3	12	-0.052059	-0.45716	0.33509	0.85247	0.64755	1
Mlx_p1	12	0.10962	1.0914	0.013377	0.244	0.27512	1
Cnbp_p1	12	-0.087394	-1.2208	0.10439	0.5975	0.22215	1
Arid1a_p1	12	0.029079	0.47596	0.42259	0.87056	0.6341	1
Khsrp_p1	12	-0.11036	-1.8387	0.047149	0.41748	0.065965	1
Litaf_p1	12	-0.080375	-1.0572	0.1318	0.61792	0.29043	1
Hmgb1_p1	12	0.065134	0.85424	0.11404	0.60343	0.39297	1
Tmf1_p1	12	-0.0019766	-0.029026	0.91382	0.98744	0.97684	1
Rxrb_p1	12	0.028948	0.35229	0.42434	0.87056	0.72462	1
Irf6_p1	12	0.022518	0.30637	0.51075	0.89392	0.75932	1
Zfp954_p1	12	0.0030785	0.038407	0.82982	0.97727	0.96936	1
Zfp280b_p1	12	0.017019	0.31952	0.59474	0.93485	0.74933	1
Crxos_p1	12	-0.050233	-0.8453	0.35373	0.85247	0.39795	1
Ubtf_p2	12	-0.0039048	-0.060991	0.94518	0.99208	0.95137	1
Zfp748_p2	12	-0.048697	-0.84997	0.37105	0.86327	0.39534	1
Hmgb1_p3	12	-0.057991	-0.59818	0.28311	0.80961	0.54972	1
Zbtb41_p1	12	-0.00016972	-0.0020603	0.88421	0.98271	0.99836	1
Klf13_p2	12	-0.032841	-0.51908	0.58048	0.92617	0.6037	1
Gm14443_p1	10	-0.011634	-0.13416	0.92061	0.99208	0.89327	1
Zfp12_p2	12	-0.0045382	-0.050173	0.95768	0.99208	0.95998	1
Gbx2_p1	12	0.0043396	0.07532	0.80504	0.97298	0.93996	1
Mier2_p2	12	-0.0048102	-0.051664	0.9614	0.99208	0.9588	1
Litaf_p2	12	-0.074449	-0.74484	0.16053	0.64737	0.45637	1
Nfrkb_p1	12	-0.48112	-4.5937	0	0	4.3539e-06	0.00079415
Pbrm1_p1	12	0.051948	0.62618	0.19386	0.69769	0.53119	1
Mid2_p1	12	-0.029573	-0.40811	0.63004	0.93485	0.6832	1
Tcf12_p1	12	0.081717	1.2048	0.047807	0.41923	0.22828	1
Gata2_p2	12	-0.10395	-1.4498	0.059211	0.44262	0.14712	1
E2f3_p1	12	0.053284	0.56945	0.18465	0.69752	0.56905	1
Pbx2_p1	12	-0.044069	-0.65785	0.425	0.87056	0.51064	1
Mitf_p3	12	-0.019523	-0.20958	0.78092	0.97296	0.83399	1
Aebp2_p2	12	-0.034126	-0.65149	0.55987	0.91835	0.51473	1
Zfp944_p1	5	-0.0055738	-0.051934	0.98487	0.99208	0.95858	1
Patz1_p2	12	0.00010626	0.0012432	0.87851	0.98271	0.99901	1
Zfp184_p2	12	-0.024454	-0.27743	0.70987	0.9583	0.78145	1
Smarcc1_p2	12	0.055531	0.39187	0.16864	0.66009	0.69516	1
