gene	transcript	chromosome	strand	source	TSS	cluster	id
Atf2	ENSMUST00000156455.7	chr2	-	HAVANA	73892628	p1	Atf2_p1
Atf2	ENSMUST00000112017.7	chr2	-	ENSEMBL	73892555	p1	Atf2_p1
Atf2	ENSMUST00000143714.7	chr2	-	HAVANA	73892613	p1	Atf2_p1
Atf2	ENSMUST00000136958.7	chr2	-	HAVANA	73892530	p1	Atf2_p1
Atf2	ENSMUST00000141050.7	chr2	-	HAVANA	73892628	p1	Atf2_p1
Atf2	ENSMUST00000154456.7	chr2	-	HAVANA	73892593	p1	Atf2_p1
Atf2	ENSMUST00000128531.7	chr2	-	HAVANA	73892553	p1	Atf2_p1
Atf2	ENSMUST00000138098.7	chr2	-	HAVANA	73892594	p1	Atf2_p1
Atf2	ENSMUST00000125159.7	chr2	-	HAVANA	73892628	p1	Atf2_p1
Atf2	ENSMUST00000154965.1	chr2	-	HAVANA	73892550	p1	Atf2_p1
Atf3	ENSMUST00000027941.13	chr1	-	HAVANA	191183340	p1	Atf3_p1
Atf3	ENSMUST00000195117.1	chr1	-	HAVANA	191218039	p2	Atf3_p2
Atf3	ENSMUST00000131854.1	chr1	-	HAVANA	191183108	p1	Atf3_p1
Atf4	ENSMUST00000109605.4	chr15	+	HAVANA	80255184	p1	Atf4_p1
Atf4	ENSMUST00000229828.1	chr15	+	HAVANA	80255185	p1	Atf4_p1
Atf4	ENSMUST00000230434.1	chr15	+	HAVANA	80255523	p1	Atf4_p1
Atf5	ENSMUST00000047356.10	chr7	-	HAVANA	44816658	p1	Atf5_p1
Atf5	ENSMUST00000107893.8	chr7	-	HAVANA	44815658	p2	Atf5_p2
Atf5	ENSMUST00000209072.1	chr7	-	HAVANA	44816574	p1	Atf5_p1
Atf6b	ENSMUST00000015605.14	chr17	+	HAVANA	34647146	p1	Atf6b_p1
Atf6b	ENSMUST00000174614.7	chr17	+	HAVANA	34647201	p1	Atf6b_p1
Atf6b	ENSMUST00000174519.1	chr17	+	HAVANA	34647201	p1	Atf6b_p1
Atf6b	ENSMUST00000173984.1	chr17	+	HAVANA	34647211	p1	Atf6b_p1
Bach1	ENSMUST00000026703.5	chr16	+	HAVANA	87698945	p1	Bach1_p1
Bach1	ENSMUST00000151046.1	chr16	+	HAVANA	87698965	p1	Bach1_p1
Bach1	ENSMUST00000156958.1	chr16	+	HAVANA	87699004	p1	Bach1_p1
Baz2b	ENSMUST00000112550.7	chr2	-	HAVANA	60125697	p1	Baz2b_p1
Baz2b	ENSMUST00000137480.7	chr2	-	HAVANA	60125740	p1	Baz2b_p1
Baz2b	ENSMUST00000153711.1	chr2	-	HAVANA	60125592	p1	Baz2b_p1
Baz2b	ENSMUST00000144893.1	chr2	-	HAVANA	60209839	p2	Baz2b_p2
Baz2b	ENSMUST00000151756.1	chr2	-	HAVANA	60209801	p2	Baz2b_p2
Baz2b	ENSMUST00000138089.1	chr2	-	HAVANA	60209159	p3	Baz2b_p3
Baz2b	ENSMUST00000134908.1	chr2	-	HAVANA	60209748	p2	Baz2b_p2
Bbx	ENSMUST00000138166.7	chr16	-	HAVANA	50432390	p1	Bbx_p1
Bbx	ENSMUST00000066037.12	chr16	-	HAVANA	50432340	p1	Bbx_p1
Bbx	ENSMUST00000089404.9	chr16	-	HAVANA	50432389	p1	Bbx_p1
Bbx	ENSMUST00000089399.10	chr16	-	HAVANA	50432374	p1	Bbx_p1
Bbx	ENSMUST00000114477.7	chr16	-	HAVANA	50432389	p1	Bbx_p1
Bbx	ENSMUST00000131695.7	chr16	-	HAVANA	50429912	p2	Bbx_p2
Bbx	ENSMUST00000142818.1	chr16	-	HAVANA	50432309	p1	Bbx_p1
Bbx	ENSMUST00000130210.1	chr16	-	HAVANA	50432347	p1	Bbx_p1
Bclaf1	ENSMUST00000092678.9	chr10	+	ENSEMBL	20312469	p1	Bclaf1_p1
Bclaf1	ENSMUST00000186100.6	chr10	+	HAVANA	20312472	p1	Bclaf1_p1
Bclaf1	ENSMUST00000043881.11	chr10	+	HAVANA	20312484	p1	Bclaf1_p1
Bclaf1	ENSMUST00000187338.6	chr10	+	HAVANA	20312528	p1	Bclaf1_p1
Bclaf1	ENSMUST00000190156.6	chr10	+	HAVANA	20312529	p1	Bclaf1_p1
Bclaf1	ENSMUST00000216560.1	chr10	+	HAVANA	20312532	p1	Bclaf1_p1
Bclaf1	ENSMUST00000185800.6	chr10	+	HAVANA	20312537	p1	Bclaf1_p1
Bcor	ENSMUST00000115513.8	chrX	-	HAVANA	12080553	p1	Bcor_p1
Bcor	ENSMUST00000115512.8	chrX	-	HAVANA	12080553	p1	Bcor_p1
Bcor	ENSMUST00000065143.13	chrX	-	HAVANA	12080553	p1	Bcor_p1
Bcor	ENSMUST00000124033.7	chrX	-	HAVANA	12080553	p1	Bcor_p1
Bcor	ENSMUST00000043441.12	chrX	-	HAVANA	12160355	p2	Bcor_p2
Bcor	ENSMUST00000145872.7	chrX	-	HAVANA	12128400	p3	Bcor_p3
Bcor	ENSMUST00000123004.1	chrX	-	HAVANA	12128350	p3	Bcor_p3
Bcor	ENSMUST00000209776.1	chrX	-	HAVANA	12160346	p2	Bcor_p2
Bcorl1	ENSMUST00000136348.7	chrX	+	HAVANA	48341358	p1	Bcorl1_p1
Bcorl1	ENSMUST00000156703.1	chrX	+	HAVANA	48342061	p2	Bcorl1_p2
Bcorl1	ENSMUST00000037596.12	chrX	+	HAVANA	48343770	p3	Bcorl1_p3
Bhlhe40	ENSMUST00000032194.10	chr6	+	HAVANA	108660629	p1	Bhlhe40_p1
Bhlhe40	ENSMUST00000166346.1	chr6	+	HAVANA	108660799	p1	Bhlhe40_p1
Bhlhe40	ENSMUST00000163617.1	chr6	+	HAVANA	108660874	p1	Bhlhe40_p1
Blzf1	ENSMUST00000027866.10	chr1	-	HAVANA	164307484	p1	Blzf1_p1
Blzf1	ENSMUST00000120447.7	chr1	-	HAVANA	164307489	p1	Blzf1_p1
Blzf1	ENSMUST00000086032.3	chr1	-	HAVANA	164307489	p1	Blzf1_p1
Blzf1	ENSMUST00000124007.1	chr1	-	HAVANA	164307272	p1	Blzf1_p1
Blzf1	ENSMUST00000148884.1	chr1	-	HAVANA	164307471	p1	Blzf1_p1
Bnc2	ENSMUST00000102820.8	chr4	-	HAVANA	84675034	p1	Bnc2_p1
Bnc2	ENSMUST00000107198.8	chr4	-	HAVANA	84675067	p1	Bnc2_p1
Bnc2	ENSMUST00000176612.7	chr4	-	HAVANA	84675275	p1	Bnc2_p1
Bnc2	ENSMUST00000176691.7	chr4	-	HAVANA	84675086	p1	Bnc2_p1
Bnc2	ENSMUST00000175800.7	chr4	-	HAVANA	84674996	p1	Bnc2_p1
Bnc2	ENSMUST00000176418.7	chr4	-	HAVANA	84674996	p1	Bnc2_p1
Bnc2	ENSMUST00000176947.7	chr4	-	HAVANA	84675027	p1	Bnc2_p1
Bnc2	ENSMUST00000175969.7	chr4	-	HAVANA	84674997	p1	Bnc2_p1
Bnc2	ENSMUST00000123276.7	chr4	-	HAVANA	84674999	p1	Bnc2_p1
Bnc2	ENSMUST00000176346.7	chr4	-	HAVANA	84674997	p1	Bnc2_p1
Bnc2	ENSMUST00000175756.7	chr4	-	HAVANA	84675078	p1	Bnc2_p1
Bnc2	ENSMUST00000176370.1	chr4	-	HAVANA	84674999	p1	Bnc2_p1
Brd4	ENSMUST00000003726.15	chr17	-	HAVANA	32284097	p1	Brd4_p1
Brd4	ENSMUST00000121285.7	chr17	-	HAVANA	32284109	p1	Brd4_p1
Brd4	ENSMUST00000120276.8	chr17	-	HAVANA	32284109	p1	Brd4_p1
Brd4	ENSMUST00000237692.1	chr17	-	HAVANA	32284133	p1	Brd4_p1
Brd4	ENSMUST00000127893.7	chr17	-	HAVANA	32284722	p2	Brd4_p2
Brd4	ENSMUST00000125899.1	chr17	-	HAVANA	32284677	p2	Brd4_p2
Brd4	ENSMUST00000235598.1	chr17	-	HAVANA	32284109	p1	Brd4_p1
Brd4	ENSMUST00000230982.1	chr17	-	HAVANA	32284090	p1	Brd4_p1
Capn15	ENSMUST00000212735.1	chr17	-	HAVANA	25985706	p1	Capn15_p1
Capn15	ENSMUST00000212789.1	chr17	-	HAVANA	25985680	p1	Capn15_p1
Capn15	ENSMUST00000212520.1	chr17	-	HAVANA	25985796	p1	Capn15_p1
Capn15	ENSMUST00000212099.1	chr17	-	HAVANA	25985680	p1	Capn15_p1
Capn15	ENSMUST00000041641.8	chr17	-	ENSEMBL	25985680	p1	Capn15_p1
Capn15	ENSMUST00000211917.1	chr17	-	HAVANA	25985796	p1	Capn15_p1
Cbfb	ENSMUST00000052209.8	chr8	+	HAVANA	105170674	p1	Cbfb_p1
Cbfb	ENSMUST00000109392.8	chr8	+	HAVANA	105170689	p1	Cbfb_p1
Cbfb	ENSMUST00000109395.7	chr8	+	HAVANA	105170744	p1	Cbfb_p1
Cbfb	ENSMUST00000109394.2	chr8	+	HAVANA	105170945	p1	Cbfb_p1
Cbfb	ENSMUST00000186070.1	chr8	+	HAVANA	105171109	p1	Cbfb_p1
Cbfb	ENSMUST00000190915.6	chr8	+	HAVANA	105171492	p2	Cbfb_p2
Cbfb	ENSMUST00000187323.1	chr8	+	HAVANA	105171564	p2	Cbfb_p2
Cc2d1a	ENSMUST00000117424.8	chr8	-	HAVANA	84147865	p1	Cc2d1a_p1
Cc2d1a	ENSMUST00000040383.8	chr8	-	HAVANA	84147936	p1	Cc2d1a_p1
Cc2d1a	ENSMUST00000126364.1	chr8	-	HAVANA	84147897	p1	Cc2d1a_p1
Cdc5l	ENSMUST00000024727.9	chr17	-	HAVANA	45433737	p1	Cdc5l_p1
Cdc5l	ENSMUST00000232910.1	chr17	-	HAVANA	45433541	p1	Cdc5l_p1
Cdip1	ENSMUST00000004173.11	chr16	-	HAVANA	4789990	p1	Cdip1_p1
Cdip1	ENSMUST00000118703.7	chr16	-	HAVANA	4790292	p1	Cdip1_p1
Cdip1	ENSMUST00000117713.7	chr16	-	HAVANA	4789930	p1	Cdip1_p1
Cdip1	ENSMUST00000152667.1	chr16	-	HAVANA	4790266	p1	Cdip1_p1
Cdip1	ENSMUST00000229452.1	chr16	-	HAVANA	4789935	p1	Cdip1_p1
Cebpg	ENSMUST00000130491.2	chr7	-	HAVANA	35056573	p1	Cebpg_p1
Cebpg	ENSMUST00000070191.9	chr7	-	HAVANA	35055940	p2	Cebpg_p2
Cebpg	ENSMUST00000206505.1	chr7	-	HAVANA	35055983	p2	Cebpg_p2
Cebpz	ENSMUST00000024885.9	chr17	-	HAVANA	78937066	p1	Cebpz_p1
Cebpz	ENSMUST00000233484.1	chr17	-	HAVANA	78937041	p1	Cebpz_p1
Cebpz	ENSMUST00000232899.1	chr17	-	HAVANA	78937037	p1	Cebpz_p1
Cenpa	ENSMUST00000144742.5	chr5	+	HAVANA	30666777	p1	Cenpa_p1
Cenpa	ENSMUST00000133316.7	chr5	+	HAVANA	30666897	p1	Cenpa_p1
Cenpa	ENSMUST00000134846.7	chr5	+	HAVANA	30666912	p1	Cenpa_p1
Cenpa	ENSMUST00000150810.7	chr5	+	HAVANA	30666935	p1	Cenpa_p1
Cenpa	ENSMUST00000149759.1	chr5	+	HAVANA	30666943	p1	Cenpa_p1
Cenpa	ENSMUST00000199320.4	chr5	+	HAVANA	30666957	p1	Cenpa_p1
Cenpa	ENSMUST00000197962.1	chr5	+	HAVANA	30666960	p1	Cenpa_p1
Cenpa	ENSMUST00000031073.9	chr5	+	HAVANA	30666974	p1	Cenpa_p1
Cenpa	ENSMUST00000199617.1	chr5	+	HAVANA	30666998	p1	Cenpa_p1
Cenps	ENSMUST00000105696.7	chr4	-	HAVANA	149137548	p1	Cenps_p1
Cenps	ENSMUST00000030813.9	chr4	-	HAVANA	149137629	p1	Cenps_p1
Cenps	ENSMUST00000177408.1	chr4	-	HAVANA	149137569	p1	Cenps_p1
Cenps	ENSMUST00000176124.7	chr4	-	HAVANA	149137565	p1	Cenps_p1
Cenps	ENSMUST00000105695.1	chr4	-	HAVANA	149137577	p1	Cenps_p1
Cenpt	ENSMUST00000212357.1	chr8	-	HAVANA	105851992	p1	Cenpt_p1
Cenpt	ENSMUST00000212431.1	chr8	-	HAVANA	105852001	p1	Cenpt_p1
Cenpt	ENSMUST00000040776.5	chr8	-	HAVANA	105852054	p1	Cenpt_p1
Cenpt	ENSMUST00000212625.1	chr8	-	HAVANA	105851995	p1	Cenpt_p1
Cenpt	ENSMUST00000212873.1	chr8	-	HAVANA	105851969	p1	Cenpt_p1
Cenpt	ENSMUST00000212204.1	chr8	-	HAVANA	105851981	p1	Cenpt_p1
Cenpt	ENSMUST00000212839.1	chr8	-	HAVANA	105851986	p1	Cenpt_p1
Cenpt	ENSMUST00000212797.1	chr8	-	HAVANA	105853278	p2	Cenpt_p2
Cenpt	ENSMUST00000212552.1	chr8	-	HAVANA	105852008	p1	Cenpt_p1
Chd8	ENSMUST00000200169.5	chr14	-	HAVANA	52257780	p1	Chd8_p1
Chd8	ENSMUST00000199135.1	chr14	-	HAVANA	52257723	p1	Chd8_p1
Cic	ENSMUST00000169266.7	chr7	+	HAVANA	25267704	p1	Cic_p1
Cic	ENSMUST00000169392.1	chr7	+	HAVANA	25268387	p2	Cic_p2
Cic	ENSMUST00000163819.1	chr7	+	HAVANA	25283217	p3	Cic_p3
Cnbp	ENSMUST00000204653.2	chr6	-	HAVANA	87851106	p1	Cnbp_p1
Cnbp	ENSMUST00000032138.14	chr6	-	ENSEMBL	87851106	p1	Cnbp_p1
Cnbp	ENSMUST00000204890.2	chr6	-	HAVANA	87851030	p1	Cnbp_p1
Cnbp	ENSMUST00000113619.7	chr6	-	HAVANA	87851080	p1	Cnbp_p1
Cnbp	ENSMUST00000113617.2	chr6	-	HAVANA	87851060	p1	Cnbp_p1
Cnbp	ENSMUST00000141961.3	chr6	-	HAVANA	87851027	p1	Cnbp_p1
Cnbp	ENSMUST00000204596.1	chr6	-	HAVANA	87851022	p1	Cnbp_p1
Cnbp	ENSMUST00000134851.2	chr6	-	HAVANA	87851059	p1	Cnbp_p1
Cpeb1	ENSMUST00000098331.9	chr7	-	HAVANA	81454758	p1	Cpeb1_p1
Cpeb1	ENSMUST00000130310.7	chr7	-	HAVANA	81436377	p2	Cpeb1_p2
Cpeb1	ENSMUST00000178892.2	chr7	-	HAVANA	81454675	p1	Cpeb1_p1
Cpeb1	ENSMUST00000153419.2	chr7	-	HAVANA	81372441	p3	Cpeb1_p3
Cpeb1	ENSMUST00000135177.7	chr7	-	HAVANA	81455465	p4	Cpeb1_p4
Cpeb1	ENSMUST00000151661.1	chr7	-	HAVANA	81372485	p3	Cpeb1_p3
Cpeb1	ENSMUST00000124937.1	chr7	-	HAVANA	81455392	p4	Cpeb1_p4
Creb1	ENSMUST00000185594.6	chr1	+	HAVANA	64532645	p1	Creb1_p1
Creb1	ENSMUST00000171164.7	chr1	+	HAVANA	64532797	p1	Creb1_p1
Creb1	ENSMUST00000188855.6	chr1	+	HAVANA	64532804	p1	Creb1_p1
Creb1	ENSMUST00000187811.6	chr1	+	HAVANA	64532809	p1	Creb1_p1
Creb1	ENSMUST00000049932.11	chr1	+	HAVANA	64532809	p1	Creb1_p1
Creb1	ENSMUST00000087366.10	chr1	+	HAVANA	64532819	p1	Creb1_p1
Creb1	ENSMUST00000186335.6	chr1	+	HAVANA	64532832	p1	Creb1_p1
Creb1	ENSMUST00000190876.6	chr1	+	HAVANA	64532859	p1	Creb1_p1
Creb1	ENSMUST00000190348.1	chr1	+	HAVANA	64532894	p1	Creb1_p1
Creb3	ENSMUST00000102944.10	chr4	+	HAVANA	43562332	p1	Creb3_p1
Creb3	ENSMUST00000167751.1	chr4	+	ENSEMBL	43562813	p2	Creb3_p2
Creb3	ENSMUST00000132631.1	chr4	+	HAVANA	43562947	p2	Creb3_p2
Crebrf	ENSMUST00000062519.13	chr17	+	HAVANA	26715650	p1	Crebrf_p1
Crebrf	ENSMUST00000144221.1	chr17	+	HAVANA	26715655	p1	Crebrf_p1
Crebrf	ENSMUST00000142539.7	chr17	+	HAVANA	26715710	p1	Crebrf_p1
Crebrf	ENSMUST00000151681.1	chr17	+	HAVANA	26715724	p1	Crebrf_p1
Crebzf	ENSMUST00000061767.4	chr7	+	HAVANA	90442729	p1	Crebzf_p1
Crebzf	ENSMUST00000107206.2	chr7	+	HAVANA	90443669	p2	Crebzf_p2
Crebzf	ENSMUST00000126041.1	chr7	+	HAVANA	90443670	p2	Crebzf_p2
Crebzf	ENSMUST00000143408.2	chr7	+	HAVANA	90443678	p2	Crebzf_p2
Crebzf	ENSMUST00000107205.2	chr7	+	HAVANA	90443755	p2	Crebzf_p2
Crebzf	ENSMUST00000208379.1	chr7	+	HAVANA	90443879	p2	Crebzf_p2
Crebzf	ENSMUST00000207252.1	chr7	+	HAVANA	90443887	p2	Crebzf_p2
Crebzf	ENSMUST00000209102.1	chr7	+	HAVANA	90444183	p3	Crebzf_p3
Crxos	ENSMUST00000125993.7	chr7	+	HAVANA	15882617	p1	Crxos_p1
Crxos	ENSMUST00000130566.1	chr7	+	HAVANA	15882653	p1	Crxos_p1
Crxos	ENSMUST00000098801.8	chr7	+	HAVANA	15896124	p2	Crxos_p2
Crxos	ENSMUST00000150050.2	chr7	+	HAVANA	15896171	p2	Crxos_p2
Crxos	ENSMUST00000173808.1	chr7	+	HAVANA	15897406	p3	Crxos_p3
Crxos	ENSMUST00000171280.2	chr7	+	HAVANA	15901646	p4	Crxos_p4
Csde1	ENSMUST00000029446.12	chr3	+	HAVANA	103020426	p1	Csde1_p1
Csde1	ENSMUST00000198180.4	chr3	+	HAVANA	103020607	p1	Csde1_p1
Csde1	ENSMUST00000197827.4	chr3	+	HAVANA	103020612	p1	Csde1_p1
Csde1	ENSMUST00000199240.4	chr3	+	HAVANA	103020613	p1	Csde1_p1
Csde1	ENSMUST00000199420.4	chr3	+	HAVANA	103020613	p1	Csde1_p1
Csde1	ENSMUST00000199571.4	chr3	+	HAVANA	103020620	p1	Csde1_p1
Csde1	ENSMUST00000197488.4	chr3	+	HAVANA	103020664	p1	Csde1_p1
Csrnp1	ENSMUST00000035101.8	chr9	-	HAVANA	119984443	p1	Csrnp1_p1
Csrnp1	ENSMUST00000214058.1	chr9	-	HAVANA	119983023	p2	Csrnp1_p2
Csrnp1	ENSMUST00000213936.1	chr9	-	HAVANA	119984658	p1	Csrnp1_p1
Csrnp1	ENSMUST00000216929.1	chr9	-	HAVANA	119983779	p3	Csrnp1_p3
Ctcf	ENSMUST00000132679.7	chr8	+	HAVANA	105636568	p1	Ctcf_p1
Ctcf	ENSMUST00000005841.15	chr8	+	HAVANA	105636579	p1	Ctcf_p1
Ctcf	ENSMUST00000128510.7	chr8	+	HAVANA	105636935	p1	Ctcf_p1
Ctcf	ENSMUST00000129388.1	chr8	+	HAVANA	105637066	p1	Ctcf_p1
Dcp1a	ENSMUST00000224453.1	chr14	+	HAVANA	30479535	p1	Dcp1a_p1
Dcp1a	ENSMUST00000225196.1	chr14	+	HAVANA	30479612	p1	Dcp1a_p1
