Gene	sgRNA	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
Foxm1_p1	12	0.15248	1.4597	0.013377	0.17222	0.14436	1
Crxos_p4	12	0.027121	0.27565	0.5614	0.93945	0.78282	1
Ddit3_p1	12	0.013436	0.21081	0.75482	0.95495	0.83304	1
Crebzf_p3	12	0.0026537	0.032229	0.91579	0.98786	0.97429	1
Zfp148_p1	12	-0.033192	-0.45741	0.52961	0.93	0.64738	1
Hmgb3_p2	12	-0.096875	-0.89374	0.079386	0.51757	0.37146	1
Zfp397_p1	12	-0.091652	-1.0505	0.092325	0.54323	0.29351	1
Zfp180_p1	12	-0.044827	-0.5239	0.40175	0.85336	0.60035	1
Klf5_p1	12	0.11558	1.8413	0.045395	0.3569	0.065571	0.90885
Sox11_p1	12	0.034042	0.49293	0.475	0.90438	0.62206	1
Zfp143_p1	12	0.058647	0.67178	0.25636	0.75613	0.50172	1
Tada2a_p1	12	0.07751	0.75082	0.15175	0.67941	0.45276	1
Ahr_p1	12	0.065321	0.78589	0.2114	0.70824	0.43193	1
Zfp119b_p1	6	0.0044126	0.066906	0.92829	0.98786	0.94666	1
Erf_p1	12	0.17089	1.4528	0.0076754	0.13208	0.14628	1
Hnrnpk_p4	12	-0.10305	-0.96398	0.065351	0.46929	0.33506	1
Tead1_p1	12	0.055359	0.72235	0.27522	0.77341	0.47008	1
Hmgxb4_p1	12	-0.051218	-0.65322	0.34189	0.82711	0.51362	1
Crebzf_p1	12	-0.023953	-0.44675	0.65768	0.94537	0.65506	1
Arnt_p1	12	-0.2608	-3.0523	0.0004386	0.016667	0.002271	0.12945
Zfp507_p1	12	0.021419	0.22681	0.63443	0.94537	0.82057	1
Mitf_p1	12	-0.072613	-1.3609	0.175	0.69573	0.17354	1
Zfp512_p2	12	-0.024245	-0.25145	0.65461	0.94537	0.80146	1
Bcor_p3	12	0.032635	0.44609	0.49101	0.9129	0.65553	1
Mid2_p2	12	0.015934	0.21851	0.71711	0.94834	0.82703	1
Sox12_p1	12	0.046053	0.65093	0.34693	0.82711	0.51509	1
Zfp941_p1	12	0.030519	0.36652	0.51579	0.92188	0.71398	1
Zfp239_p1	12	0.052678	0.925	0.29145	0.77341	0.35497	1
Usf1_p1	12	-0.14064	-2.9934	0.017544	0.20513	0.002759	0.14662
Creb1_p1	12	0.058839	0.74486	0.25526	0.75613	0.45635	1
Pitx2_p1	12	-0.041326	-0.62878	0.43838	0.89042	0.52949	1
E2f1_p1	12	-0.0074723	-0.12984	0.92018	0.98786	0.8967	1
Six1_p2	12	0.014627	0.21393	0.73772	0.95495	0.83061	1
Zfp599_p1	12	-0.0057287	-0.070081	0.94561	0.9895	0.94413	1
Glis2_p1	12	0.015802	0.20334	0.7182	0.94834	0.83887	1
Mier1_p3	12	0.041646	0.6311	0.38838	0.85336	0.52798	1
Adnp2_p1	12	-0.075712	-1.0481	0.15943	0.68732	0.29458	1
Zfp958_p1	12	0.1194	1.2951	0.039912	0.34386	0.19529	1
Mbtps2_p1	12	-0.031062	-0.50627	0.55768	0.93945	0.61267	1
Gm14326_p1	4	-0.027797	-0.26954	0.74912	0.95495	0.78751	1
Preb_p1	12	0.02647	0.3201	0.56864	0.94143	0.74889	1
Cdx1_p1	12	-0.052951	-0.80315	0.32346	0.81708	0.42189	1
Rela_p1	12	-0.027966	-0.41874	0.60351	0.94537	0.6754	1
Tfap4_p2	12	0.04867	0.83752	0.32697	0.81863	0.4023	1
Hmgb2_p1	12	-0.045904	-0.5211	0.39211	0.85336	0.6023	1
Mier2_p1	12	-0.0058084	-0.079897	0.94496	0.9895	0.93632	1
Rhox6_p1	7	0.0067983	0.096849	0.88706	0.98099	0.92285	1
Jdp2_p2	12	0.043244	0.56705	0.37281	0.84356	0.57068	1
Nfil3_p1	12	-0.023729	-0.344	0.65965	0.94537	0.73085	1
Smarce1_p1	12	-0.037648	-0.46663	0.47873	0.90581	0.64076	1
Zfp617_p1	12	0.017525	0.20234	0.69605	0.94834	0.83965	1
Sall2_p1	12	0.016217	0.17778	0.71272	0.94834	0.8589	1
Cdip1_p1	12	-0.020015	-0.27482	0.71974	0.94834	0.78346	1
Mycn_p2	12	0.059642	0.66044	0.24956	0.75279	0.50897	1
Kansl3_p2	12	-0.068952	-0.85578	0.20044	0.70824	0.39212	1
Mycl_p1	12	0.022313	0.34484	0.62193	0.94537	0.73022	1
Zfp35_p1	12	0.027173	0.42971	0.56053	0.93945	0.66741	1
Zfp146_p1	12	0.0019002	0.023092	0.92785	0.98786	0.98158	1
Aebp2_p1	12	-0.038563	-0.48398	0.46842	0.89937	0.6284	1
Hbp1_p1	12	0.05815	0.66768	0.26009	0.7627	0.50434	1
Mier3_p1	12	0.043644	0.3671	0.36996	0.84239	0.71355	1
Cebpg_p2	12	0.09806	0.76523	0.080263	0.51757	0.44414	1
Nexmif_p1	12	0.062811	0.96039	0.22763	0.71834	0.33686	1
Zfp850_p1	12	0.011042	0.17905	0.78925	0.96405	0.8579	1
Zfp217_p1	12	-0.19382	-2.9788	0.0024123	0.057895	0.0028937	0.14662
Hmgxb4_p2	12	-0.025848	-0.40251	0.63246	0.94537	0.68731	1
Zfp763_p1	12	-0.059997	-0.59126	0.26996	0.76937	0.55434	1
Setdb1_p1	10	0.27788	2.8835	0.0002193	0.0090909	0.0039326	0.18876
Sub1_p1	12	-0.093757	-1.4049	0.086842	0.5245	0.16004	1
Gtf2ird1_p2	12	0.15127	1.7144	0.013596	0.17222	0.08646	1
Hinfp_p1	12	0.016343	0.2543	0.71118	0.94834	0.79926	1
Platr25_p2	8	-0.0294	-0.27619	0.64649	0.94537	0.7824	1
Mbd1_p2	12	-0.021753	-0.25211	0.69189	0.94834	0.80095	1
Tead2_p4	12	0.071993	0.61697	0.17412	0.69573	0.53725	1
Otx2_p2	12	-0.52584	-5.1337	0	0	2.8416e-07	6.5022e-05
Thap12_p2	12	-0.092301	-0.9258	0.089693	0.53117	0.35455	1
Zfp654_p1	12	0.11878	2.4341	0.041009	0.34386	0.014929	0.40046
Srebf1_p2	12	0.025099	0.23779	0.58399	0.94433	0.81204	1
Maff_p1	12	-0.008377	-0.11588	0.90482	0.98786	0.90775	1
Sox2_p1	12	-0.11609	-1.3956	0.041886	0.34386	0.16283	1
Gtf2i_p1	12	0.029608	0.256	0.52982	0.93	0.79795	1
Tsix_p1	12	0.030216	0.45786	0.51908	0.92281	0.64706	1
Bnc2_p1	12	0.08994	1.3341	0.10439	0.56667	0.18218	1
Rbpj_p3	12	-0.036017	-0.48666	0.49759	0.91308	0.6265	1
Capn15_p1	12	-0.093384	-1.405	0.088158	0.52895	0.16002	1
Tcf12_p2	12	0.13814	1.6105	0.021053	0.23415	0.1073	1
Klf4_p2	12	0.15615	2.0715	0.012061	0.16923	0.038314	0.68101
Prdm4_p1	12	-0.057572	-1.0891	0.28838	0.77341	0.27613	1
Tfcp2l1_p1	12	-0.021252	-0.25485	0.70241	0.94834	0.79884	1
Smad3_p1	12	0.001682	0.032309	0.93246	0.9895	0.97423	1
Zfp738_p1	6	0.039961	0.37881	0.53662	0.93576	0.70483	1
Tfam_p1	12	0.011887	0.1825	0.77785	0.96125	0.85519	1
Tfdp1_p2	12	0.065927	0.93235	0.20855	0.70824	0.35116	1
Prdm2_p1	12	0.076736	0.97264	0.15329	0.68195	0.33073	1
Zfp710_p2	12	-0.097601	-0.92866	0.077632	0.51757	0.35307	1
Zfp219_p1	12	0.02271	0.26251	0.61776	0.94537	0.79293	1
Zfp946_p1	12	0.02593	0.33157	0.575	0.94143	0.74022	1
Hmgb2_p2	12	-0.058572	-0.69927	0.28026	0.77341	0.48438	1
Rcor2_p1	12	-0.079878	-0.88864	0.13421	0.64	0.3742	1
Fiz1_p2	12	0.023865	0.34832	0.60219	0.94537	0.7276	1
Elf2_p1	12	0.01676	0.34684	0.70636	0.94834	0.72871	1
Mybl2_p1	12	-0.0050854	-0.076416	0.95746	0.9895	0.93909	1
Ftx_p1	12	-0.069639	-0.86528	0.19539	0.70824	0.38688	1
Cic_p1	12	0.056197	0.67959	0.26996	0.76937	0.49677	1
Lrrfip2_p1	12	-0.017941	-0.28154	0.75219	0.95495	0.77829	1
Ubtf_p1	12	-0.017793	-0.22479	0.75526	0.95495	0.82214	1
Thap1_p1	12	0.023741	0.37018	0.60395	0.94537	0.71125	1
Zfp275_p1	12	-0.050502	-0.66541	0.34956	0.82711	0.50579	1
Sub1_p2	12	-0.017895	-0.19057	0.75395	0.95495	0.84887	1
Zfp532_p1	12	0.014101	0.21005	0.74518	0.95495	0.83363	1
Zfp473_p1	12	-0.11498	-1.276	0.042982	0.34386	0.20196	1
Prdm14_p1	12	0.034253	0.28132	0.47303	0.90438	0.77846	1
Zfp24_p1	12	0.02351	0.2596	0.60614	0.94537	0.79517	1
Ubp1_p1	12	0.031588	0.4708	0.5011	0.914	0.63778	1
Aff4_p1	12	0.0215	0.42447	0.63268	0.94537	0.67122	1
Klf13_p1	12	-0.0077091	-0.10279	0.91689	0.98786	0.91813	1
Hic2_p1	12	0.11732	1.3692	0.042544	0.34386	0.17093	1
Ascl2_p1	12	0.056846	1.0412	0.26667	0.76937	0.29779	1
Sp2_p1	12	0.071205	0.80079	0.17829	0.69573	0.42325	1
Zfx_p1	12	0.15161	1.3295	0.013377	0.17222	0.18368	1
Olig1_p1	12	-0.021314	-0.28473	0.70132	0.94834	0.77585	1
2610021A01Rik_p1	12	0.0029543	0.050101	0.91228	0.98786	0.96004	1
Atf6b_p1	12	0.022405	0.4447	0.62083	0.94537	0.65654	1
Tslrn1_p1	12	-0.04614	-0.62152	0.39123	0.85336	0.53426	1
Rif1_p1	12	-0.43328	-4.134	0	0	3.5651e-05	0.0032514
Zfp664_p1	12	0.019083	0.33738	0.67215	0.94834	0.73583	1
Csrnp1_p3	12	-0.072512	-1.155	0.17632	0.69573	0.2481	1
Gm49345_p1	8	-0.016411	-0.27181	0.80044	0.96689	0.78577	1
Zfp263_p1	12	0.017913	0.31665	0.69035	0.94834	0.75151	1
Tead2_p2	12	0.085246	1.0418	0.12368	0.61978	0.29749	1
Zfp57_p3	12	0.082852	0.93718	0.13289	0.63895	0.34867	1
Zfp267_p2	12	0.0087679	0.07792	0.82127	0.97676	0.93789	1
Klf15_p1	12	-0.0091632	-0.094569	0.89167	0.98099	0.92466	1
Smad4_p1	12	-0.023838	-0.51479	0.65833	0.94537	0.6067	1
Plscr1_p2	12	0.037658	0.4241	0.43202	0.88143	0.67149	1
Cpeb1_p3	12	-0.079403	-1.1269	0.13684	0.64	0.25977	1
Lef1_p1	12	0.025264	0.54487	0.58202	0.94423	0.58584	1
Zfp777_p1	12	0.018557	0.23664	0.67917	0.94834	0.81293	1
Zfp605_p1	12	-0.039792	-0.33784	0.4557	0.89677	0.73548	1
Smad7_p1	12	0.091739	1.3869	0.1	0.56296	0.16547	1
Atf5_p2	12	-0.021983	-0.21212	0.68772	0.94834	0.83201	1
Foxp1_p1	12	0.029237	0.45956	0.53443	0.9341	0.64583	1
Zfp729b_p1	11	-0.015933	-0.20723	0.78399	0.96231	0.83583	1
Zfp609_p1	12	0.036201	0.42158	0.4489	0.89154	0.67333	1
Klf4_p1	12	0.017784	0.25392	0.69211	0.94834	0.79956	1
Gli3_p1	12	0.0023071	0.028421	0.92149	0.98786	0.97733	1
Zfp869_p2	12	-0.039413	-0.5293	0.46031	0.89937	0.5966	1
Zkscan3_p1	12	0.080734	1.139	0.13969	0.64646	0.25468	1
Trim28_p2	12	-0.02829	-0.41159	0.59934	0.94537	0.68064	1
Nfe2l1_p1	12	-0.072518	-0.97482	0.17632	0.69573	0.32965	1
Yeats4_p1	12	0.0065757	0.065964	0.85833	0.97676	0.94741	1
Gzf1_p1	12	-0.059609	-0.74999	0.27237	0.77143	0.45326	1
Zfp317_p1	12	0.013182	0.17187	0.75855	0.95495	0.86354	1
Tcf15_p1	12	0.039285	0.7424	0.41382	0.8656	0.45784	1
Nfatc3_p2	12	0.023684	0.27649	0.60395	0.94537	0.78217	1
Cpeb1_p2	12	-0.030354	-0.36609	0.56732	0.94143	0.7143	1
Cenpa_p1	12	-0.0092909	-0.11179	0.89035	0.98099	0.91099	1
Zfp748_p1	12	0.1082	1.5656	0.05943	0.44426	0.11745	1
Zfp423_p1	12	-0.038946	-0.5538	0.46447	0.89937	0.57972	1
Pias4_p1	12	0.067561	0.83256	0.19627	0.70824	0.4051	1
Cenps_p1	12	-0.064165	-0.80526	0.23706	0.73779	0.42067	1
Zfp239_p2	12	-0.050788	-0.64169	0.34627	0.82711	0.52108	1
Nr6a1_p2	12	0.043089	0.502	0.37522	0.84494	0.61567	1
Zbed4_p1	12	-0.036881	-0.77919	0.48684	0.90984	0.43587	1
Zfp532_p5	12	-0.0052514	-0.049527	0.95351	0.9895	0.9605	1
Nup62cl_p1	12	-0.20381	-2.2562	0.0019737	0.05	0.024055	0.55693
Crxos_p3	12	0.016873	0.16378	0.70592	0.94834	0.8699	1
Nkrf_p2	12	0.063206	0.75461	0.22478	0.71834	0.45048	1
Nfya_p1	12	0.075916	0.76245	0.1568	0.68421	0.44579	1
Atf3_p2	12	-0.026263	-0.35772	0.62719	0.94537	0.72055	1
Zbtb44_p1	12	0.12482	1.3847	0.034211	0.32165	0.16614	1
Rest_p1	12	-0.00013948	-0.0016223	0.96294	0.9895	0.99871	1
Dcp1a_p1	12	0.18265	2.066	0.0046053	0.095455	0.038829	0.68101
Zbtb6_p1	12	-8.6848e-06	-0.00012921	0.96075	0.9895	0.9999	1
Elf2_p2	12	-0.051391	-1.0085	0.33991	0.82711	0.31323	1
Zfp809_p1	12	-0.0070735	-0.12811	0.92566	0.98786	0.89806	1
Max_p1	12	0.010678	0.14748	0.79518	0.96436	0.88276	1
Zfp976_p1	12	0.040541	0.4531	0.40175	0.85336	0.65048	1
Mga_p1	12	-0.069001	-0.90647	0.20022	0.70824	0.36469	1
Zfp664_p2	12	0.066286	0.6105	0.20658	0.70824	0.54153	1
Zfp532_p4	12	0.097678	1.0354	0.08136	0.51757	0.3005	1
Elmsan1_p1	12	0.010167	0.14416	0.80307	0.9675	0.88537	1
Hnrnpu_p1	12	-0.065867	-0.80347	0.22325	0.71834	0.4217	1
Eed_p1	12	0.0018152	0.039582	0.93026	0.98881	0.96843	1
Zkscan5_p4	12	0.019494	0.19425	0.66447	0.94602	0.84598	1
Rarg_p1	12	-0.031061	-0.36568	0.55768	0.93945	0.7146	1
Hnrnpk_p2	12	-0.049726	-0.60748	0.35592	0.82799	0.54353	1
Trim28_p1	12	0.034958	0.41704	0.46447	0.89937	0.67665	1
Platr25_p3	7	-0.019257	-0.15433	0.78333	0.96231	0.87735	1
Ncoa1_p1	12	-0.042153	-0.59314	0.43136	0.88143	0.55309	1
Mbtps2_p2	12	-0.0054872	-0.065837	0.94978	0.9895	0.94751	1
Ncor1_p2	12	0.14987	1.6031	0.013596	0.17222	0.10892	1
Myb_p1	12	-0.059688	-0.83259	0.27215	0.77143	0.40508	1
Zfp706_p2	12	-0.037769	-0.54802	0.47763	0.90561	0.58368	1
Nr2f6_p2	12	0.075599	1.241	0.15855	0.68732	0.21459	1
Zfp518b_p1	12	-0.38319	-4.7001	0.0002193	0.0090909	2.6003e-06	0.0003105
Smarcal1_p1	12	-0.11482	-1.4098	0.042982	0.34386	0.15859	1
Nr1d2_p1	12	0.01957	0.28432	0.66382	0.94602	0.77616	1
Zfp652_p1	12	0.0063511	0.074699	0.86272	0.97676	0.94045	1
Zfp229_p1	12	0.073418	0.74964	0.16842	0.69573	0.45347	1
Zfp516_p2	12	-0.0042597	-0.047996	0.96974	0.9895	0.96172	1
Gmeb2_p1	12	-0.13114	-1.7423	0.026096	0.26022	0.081451	1
Zfp292_p1	12	-0.12357	-1.4924	0.032018	0.30417	0.1356	1
Zfp574_p2	12	-0.13279	-1.3688	0.023246	0.24368	0.17107	1
Zfp445_p1	12	0.068575	1.2937	0.19013	0.70824	0.19578	1
E4f1_p2	12	-0.090625	-1.2662	0.095395	0.55414	0.20543	1
Ahctf1_p1	12	-0.11849	-1.336	0.038158	0.34314	0.18155	1
Zfp280c_p1	12	0.28271	2.774	0	0	0.0055377	0.24553
Mier1_p1	12	-0.03343	-0.59695	0.52675	0.93	0.55054	1
Zic2_p1	12	-0.04773	-0.80318	0.37368	0.84356	0.42187	1
Terf1_p1	12	0.050456	0.67543	0.30965	0.8	0.49941	1
Nsd2_p1	12	-0.0048093	-0.11942	0.96053	0.9895	0.90494	1
Lbr_p2	12	-0.063805	-0.70965	0.24035	0.73779	0.47792	1
Tfap4_p1	12	-0.037913	-0.56706	0.47654	0.90542	0.57067	1
Zbtb32_p1	12	0.01033	0.11697	0.80022	0.96689	0.90688	1
Zfp740_p1	12	-0.028154	-0.47223	0.60219	0.94537	0.63676	1
Hmg20b_p1	12	-0.17667	-2.6317	0.0063596	0.11837	0.008495	0.28604
Foxp1_p5	12	-0.029365	-0.31565	0.58289	0.94423	0.75227	1
Sall4_p1	12	-0.13411	-1.9947	0.022149	0.24048	0.04608	0.75045
Zfp655_p1	12	2.7612e-05	0.00044598	0.96031	0.9895	0.99964	1
Id1_p1	12	0.02808	0.31185	0.54912	0.93944	0.75515	1
Zzz3_p3	12	0.061263	0.98787	0.2386	0.73779	0.32322	1
Sp1_p1	12	-0.20824	-3.4611	0.0017544	0.048485	0.00053791	0.040881
Zscan22_p1	12	0.00037817	0.0047233	0.95461	0.9895	0.99623	1
Hmga1b_p1	8	0.039832	0.59257	0.50504	0.91753	0.55347	1
Zbtb24_p1	12	-0.030899	-0.35474	0.56009	0.93945	0.72279	1
Xbp1_p1	12	-0.049332	-0.57461	0.35943	0.83198	0.56556	1
Esrrb_p1	12	0.020424	0.29791	0.65	0.94537	0.76577	1
Zfp936_p2	4	0.0066293	0.046621	0.92478	0.98786	0.96282	1
Nr3c1_p3	12	0.0072906	0.069145	0.84671	0.97676	0.94487	1
Hsf1_p1	12	0.056418	0.62758	0.26886	0.76937	0.53028	1
Nrf1_p1	12	-0.1288	-1.0212	0.027632	0.26809	0.30717	1
Zfp58_p1	12	0.020411	0.29069	0.65	0.94537	0.77129	1
Foxn3_p5	12	-0.015459	-0.16657	0.79123	0.96405	0.86771	1
Ttf1_p1	12	-0.11078	-0.65584	0.050877	0.38992	0.51193	1
Zfp871_p1	12	-0.084349	-0.92415	0.11557	0.59548	0.35541	1
Tsc22d1_p2	12	0.075234	0.92336	0.15987	0.68732	0.35582	1
Pou5f1_p2	12	-0.2855	-2.7672	0.0002193	0.0090909	0.0056536	0.24553
Pias2_p1	12	0.052984	0.77007	0.28947	0.77341	0.44126	1
Junb_p1	12	0.07448	1.2119	0.16294	0.69116	0.22554	1
Plagl1_p2	12	-0.031134	-0.47197	0.55636	0.93945	0.63695	1
Rest_p2	12	0.016327	0.16316	0.71118	0.94834	0.87039	1
Zfp639_p2	12	0.015911	0.28399	0.71732	0.94834	0.77642	1
Zfp932_p1	5	0.01112	0.097193	0.86645	0.97676	0.92257	1
Hes1_p2	12	0.3104	2.423	0	0	0.015392	0.40106
Zfp639_p1	12	-0.023509	-0.28799	0.66338	0.94602	0.77335	1
Bcor_p1	12	0.056837	0.79758	0.26667	0.76937	0.42512	1
Gli2_p1	12	0.216	1.9093	0.00087719	0.027586	0.056221	0.84055
Zfp956_p1	12	-0.053033	-0.98799	0.32237	0.81708	0.32316	1
Elmsan1_p2	12	-0.0014556	-0.019986	0.98333	0.99116	0.98405	1
Zfp644_p3	12	-0.050083	-0.77996	0.35219	0.82711	0.43542	1
Kansl1_p2	12	0.073966	0.93458	0.16513	0.69573	0.35001	1
Zfp706_p1	12	0.018862	0.38615	0.67412	0.94834	0.69939	1
Pbx2_p2	12	0.089228	1.2279	0.10877	0.57674	0.21949	1
Blzf1_p1	12	0.033051	0.33153	0.4886	0.91125	0.74024	1
Mael_p1	12	-0.021965	-0.33181	0.68816	0.94834	0.74003	1
Fiz1_p1	12	0.05349	0.58309	0.2864	0.77341	0.55983	1
Nme2_p1	12	0.12414	1.3307	0.035746	0.33131	0.18327	1
Zfp105_p1	12	0.0062458	0.070867	0.86623	0.97676	0.9435	1
Etv5_p1	12	-0.13462	-1.5619	0.021711	0.23855	0.1183	1
Gata2_p1	12	0.0030222	0.050485	0.91162	0.98786	0.95974	1
Zfp984_p1	6	0.059389	0.6465	0.36864	0.84239	0.51796	1
Myrf_p1	12	-0.16631	-2.482	0.0092105	0.15273	0.013064	0.38432
Gabpa_p1	12	0.097673	1.4755	0.08136	0.51757	0.14007	1
Zfp532_p2	12	0.072082	1.057	0.1739	0.69573	0.29052	1
Srebf2_p2	12	-0.044979	-0.78098	0.4011	0.85336	0.43481	1
Otx2_p3	12	-0.17631	-1.5671	0.0065789	0.12	0.1171	1
Mlx_p1	12	0.10164	1.1657	0.071272	0.50388	0.24373	1
Cnbp_p1	12	-0.10409	-1.4347	0.063158	0.45714	0.15137	1
Arid1a_p1	12	-0.17722	-2.6977	0.0063596	0.11837	0.0069812	0.26192
Khsrp_p1	12	-0.012842	-0.20576	0.83333	0.97676	0.83698	1
Litaf_p1	12	-0.0090778	-0.11742	0.89364	0.98099	0.90653	1
Hmgb1_p1	12	0.018106	0.24506	0.68728	0.94834	0.80641	1
Tmf1_p1	12	0.011673	0.1581	0.78092	0.96231	0.87438	1
Rxrb_p1	12	0.051917	0.59303	0.29846	0.77943	0.55316	1
Irf6_p1	12	0.025994	0.3344	0.57478	0.94143	0.73808	1
Zfp954_p1	12	0.046258	0.5593	0.34583	0.82711	0.57596	1
Zfp280b_p1	12	0.064497	1.003	0.21667	0.70824	0.31584	1
Crxos_p1	12	-0.015928	-0.24221	0.78311	0.96231	0.80862	1
Ubtf_p2	12	0.021405	0.3238	0.63465	0.94537	0.74609	1
Zfp748_p2	12	0.021319	0.38704	0.63662	0.94537	0.69872	1
Hmgb1_p3	12	-0.086928	-0.89036	0.10658	0.57176	0.37327	1
Zbtb41_p1	12	-0.025606	-0.33907	0.63575	0.94537	0.73456	1
Klf13_p2	12	-0.072264	-1.1715	0.17807	0.69573	0.24138	1
Gm14443_p1	10	0.071376	0.72775	0.21162	0.70824	0.46676	1
Zfp12_p2	12	0.032376	0.35615	0.49364	0.9129	0.72173	1
Gbx2_p1	12	0.06294	1.11	0.22741	0.71834	0.26699	1
Mier2_p2	12	-0.02491	-0.29995	0.64539	0.94537	0.76421	1
Litaf_p2	12	-0.094608	-0.94789	0.084649	0.51812	0.34319	1
Nfrkb_p1	12	-0.59586	-4.6906	0	0	2.7237e-06	0.0003105
Pbrm1_p1	12	-0.0269	-0.32138	0.61842	0.94537	0.74792	1
Mid2_p1	12	-0.0097601	-0.13335	0.88092	0.98099	0.89392	1
Tcf12_p1	12	0.10032	1.4824	0.073904	0.5145	0.13823	1
Gata2_p2	12	-0.070337	-0.99664	0.19254	0.70824	0.31894	1
E2f3_p1	12	0.067739	0.69005	0.19496	0.70824	0.49016	1
Pbx2_p1	12	-0.0090235	-0.13149	0.89386	0.98099	0.89539	1
Mitf_p3	12	-0.033161	-0.32764	0.53026	0.93	0.74318	1
Aebp2_p2	12	-0.058616	-1.0696	0.28004	0.77341	0.28479	1
Zfp944_p1	5	0.027635	0.28713	0.68706	0.94834	0.77401	1
Patz1_p2	12	0.045309	0.51084	0.35285	0.82711	0.60947	1
Zfp184_p2	12	0.028368	0.34817	0.54583	0.93944	0.72772	1
Smarcc1_p2	12	-0.19063	-1.3283	0.0035088	0.07619	0.18408	1
